,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
181,2017,7505,6191,Lorenzo Venuti,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,2017,7515,6191,Lorenzo Venuti,h,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540106818079948,0.0,0.0540106818079948,0.0
755,2017,7520,6191,Lorenzo Venuti,h,DR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540106818079948,0.0,0.0540106818079948,0.0
965,2017,7534,6191,Lorenzo Venuti,a,DR,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642008945345878,0.0,0.1642008945345878,0.0
1120,2017,7540,6191,Lorenzo Venuti,h,DC,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642008945345878,0.0,0.1642008945345878,0.0
1523,2017,7550,6191,Lorenzo Venuti,a,DR,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642008945345878,0.0,0.1642008945345878,0.0
1733,2017,7560,6191,Lorenzo Venuti,h,DR,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642008945345878,0.0,0.1642008945345878,0.0
2191,2017,7573,6191,Lorenzo Venuti,a,DR,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211870439350604,0.0,0.2211870439350604,0.0
2291,2017,7580,6191,Lorenzo Venuti,h,DC,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2211870439350604,-0.5,-0.2788129560649396,-0.5
2821,2017,7599,6191,Lorenzo Venuti,h,DC,810.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2211870439350604,-0.5,-0.2788129560649396,0.0
3227,2017,7616,6191,Lorenzo Venuti,a,DMR,900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2211870439350604,-0.5,-0.2788129560649396,0.0
3389,2017,7619,6191,Lorenzo Venuti,h,Sub,990.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2684318684041499,-0.5,-0.2315681315958501,0.0
3837,2017,7629,6191,Lorenzo Venuti,a,DR,1011.0,0.0,0.0,1.0,1.0,0.0,0.0480989590287208,0.2684318684041499,-0.5,-0.08727125450968759,0.0
4794,2017,7671,6191,Lorenzo Venuti,a,Sub,1101.0,0.0,0.0,1.0,2.0,0.0,0.0480989590287208,0.5874488316476344,-1.0,-0.2682542912662031,-0.5
5050,2017,7680,6191,Lorenzo Venuti,h,DML,1160.0,0.0,0.0,1.0,2.0,0.0,0.0480989590287208,0.5874488316476344,-1.0,-0.2682542912662031,0.0
5412,2017,7696,6191,Lorenzo Venuti,h,DL,1250.0,0.0,0.0,2.0,2.0,0.0,0.0639272406697272,0.6469210311770438,-1.0,-0.16129724681377428,0.0
5566,2017,7699,6191,Lorenzo Venuti,a,DML,1340.0,0.0,0.0,2.0,2.0,0.0,0.0639272406697272,0.9840567335486411,-1.0,0.17583845555782301,0.0
5896,2017,7710,6191,Lorenzo Venuti,a,DR,1413.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.4795675501227379,-1.5,0.17134927213191972,-0.5
6360,2017,7724,6191,Lorenzo Venuti,h,DL,1503.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.4795675501227379,-1.5,0.17134927213191972,0.0
6677,2017,7730,6191,Lorenzo Venuti,a,DR,1593.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.5382873006165028,-1.5,0.23006902262568452,0.0
6859,2017,7742,6191,Lorenzo Venuti,h,DR,1683.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.5382873006165028,-1.5,0.23006902262568452,0.0
7376,2017,7770,6191,Lorenzo Venuti,a,DL,1773.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.5382873006165028,-1.5,0.23006902262568452,0.0
7733,2017,7781,6191,Lorenzo Venuti,h,Sub,1863.0,0.0,0.0,2.0,3.0,0.0,0.0639272406697272,1.6863357461988926,-1.5,0.37811746820807435,0.0
7942,2017,7789,6191,Lorenzo Venuti,a,Sub,1907.0,0.0,0.0,3.0,3.0,0.0,0.3835193291306494,2.007332805544138,-1.5,1.6578907929360864,0.0
8250,2017,7763,6191,Lorenzo Venuti,h,DR,1930.0,0.0,0.0,3.0,3.0,0.0,0.3835193291306494,2.007332805544138,-1.5,1.6578907929360864,0.0
8364,2017,7806,6191,Lorenzo Venuti,h,DL,2020.0,0.0,0.0,4.0,3.0,0.0,0.4622826501727102,2.007332805544138,-1.5,1.894180756062269,0.0
8801,2017,7809,6191,Lorenzo Venuti,a,Sub,2110.0,0.0,0.0,4.0,3.0,0.0,0.4622826501727102,2.0729565657675266,-1.5,1.9598045162856577,0.0
8947,2017,7819,6191,Lorenzo Venuti,h,DMR,2111.0,0.0,0.0,4.0,3.0,0.0,0.4622826501727102,2.0729565657675266,-1.5,1.9598045162856577,0.0
9278,2017,7829,6191,Lorenzo Venuti,a,Sub,2201.0,0.0,0.0,5.0,3.0,0.0,0.5487736612558362,2.0729565657675266,-1.5,2.219277549535036,0.0
9647,2017,7846,6191,Lorenzo Venuti,h,DL,2223.0,0.0,0.0,5.0,3.0,0.0,0.5487736612558362,2.0729565657675266,-1.5,2.219277549535036,0.0
9879,2017,7850,6191,Lorenzo Venuti,a,DC,2313.0,0.0,1.0,5.0,4.0,0.0,0.5487736612558362,2.361392978578806,-1.0,2.0077139623463154,0.5
