,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
101,2017,7503,1511,Marcelo Brozovic,h,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,2017,7524,1511,Marcelo Brozovic,h,Sub,74.0,0.0,0.0,1.0,0.0,0.0,0.1002271026372909,0.0352422222495079,0.0,0.3359235301613807,0.0
1320,2017,7553,1511,Marcelo Brozovic,h,AMC,95.0,0.0,0.0,2.0,0.0,0.0,0.2008048519492148,0.4325514063239097,0.0,1.0349659621715546,0.0
1477,2017,7560,1511,Marcelo Brozovic,a,AMC,176.0,0.0,0.0,5.0,0.0,0.0,0.36359816044569,0.48374613747000683,0.0,1.5745406188070774,0.0
2563,2017,7601,1511,Marcelo Brozovic,a,Sub,266.0,2.0,0.0,9.0,0.0,0.0,0.8844653889536855,1.214080061763525,6.0,3.8674762286245823,6.0
2964,2017,7622,1511,Marcelo Brozovic,h,Sub,281.0,2.0,0.0,9.0,1.0,0.0,0.8844653889536855,1.262938767671585,6.0,3.4163349345326424,0.0
3091,2017,7631,1511,Marcelo Brozovic,a,Sub,297.0,2.0,0.0,9.0,1.0,0.0,0.8844653889536855,1.2802712488919497,6.0,3.433667415753007,0.0
3369,2017,7644,1511,Marcelo Brozovic,h,AMC,334.0,3.0,0.0,10.0,1.0,0.0,0.9767350479960439,1.2802712488919497,9.0,3.710476392880082,3.0
3497,2017,7652,1511,Marcelo Brozovic,a,AMC,424.0,3.0,1.0,18.0,1.0,0.0,1.3159334585070608,2.1433832217007875,10.0,5.591183597221971,1.0
3699,2017,7665,1511,Marcelo Brozovic,h,AMC,514.0,3.0,1.0,20.0,2.0,0.0,1.3866429701447485,2.2449889052659273,10.0,5.404917815700173,0.0
4061,2017,7676,1511,Marcelo Brozovic,a,AMC,568.0,3.0,1.0,22.0,2.0,0.0,1.4133295603096483,2.3499774653464556,10.0,5.589966146275401,0.0
4812,2017,7706,1511,Marcelo Brozovic,h,Sub,614.0,3.0,1.0,22.0,3.0,0.0,1.4133295603096483,2.4161469135433435,10.0,5.156135594472289,0.0
5029,2017,7714,1511,Marcelo Brozovic,a,AMC,658.0,3.0,2.0,22.0,3.0,0.0,1.4133295603096483,2.8057515416294336,11.0,5.545740222558379,1.0
5157,2017,7720,1511,Marcelo Brozovic,h,MC,747.0,3.0,2.0,23.0,3.0,0.0,1.4683836698532102,2.8381573129445314,11.0,5.743308322504163,0.0
5486,2017,7731,1511,Marcelo Brozovic,h,AMC,825.0,3.0,3.0,23.0,3.0,0.0,1.4683836698532102,3.0283090341836214,12.0,5.933460043743253,1.0
6323,2017,7774,1511,Marcelo Brozovic,h,DMC,884.0,3.0,4.0,25.0,3.0,0.0,1.8641478419303892,3.3021590281277895,13.0,7.394602553918958,1.0
6426,2017,7785,1511,Marcelo Brozovic,a,DMC,974.0,3.0,4.0,25.0,3.0,0.0,1.8641478419303892,3.3021590281277895,13.0,7.394602553918958,0.0
6668,2017,7791,1511,Marcelo Brozovic,h,DMC,1064.0,3.0,4.0,25.0,3.0,0.0,1.8641478419303892,3.3021590281277895,13.0,7.394602553918958,0.0
6960,2017,7764,1511,Marcelo Brozovic,a,DMC,1154.0,3.0,5.0,27.0,3.0,0.0,1.9317678809165952,3.6390113700181246,14.0,7.934315012767911,1.0
7100,2017,7805,1511,Marcelo Brozovic,a,DMC,1244.0,3.0,5.0,31.0,3.0,0.0,2.0447440966963764,3.691882124170661,14.0,8.326114414259791,0.0
7469,2017,7821,1511,Marcelo Brozovic,h,MC,1334.0,3.0,5.0,32.0,4.0,0.0,2.07559722661972,3.7118388041853905,14.0,7.938630484044552,0.0
7830,2017,7834,1511,Marcelo Brozovic,a,DMC,1424.0,4.0,6.0,35.0,5.0,0.0,2.2521721869707103,3.816399358212948,18.0,8.07291591912508,4.0
7957,2017,7842,1511,Marcelo Brozovic,h,DMC,1514.0,4.0,6.0,38.0,5.0,0.0,2.36494754999876,4.235012672841549,18.0,8.82985532283783,0.0
8223,2017,7855,1511,Marcelo Brozovic,a,DMC,1604.0,4.0,6.0,40.0,6.0,0.0,2.4331080242991443,4.2476733308285475,18.0,8.546997403725982,0.0
8423,2017,7866,1511,Marcelo Brozovic,h,DMC,1694.0,4.0,8.0,41.0,6.0,0.0,2.4829726256430145,4.574913976714015,20.0,9.02383185364306,2.0
8783,2017,7875,1511,Marcelo Brozovic,a,DMC,1784.0,4.0,8.0,44.0,7.0,0.0,2.551373671740293,4.651360211893916,20.0,8.805481227114797,0.0
