,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1811,2017,7578,5718,Mariusz Stepinski,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,2017,7592,5718,Mariusz Stepinski,h,Sub,22.0,0.0,0.0,1.0,0.0,0.0,0.2525726556777954,0.0,0.0,0.7577179670333862,0.0
4250,2017,7680,5718,Mariusz Stepinski,a,Sub,56.0,0.0,0.0,1.0,0.0,0.0,0.2525726556777954,0.0,0.0,0.7577179670333862,0.0
4401,2017,7698,5718,Mariusz Stepinski,h,FW,90.0,0.0,0.0,1.0,0.0,0.0,0.2525726556777954,0.0,0.0,0.7577179670333862,0.0
4686,2017,7700,5718,Mariusz Stepinski,a,FW,160.0,0.0,0.0,2.0,0.0,0.0,0.2525726556777954,0.0,0.0,0.7577179670333862,0.0
6500,2017,7782,5718,Mariusz Stepinski,a,FW,224.0,0.0,0.0,4.0,0.0,0.0,0.33435267210006714,0.0,0.0,1.0030580163002014,0.0
6718,2017,7795,5718,Mariusz Stepinski,h,FW,314.0,1.0,1.0,5.0,1.0,0.0,0.9161810278892517,0.0636417940258979,4.0,2.312184877693653,4.0
6975,2017,7768,5718,Mariusz Stepinski,h,FW,404.0,1.0,1.0,7.0,1.0,0.0,1.0482490956783295,0.0782623244449495,4.0,2.723009611479938,0.0
7176,2017,7802,5718,Mariusz Stepinski,a,Sub,463.0,1.0,1.0,9.0,1.0,0.0,1.233366847038269,0.0782623244449495,4.0,3.2783628655597568,0.0
7284,2017,7817,5718,Mariusz Stepinski,h,FW,501.0,2.0,1.0,10.0,1.0,0.0,1.3361145332455635,0.0782623244449495,7.0,3.58660592418164,3.0
8289,2017,7852,5718,Mariusz Stepinski,h,Sub,580.0,2.0,1.0,10.0,1.0,0.0,1.3361145332455635,0.4377429736778139,7.0,3.9460865734145045,0.0
8684,2017,7870,5718,Mariusz Stepinski,h,Sub,597.0,3.0,1.0,11.0,1.0,0.0,1.3827502615749836,0.4581964379176496,10.0,4.1064472226426005,3.0
