,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
115,2017,7503,1423,Matías Vecino,h,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,2017,7510,1423,Matías Vecino,a,DMC,90.0,0.0,0.0,2.0,0.0,0.0,0.1458649486303329,0.0,0.0,0.4375948458909988,0.0
599,2017,7524,1423,Matías Vecino,h,Sub,180.0,1.0,0.0,4.0,0.0,0.0,1.0412217825651169,0.0,3.0,3.1236653476953506,3.0
836,2017,7530,1423,Matías Vecino,a,Sub,189.0,1.0,0.0,4.0,0.0,0.0,1.0412217825651169,0.0,3.0,3.1236653476953506,0.0
1109,2017,7541,1423,Matías Vecino,a,DMC,222.0,1.0,0.0,4.0,0.0,0.0,1.0412217825651169,0.0,3.0,3.1236653476953506,0.0
1569,2017,7553,1423,Matías Vecino,h,DMC,312.0,1.0,0.0,5.0,0.0,0.0,1.1095262095332146,0.0159141682088375,3.0,3.344492796808481,0.0
1751,2017,7560,1423,Matías Vecino,a,DMC,402.0,1.0,0.0,8.0,0.0,0.0,1.2366436049342155,0.0159141682088375,3.0,3.725844983011484,0.0
2155,2017,7574,1423,Matías Vecino,h,DMC,492.0,1.0,0.0,10.0,1.0,0.0,1.2889476120471954,0.3757542036473751,2.5,3.7425970397889614,-0.5
2252,2017,7584,1423,Matías Vecino,a,DMC,582.0,1.0,0.0,13.0,2.0,0.0,1.6737218499183655,0.3757542036473751,2.0,4.3969197534024715,-0.5
2489,2017,7595,1423,Matías Vecino,h,DMC,672.0,1.0,0.0,14.0,2.0,0.0,1.7141942977905273,0.4844075925648212,2.0,4.626990485936403,0.0
3034,2017,7601,1423,Matías Vecino,a,DMC,747.0,1.0,1.0,16.0,2.0,0.0,1.7658093199133873,1.1842862255871296,3.0,5.4817141853272915,1.0
3104,2017,7615,1423,Matías Vecino,h,DMC,837.0,1.0,1.0,20.0,2.0,0.0,1.8879131823778152,1.276498045772314,3.0,5.94023759290576,0.0
3522,2017,7622,1423,Matías Vecino,h,DMC,927.0,1.0,1.0,23.0,3.0,0.0,2.186722055077553,1.3838085494935513,2.5,6.44397471472621,-0.5
3675,2017,7631,1423,Matías Vecino,a,DMC,1017.0,1.0,1.0,23.0,3.0,0.0,2.186722055077553,1.3838085494935513,2.5,6.44397471472621,0.0
4173,2017,7652,1423,Matías Vecino,a,DMC,1070.0,1.0,1.0,23.0,3.0,0.0,2.186722055077553,1.3838085494935513,2.5,6.44397471472621,0.0
4411,2017,7665,1423,Matías Vecino,h,DMC,1160.0,1.0,1.0,24.0,4.0,0.0,2.247235357761383,1.4196095280349255,2.0,6.161315601319075,-0.5
5190,2017,7685,1423,Matías Vecino,h,DMC,1238.0,1.0,1.0,27.0,5.0,0.0,2.4221783578395844,1.4196095280349255,1.5,6.1861446015536785,-0.5
5288,2017,7693,1423,Matías Vecino,a,DMC,1328.0,1.0,1.0,29.0,6.0,0.0,2.4673876836895943,1.4196095280349255,1.0,5.821772579103708,-0.5
5747,2017,7706,1423,Matías Vecino,h,DMC,1418.0,1.0,1.0,30.0,6.0,0.0,2.4848475996404886,1.4196095280349255,1.0,5.874152326956391,0.0
6013,2017,7714,1423,Matías Vecino,a,DMC,1508.0,2.0,1.0,32.0,6.0,0.0,2.899815523996949,1.5536328069865704,4.0,7.253079378977418,3.0
6168,2017,7720,1423,Matías Vecino,h,MC,1598.0,2.0,1.0,34.0,6.0,0.0,3.056722218170762,1.659983802586794,4.0,7.83015045709908,0.0
6557,2017,7731,1423,Matías Vecino,h,MC,1688.0,2.0,1.0,35.0,6.0,0.0,3.077404448762536,1.715294886380434,4.0,7.947508232668042,0.0
6766,2017,7745,1423,Matías Vecino,a,DMC,1778.0,2.0,1.0,36.0,6.0,0.0,3.119349179789424,2.38108604028821,4.0,8.739133579656482,0.0
7003,2017,7757,1423,Matías Vecino,h,DMC,1840.0,2.0,1.0,37.0,6.0,0.0,3.133691806346178,2.38108604028821,4.0,8.782161459326744,0.0
7691,2017,7785,1423,Matías Vecino,a,Sub,1930.0,2.0,2.0,38.0,6.0,0.0,3.1504326723515987,2.6857246346771717,5.0,9.137022651731968,1.0
9361,2017,7834,1423,Matías Vecino,a,Sub,1941.0,2.0,2.0,38.0,6.0,0.0,3.1504326723515987,2.7709480933845043,5.0,9.2222461104393,0.0
9509,2017,7842,1423,Matías Vecino,h,DMC,1953.0,2.0,2.0,38.0,6.0,0.0,3.1504326723515987,2.7709480933845043,5.0,9.2222461104393,0.0
10066,2017,7866,1423,Matías Vecino,h,DMC,1970.0,2.0,2.0,38.0,6.0,1.0,3.1504326723515987,2.7709480933845043,4.5,8.7222461104393,-0.5
10497,2017,7875,1423,Matías Vecino,a,DMC,2042.0,2.0,2.0,38.0,6.0,1.0,3.1504326723515987,2.7788890413939953,4.5,8.730187058448792,0.0
