,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
19,2017,7499,4912,Paolo Faragò,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,2017,7522,4912,Paolo Faragò,h,Sub,90.0,0.0,0.0,2.0,0.0,0.0,0.5488486886024475,0.0,0.0,1.6465460658073423,0.0
992,2017,7542,4912,Paolo Faragò,h,Sub,108.0,0.0,0.0,2.0,0.0,0.0,0.5488486886024475,0.0,0.0,1.6465460658073423,0.0
1249,2017,7549,4912,Paolo Faragò,h,Sub,134.0,0.0,0.0,3.0,0.0,0.0,0.8394615352153778,0.2810253202915191,0.0,2.7994099259376526,0.0
1730,2017,7570,4912,Paolo Faragò,h,Sub,160.0,0.0,0.0,4.0,0.0,0.0,1.3389995098114014,0.2810253202915191,0.0,4.298023849725723,0.0
2092,2017,7582,4912,Paolo Faragò,a,Sub,203.0,0.0,1.0,5.0,0.0,0.0,1.3733063526451588,0.5199596136808394,1.0,4.639878671616316,1.0
2167,2017,7591,4912,Paolo Faragò,h,DMR,228.0,0.0,1.0,6.0,0.0,0.0,1.3974011968821287,0.5199596136808394,1.0,4.712163204327226,0.0
2533,2017,7607,4912,Paolo Faragò,a,MR,318.0,1.0,2.0,8.0,1.0,0.0,1.4801567327231169,0.6480008214712141,5.0,4.588471019640565,4.0
2635,2017,7611,4912,Paolo Faragò,h,MR,408.0,1.0,2.0,8.0,1.0,0.0,1.4801567327231169,0.6480008214712141,5.0,4.588471019640565,0.0
2946,2017,7628,4912,Paolo Faragò,a,DMR,498.0,2.0,2.0,11.0,1.0,0.0,1.6260549258440733,0.7757160961627958,8.0,5.153880873695016,3.0
3073,2017,7631,4912,Paolo Faragò,h,DMR,588.0,2.0,2.0,13.0,1.0,0.0,1.696223234757781,0.9269009530544278,8.0,5.515570657327771,0.0
3332,2017,7640,4912,Paolo Faragò,a,DMR,678.0,2.0,3.0,13.0,1.0,0.0,1.696223234757781,1.3082399666309352,9.0,5.896909670904279,1.0
3459,2017,7649,4912,Paolo Faragò,h,DMR,768.0,2.0,4.0,13.0,1.0,0.0,1.696223234757781,1.5270603299140926,10.0,6.115730034187436,1.0
3960,2017,7669,4912,Paolo Faragò,h,Sub,800.0,2.0,4.0,13.0,1.0,0.0,1.696223234757781,1.5991723462939258,10.0,6.187842050567269,0.0
4218,2017,7679,4912,Paolo Faragò,a,DMR,827.0,2.0,4.0,13.0,1.0,0.0,1.696223234757781,1.5991723462939258,10.0,6.187842050567269,0.0
4599,2017,7694,4912,Paolo Faragò,h,DMR,917.0,2.0,4.0,13.0,1.0,0.0,1.696223234757781,1.5991723462939258,10.0,6.187842050567269,0.0
4783,2017,7704,4912,Paolo Faragò,h,DMR,1007.0,2.0,4.0,13.0,1.0,0.0,1.696223234757781,1.6769526228308673,10.0,6.265622327104211,0.0
4978,2017,7712,4912,Paolo Faragò,a,DMR,1097.0,2.0,4.0,15.0,1.0,0.0,1.802669694647193,1.9221659079194064,10.0,6.830174991860986,0.0
5298,2017,7727,4912,Paolo Faragò,h,DMR,1187.0,2.0,4.0,15.0,1.0,0.0,1.802669694647193,1.9221659079194064,10.0,6.830174991860986,0.0
5644,2017,7739,4912,Paolo Faragò,a,Sub,1277.0,2.0,4.0,17.0,1.0,0.0,1.84988016448915,2.647029377520084,10.0,7.6966698709875345,0.0
6019,2017,7752,4912,Paolo Faragò,h,DMR,1308.0,2.0,4.0,17.0,1.0,0.0,1.84988016448915,2.647029377520084,10.0,7.6966698709875345,0.0
6204,2017,7772,4912,Paolo Faragò,h,DMR,1398.0,2.0,4.0,17.0,1.0,0.0,1.84988016448915,2.733269967138767,10.0,7.782910460606217,0.0
