,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
63,2017,7501,6155,Robin Gosens,h,ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,2017,7514,6155,Robin Gosens,a,DML,90.0,0.0,0.0,1.0,0.0,0.0,0.0286222118884325,0.0,0.0,0.0858666356652975,0.0
621,2017,7519,6155,Robin Gosens,h,ML,180.0,0.0,0.0,1.0,0.0,0.0,0.0286222118884325,0.0,0.0,0.0858666356652975,0.0
1150,2017,7539,6155,Robin Gosens,h,DML,250.0,0.0,0.0,2.0,0.0,0.0,0.05168261192739,0.0,0.0,0.15504783578217018,0.0
2273,2017,7579,6155,Robin Gosens,h,Sub,340.0,0.0,0.0,2.0,0.0,0.0,0.05168261192739,0.04556106030941,0.0,0.20060889609158017,0.0
2516,2017,7589,6155,Robin Gosens,h,DML,349.0,0.0,0.0,2.0,0.0,0.0,0.05168261192739,0.04556106030941,0.0,0.20060889609158017,0.0
3249,2017,7609,6155,Robin Gosens,h,Sub,439.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4742534309625624,1.0,0.8512893114238975,1.0
5531,2017,7705,6155,Robin Gosens,h,Sub,451.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4742534309625624,1.0,0.8512893114238975,0.0
5874,2017,7709,6155,Robin Gosens,a,ML,478.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4742534309625624,1.0,0.8512893114238975,0.0
6893,2017,7743,6155,Robin Gosens,h,ML,553.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4742534309625624,1.0,0.8512893114238975,0.0
7601,2017,7756,6155,Robin Gosens,a,DML,643.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4943786952644584,1.0,0.8714145757257935,0.0
7720,2017,7779,6155,Robin Gosens,a,Sub,708.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4943786952644584,1.0,0.8714145757257935,0.0
8088,2017,7798,6155,Robin Gosens,h,ML,709.0,0.0,1.0,3.0,0.0,0.0,0.1256786268204449,0.4943786952644584,1.0,0.8714145757257935,0.0
8408,2017,7799,6155,Robin Gosens,a,ML,799.0,0.0,1.0,5.0,0.0,0.0,0.1894681137055157,0.8303588721901176,1.0,1.398763213306665,0.0
8726,2017,7812,6155,Robin Gosens,h,DML,889.0,0.0,1.0,7.0,0.0,0.0,0.3047217559069393,0.9629295859485862,1.0,1.8770948536694045,0.0
8964,2017,7819,6155,Robin Gosens,a,ML,969.0,0.0,1.0,9.0,0.0,0.0,0.3286213818937538,1.2901530060917137,1.0,2.2760171517729755,0.0
9396,2017,7838,6155,Robin Gosens,h,DML,1059.0,0.0,1.0,9.0,0.0,0.0,0.3286213818937538,1.2901530060917137,1.0,2.2760171517729755,0.0
9592,2017,7841,6155,Robin Gosens,h,DML,1149.0,1.0,1.0,10.0,0.0,0.0,1.0052521768957374,1.320081166923046,4.0,4.335837697610259,3.0
9856,2017,7849,6155,Robin Gosens,a,DML,1239.0,1.0,1.0,10.0,0.0,0.0,1.0052521768957374,1.320081166923046,4.0,4.335837697610259,0.0
10235,2017,7864,6155,Robin Gosens,h,ML,1329.0,1.0,1.0,11.0,0.0,0.0,1.6480542961508033,1.8292152211070059,4.0,6.773378109559417,0.0
10360,2017,7869,6155,Robin Gosens,a,ML,1419.0,1.0,1.0,11.0,1.0,0.0,1.6480542961508033,1.9986067637801168,3.5,6.442769652232528,-0.5
