,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
233,2017,7507,1142,Samir,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,2017,7512,1142,Samir,a,DL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,2017,7528,1142,Samir,h,DL,80.0,0.0,0.0,1.0,0.0,0.0,0.0155544746667146,0.0,0.0,0.046663424000144,0.0
940,2017,7533,1142,Samir,a,DL,159.0,0.0,0.0,1.0,1.0,0.0,0.0155544746667146,0.0,-0.5,-0.453336575999856,-0.5
1386,2017,7555,1142,Samir,a,DL,249.0,0.0,0.0,1.0,2.0,0.0,0.0155544746667146,0.0,-1.0,-0.953336575999856,-0.5
1652,2017,7568,1142,Samir,h,DL,339.0,0.0,0.0,1.0,2.0,0.0,0.0155544746667146,0.0171301160007715,-1.0,-0.9362064599990845,0.0
2001,2017,7572,1142,Samir,a,DL,413.0,0.0,0.0,1.0,2.0,0.0,0.0155544746667146,0.0171301160007715,-1.0,-0.9362064599990845,0.0
2404,2017,7588,1142,Samir,h,DL,503.0,1.0,0.0,2.0,3.0,0.0,0.2676500249654054,0.0171301160007715,1.5,-0.6799198091030121,2.5
2751,2017,7598,1142,Samir,a,DC,572.0,1.0,0.0,2.0,4.0,0.0,0.2676500249654054,0.0171301160007715,1.0,-1.179919809103012,-0.5
3492,2017,7628,1142,Samir,h,DL,662.0,1.0,0.0,2.0,5.0,0.0,0.2676500249654054,0.0171301160007715,0.5,-1.679919809103012,-0.5
3741,2017,7638,1142,Samir,h,DC,752.0,1.0,0.0,2.0,5.0,0.0,0.2676500249654054,0.0171301160007715,0.5,-1.679919809103012,0.0
4089,2017,7641,1142,Samir,a,DC,842.0,1.0,0.0,3.0,5.0,0.0,0.28010851331055153,0.0171301160007715,0.5,-1.6425443440675735,0.0
5090,2017,7681,1142,Samir,a,DC,932.0,1.0,0.0,3.0,5.0,0.0,0.28010851331055153,0.0171301160007715,0.5,-1.6425443440675735,0.0
5257,2017,7698,1142,Samir,a,DC,1022.0,1.0,0.0,3.0,5.0,0.0,0.28010851331055153,0.0171301160007715,0.5,-1.6425443440675735,0.0
5662,2017,7707,1142,Samir,h,DC,1112.0,1.0,0.0,4.0,5.0,0.0,0.28010851331055153,0.0171301160007715,0.5,-1.6425443440675735,0.0
5812,2017,7617,1142,Samir,a,DC,1202.0,2.0,0.0,5.0,5.0,0.0,0.40936009772121895,0.0171301160007715,3.5,-1.2547895908355713,3.0
6120,2017,7718,1142,Samir,a,DC,1292.0,2.0,0.0,5.0,6.0,0.0,0.40936009772121895,0.0171301160007715,3.0,-1.7547895908355713,-0.5
6651,2017,7738,1142,Samir,a,DC,1358.0,2.0,0.0,5.0,6.0,1.0,0.40936009772121895,0.1271427366882562,2.5,-2.1447769701480865,-0.5
6691,2017,7747,1142,Samir,h,DC,1448.0,2.0,0.0,5.0,6.0,1.0,0.40936009772121895,0.1271427366882562,2.5,-2.1447769701480865,0.0
7067,2017,7749,1142,Samir,a,DC,1538.0,2.0,0.0,5.0,6.0,1.0,0.40936009772121895,0.1271427366882562,2.5,-2.1447769701480865,0.0
7513,2017,7778,1142,Samir,a,DC,1628.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
7611,2017,7788,1142,Samir,h,DC,1718.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
8194,2017,7762,1142,Samir,h,DC,1808.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
8583,2017,7807,1142,Samir,h,DC,1898.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
8654,2017,7818,1142,Samir,a,DC,1957.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
9184,2017,7828,1142,Samir,a,DC,2047.0,2.0,0.0,6.0,6.0,1.0,0.7700269389897583,0.1271427366882562,2.5,-1.062776446342468,0.0
9310,2017,7831,1142,Samir,h,DC,2137.0,2.0,0.0,7.0,6.0,1.0,0.8456289190798996,0.2039483878761529,2.5,-0.7591648548841474,0.0
9659,2017,7846,1142,Samir,a,DC,2227.0,2.0,0.0,7.0,6.0,1.0,0.8456289190798996,0.2039483878761529,2.5,-0.7591648548841474,0.0
9812,2017,7855,1142,Samir,h,DC,2317.0,2.0,0.0,7.0,6.0,1.0,0.8456289190798996,0.2039483878761529,2.5,-0.7591648548841474,0.0
10217,2017,7868,1142,Samir,a,DC,2407.0,2.0,0.0,7.0,6.0,1.0,0.8456289190798996,0.2039483878761529,2.5,-0.7591648548841474,0.0
10398,2017,7871,1142,Samir,h,DL,2497.0,2.0,0.0,7.0,7.0,1.0,0.8456289190798996,0.2039483878761529,2.0,-1.2591648548841474,-0.5
