,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1,2017,7499,1303,Stephan Lichtsteiner,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,2017,7509,1303,Stephan Lichtsteiner,a,DR,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.1944570690393448,0.5,-0.3055429309606552,0.5
559,2017,7525,1303,Stephan Lichtsteiner,h,DR,169.0,0.0,1.0,0.0,2.0,0.0,0.0,0.2792349010705948,0.0,-0.7207650989294052,-0.5
909,2017,7536,1303,Stephan Lichtsteiner,a,DR,259.0,0.0,1.0,0.0,2.0,0.0,0.0,0.2792349010705948,0.0,-0.7207650989294052,0.0
1270,2017,7545,1303,Stephan Lichtsteiner,h,Sub,331.0,0.0,1.0,1.0,2.0,0.0,0.0245677381753921,0.2792349010705948,0.0,-0.6470618844032288,0.0
1425,2017,7554,1303,Stephan Lichtsteiner,h,DR,332.0,0.0,1.0,1.0,2.0,0.0,0.0245677381753921,0.2792349010705948,0.0,-0.6470618844032288,0.0
1914,2017,7559,1303,Stephan Lichtsteiner,a,DR,422.0,0.0,1.0,1.0,2.0,0.0,0.0245677381753921,0.5304165333509445,0.0,-0.3958802521228791,0.0
1928,2017,7575,1303,Stephan Lichtsteiner,h,DR,489.0,0.0,1.0,1.0,3.0,0.0,0.0245677381753921,0.5304165333509445,-0.5,-0.895880252122879,-0.5
2415,2017,7588,1303,Stephan Lichtsteiner,a,DR,562.0,0.0,1.0,1.0,3.0,0.0,0.0245677381753921,0.5304165333509445,-0.5,-0.895880252122879,0.0
2680,2017,7596,1303,Stephan Lichtsteiner,h,DR,652.0,0.0,1.0,1.0,3.0,0.0,0.0245677381753921,0.5304165333509445,-0.5,-0.895880252122879,0.0
2778,2017,7602,1303,Stephan Lichtsteiner,a,DR,742.0,0.0,1.0,2.0,3.0,0.0,0.048759458586573504,0.5304165333509445,-0.5,-0.8233050908893347,0.0
3420,2017,7625,1303,Stephan Lichtsteiner,a,DR,808.0,0.0,1.0,2.0,3.0,0.0,0.048759458586573504,0.5304165333509445,-0.5,-0.8233050908893347,0.0
3798,2017,7634,1303,Stephan Lichtsteiner,h,DMR,898.0,0.0,1.0,2.0,3.0,0.0,0.048759458586573504,0.5304165333509445,-0.5,-0.8233050908893347,0.0
5227,2017,7684,1303,Stephan Lichtsteiner,a,DR,956.0,0.0,1.0,2.0,3.0,0.0,0.048759458586573504,0.5304165333509445,-0.5,-0.8233050908893347,0.0
5518,2017,7694,1303,Stephan Lichtsteiner,a,Sub,1030.0,0.0,2.0,2.0,3.0,0.0,0.048759458586573504,0.7446615844964981,0.5,-0.6090600397437811,1.0
5770,2017,7703,1303,Stephan Lichtsteiner,h,DR,1038.0,0.0,2.0,2.0,3.0,0.0,0.048759458586573504,0.7446615844964981,0.5,-0.6090600397437811,0.0
6047,2017,7715,1303,Stephan Lichtsteiner,a,Sub,1123.0,0.0,2.0,2.0,3.0,0.0,0.048759458586573504,0.7446615844964981,0.5,-0.6090600397437811,0.0
6426,2017,7735,1303,Stephan Lichtsteiner,a,DR,1141.0,0.0,2.0,2.0,3.0,0.0,0.048759458586573504,0.7446615844964981,0.5,-0.6090600397437811,0.0
6801,2017,7746,1303,Stephan Lichtsteiner,a,Sub,1205.0,0.0,2.0,2.0,4.0,0.0,0.048759458586573504,0.7446615844964981,0.0,-1.109060039743781,-0.5
7265,2017,7765,1303,Stephan Lichtsteiner,a,DMR,1206.0,0.0,2.0,2.0,4.0,0.0,0.048759458586573504,0.7446615844964981,0.0,-1.109060039743781,0.0
7583,2017,7756,1303,Stephan Lichtsteiner,h,DR,1266.0,0.0,2.0,2.0,5.0,0.0,0.048759458586573504,0.7446615844964981,-0.5,-1.609060039743781,-0.5
8141,2017,7792,1303,Stephan Lichtsteiner,h,DMR,1316.0,0.0,2.0,2.0,5.0,0.0,0.048759458586573504,0.7446615844964981,-0.5,-1.609060039743781,0.0
8375,2017,7806,1303,Stephan Lichtsteiner,a,DR,1363.0,0.0,2.0,2.0,5.0,0.0,0.048759458586573504,0.7446615844964981,-0.5,-1.609060039743781,0.0
9070,2017,7824,1303,Stephan Lichtsteiner,a,DR,1453.0,0.0,2.0,2.0,5.0,0.0,0.048759458586573504,0.7634601928293704,-0.5,-1.5902614314109087,0.0
9431,2017,7835,1303,Stephan Lichtsteiner,h,Sub,1543.0,0.0,2.0,2.0,6.0,0.0,0.048759458586573504,0.7813880778849123,-1.0,-2.0723335463553667,-0.5
9794,2017,7851,1303,Stephan Lichtsteiner,h,Sub,1623.0,0.0,2.0,2.0,6.0,0.0,0.048759458586573504,0.7813880778849123,-1.0,-2.0723335463553667,0.0
10312,2017,7874,1303,Stephan Lichtsteiner,h,DR,1640.0,0.0,2.0,2.0,6.0,0.0,0.048759458586573504,0.7813880778849123,-1.0,-2.0723335463553667,0.0
