,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
198,2017,7507,1154,Stipe Perica,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,2017,7512,1154,Stipe Perica,a,Sub,29.0,0.0,0.0,1.0,1.0,0.0,0.0291234236210584,0.0237415023148059,0.0,-0.3888882268220186,0.0
1692,2017,7572,1154,Stipe Perica,a,Sub,45.0,0.0,0.0,1.0,1.0,0.0,0.0291234236210584,0.0237415023148059,0.0,-0.3888882268220186,0.0
2031,2017,7588,1154,Stipe Perica,h,AMC,66.0,0.0,0.0,1.0,1.0,0.0,0.0291234236210584,0.0237415023148059,0.0,-0.3888882268220186,0.0
2327,2017,7598,1154,Stipe Perica,a,FW,150.0,1.0,0.0,3.0,2.0,0.0,0.3671552818268537,0.0237415023148059,3.0,0.12520734779536724,3.0
2939,2017,7628,1154,Stipe Perica,h,FW,205.0,1.0,1.0,4.0,2.0,0.0,0.432051358744502,0.36857615783810604,4.0,0.6647302340716124,1.0
3145,2017,7638,1154,Stipe Perica,h,FW,295.0,1.0,1.0,7.0,2.0,0.0,0.6014929246157408,0.36857615783810604,4.0,1.1730549316853285,0.0
3431,2017,7641,1154,Stipe Perica,a,Sub,356.0,1.0,1.0,9.0,3.0,0.0,0.7125529330223799,0.36857615783810604,4.0,1.0062349569052458,0.0
4870,2017,7617,1154,Stipe Perica,a,FW,381.0,1.0,1.0,9.0,3.0,0.0,0.7125529330223799,0.39982362091541274,4.0,1.0374824199825525,0.0
5575,2017,7738,1154,Stipe Perica,a,Sub,447.0,1.0,1.0,11.0,4.0,0.0,0.8200052063912153,0.39982362091541274,4.0,0.8598392400890589,0.0
5607,2017,7747,1154,Stipe Perica,h,FW,480.0,1.0,1.0,11.0,4.0,0.0,0.8200052063912153,0.4316344857215879,4.0,0.8916501048952341,0.0
6293,2017,7778,1154,Stipe Perica,a,Sub,557.0,1.0,1.0,12.0,5.0,0.0,1.1596435885876417,0.4316344857215879,4.0,1.4105652514845133,0.0
6377,2017,7788,1154,Stipe Perica,h,Sub,585.0,1.0,1.0,12.0,6.0,0.0,1.1596435885876417,0.5136151909828183,4.0,0.9925459567457438,0.0
6776,2017,7798,1154,Stipe Perica,a,FW,602.0,1.0,1.0,13.0,6.0,0.0,1.1830757651478052,0.523019444197416,4.0,1.072246739640832,0.0
6856,2017,7762,1154,Stipe Perica,h,FW,686.0,1.0,1.0,14.0,6.0,0.0,1.2164881695061922,0.5343465181067582,4.0,1.1838110266253352,0.0
7694,2017,7828,1154,Stipe Perica,a,FW,776.0,1.0,1.0,16.0,6.0,0.0,1.3667263854295015,0.5791809270158406,4.0,1.6793600833043456,0.0
8706,2017,7871,1154,Stipe Perica,h,Sub,866.0,1.0,1.0,20.0,6.0,0.0,2.329275058582425,0.5791809270158406,4.0,4.567006102763116,0.0
