,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
557,2018,9598,1517,Antonio Candreva,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
791,2018,9611,1517,Antonio Candreva,h,AMR,10.0,1.0,0.0,1.0,0.0,0.0,0.4943034648895263,0.0,3.0,1.482910394668579,3.0
1199,2018,9624,1517,Antonio Candreva,a,AML,70.0,1.0,0.0,3.0,0.0,0.0,0.5746549367904662,0.0189011804759502,3.0,1.7428659908473492,0.0
1379,2018,9631,1517,Antonio Candreva,h,AMR,142.0,1.0,0.0,8.0,0.0,0.0,0.7279570251703261,0.2772854976356029,3.0,2.4611565731465816,0.0
1717,2018,9644,1517,Antonio Candreva,h,AML,202.0,1.0,0.0,10.0,0.0,0.0,0.8165404126048086,0.314293760806322,3.0,2.7639149986207485,0.0
2446,2018,9666,1517,Antonio Candreva,h,Sub,272.0,1.0,0.0,11.0,0.0,0.0,1.136959873139858,0.356262408196926,3.0,3.767142027616501,0.0
3420,2018,9701,1517,Antonio Candreva,h,Sub,276.0,1.0,0.0,11.0,0.0,0.0,1.136959873139858,0.356262408196926,3.0,3.767142027616501,0.0
5780,2018,9781,1517,Antonio Candreva,a,Sub,282.0,1.0,0.0,14.0,0.0,0.0,1.6825767979025839,0.356262408196926,3.0,5.403992801904678,0.0
6009,2018,9793,1517,Antonio Candreva,h,AMR,286.0,1.0,0.0,14.0,0.0,0.0,1.6825767979025839,0.356262408196926,3.0,5.403992801904678,0.0
6599,2018,9811,1517,Antonio Candreva,h,Sub,333.0,1.0,0.0,15.0,0.0,0.0,1.7024354506283996,0.38706268742680533,3.0,5.494369039312005,0.0
6921,2018,9819,1517,Antonio Candreva,a,Sub,353.0,1.0,0.0,15.0,0.0,0.0,1.7024354506283996,0.42950520291924454,3.0,5.536811554804444,0.0
6949,2018,9831,1517,Antonio Candreva,a,Sub,363.0,1.0,0.0,15.0,0.0,0.0,1.7024354506283996,0.42950520291924454,3.0,5.536811554804444,0.0
7352,2018,9841,1517,Antonio Candreva,h,Sub,368.0,1.0,0.0,17.0,0.0,0.0,1.792222002521157,0.4891846701502797,3.0,5.865850677713752,0.0
7754,2018,9856,1517,Antonio Candreva,a,Sub,417.0,1.0,0.0,19.0,0.0,0.0,1.8586911801248787,0.4891846701502797,3.0,6.065258210524917,0.0
8020,2018,9861,1517,Antonio Candreva,h,Sub,421.0,1.0,0.0,19.0,0.0,0.0,1.8586911801248787,0.4891846701502797,3.0,6.065258210524917,0.0
9539,2018,9921,1517,Antonio Candreva,a,Sub,430.0,1.0,0.0,19.0,0.0,0.0,1.8586911801248787,0.4891846701502797,3.0,6.065258210524917,0.0
9997,2018,9935,1517,Antonio Candreva,h,Sub,443.0,1.0,0.0,19.0,0.0,0.0,1.8586911801248787,0.4891846701502797,3.0,6.065258210524917,0.0
10263,2018,9946,1517,Antonio Candreva,a,Sub,470.0,1.0,0.0,20.0,0.0,0.0,1.8753578364849088,1.10852824896574,3.0,6.734601758420467,0.0
