,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
133,2018,9584,1604,Artur Ionita,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,2018,9591,1604,Artur Ionita,h,AMC,75.0,0.0,0.0,1.0,0.0,0.0,0.0190297327935695,0.0973935574293136,0.0,0.1544827558100223,0.0
576,2018,9603,1604,Artur Ionita,a,AMC,161.0,0.0,0.0,3.0,1.0,0.0,0.0647417455911635,0.0973935574293136,0.0,-0.2083812057971955,0.0
857,2018,9607,1604,Artur Ionita,h,Sub,230.0,0.0,0.0,3.0,2.0,0.0,0.0647417455911635,0.111799539066851,0.0,-0.693975224159658,0.0
956,2018,9623,1604,Artur Ionita,a,MC,268.0,0.0,0.0,3.0,2.0,0.0,0.0647417455911635,0.111799539066851,0.0,-0.693975224159658,0.0
1237,2018,9628,1604,Artur Ionita,h,Sub,333.0,0.0,0.0,4.0,2.0,0.0,0.0786269251257179,0.111799539066851,0.0,-0.6523196855559945,0.0
1457,2018,9644,1604,Artur Ionita,a,AMC,358.0,0.0,0.0,4.0,2.0,0.0,0.0786269251257179,0.111799539066851,0.0,-0.6523196855559945,0.0
1657,2018,9648,1604,Artur Ionita,h,AMC,448.0,0.0,0.0,6.0,2.0,0.0,0.1409105006605384,0.111799539066851,0.0,-0.46546895895153295,0.0
2043,2018,9659,1604,Artur Ionita,a,MC,527.0,0.0,0.0,6.0,2.0,0.0,0.1409105006605384,0.111799539066851,0.0,-0.46546895895153295,0.0
2191,2018,9668,1604,Artur Ionita,h,MC,617.0,0.0,0.0,6.0,3.0,0.0,0.1409105006605384,0.111799539066851,0.0,-0.965468958951533,0.0
2435,2018,9681,1604,Artur Ionita,a,MC,707.0,0.0,0.0,6.0,3.0,0.0,0.1409105006605384,0.111799539066851,0.0,-0.965468958951533,0.0
2645,2018,9694,1604,Artur Ionita,a,MC,778.0,0.0,0.0,7.0,3.0,0.0,0.15345857385545938,0.111799539066851,0.0,-0.9278247393667699,0.0
3027,2018,9698,1604,Artur Ionita,h,AMC,868.0,1.0,0.0,10.0,4.0,0.0,0.3138806456699964,0.111799539066851,3.0,-0.9465585239231586,3.0
3147,2018,9710,1604,Artur Ionita,a,MC,958.0,1.0,0.0,10.0,4.0,0.0,0.3138806456699964,0.1529310354962943,3.0,-0.9054270274937154,0.0
3319,2018,9724,1604,Artur Ionita,h,MC,1040.0,1.0,0.0,13.0,4.0,0.0,1.1277678841724987,0.1529310354962943,3.0,1.536234688013793,0.0
3637,2018,9730,1604,Artur Ionita,h,MC,1130.0,2.0,1.0,17.0,4.0,0.0,1.7908544773235913,0.2901120791211722,7.0,3.6626755110919484,4.0
3739,2018,9737,1604,Artur Ionita,a,MC,1220.0,2.0,1.0,17.0,4.0,0.0,1.7908544773235913,0.2901120791211722,7.0,3.6626755110919484,0.0
4033,2018,9749,1604,Artur Ionita,h,Sub,1310.0,2.0,1.0,19.0,4.0,0.0,2.2262670034542675,0.2901120791211722,7.0,4.968913089483977,0.0
4366,2018,9766,1604,Artur Ionita,a,MC,1385.0,2.0,1.0,20.0,4.0,0.0,2.243351624347269,0.35119707230478503,7.0,5.081251945346595,0.0
4559,2018,9767,1604,Artur Ionita,h,MC,1447.0,2.0,1.0,20.0,4.0,0.0,2.243351624347269,0.37077283579856135,7.0,5.100827708840371,0.0
4666,2018,9780,1604,Artur Ionita,a,AMC,1537.0,2.0,2.0,24.0,4.0,0.0,2.396024213172495,0.49699815828353144,8.0,5.685070797801019,1.0
5086,2018,9789,1604,Artur Ionita,h,AMC,1627.0,2.0,2.0,24.0,4.0,0.0,2.396024213172495,0.5316056581214067,8.0,5.719678297638894,0.0
5324,2018,9802,1604,Artur Ionita,a,MC,1717.0,2.0,2.0,24.0,4.0,0.0,2.396024213172495,0.5316056581214067,8.0,5.719678297638894,0.0
5358,2018,9808,1604,Artur Ionita,h,MC,1793.0,2.0,2.0,24.0,4.0,0.0,2.396024213172495,0.5316056581214067,8.0,5.719678297638894,0.0
5651,2018,9824,1604,Artur Ionita,a,MC,1883.0,2.0,2.0,25.0,4.0,0.0,2.4098099321126933,0.5316056581214067,8.0,5.761035454459489,0.0
5776,2018,9831,1604,Artur Ionita,h,MC,1973.0,2.0,2.0,25.0,4.0,0.0,2.4098099321126933,0.5473408782854672,8.0,5.77677067462355,0.0
6086,2018,9837,1604,Artur Ionita,a,MC,2061.0,2.0,2.0,26.0,4.0,0.0,2.464909847825765,0.5662347422912711,8.0,5.960964285768569,0.0
6235,2018,9848,1604,Artur Ionita,h,MC,2151.0,2.0,2.0,26.0,4.0,0.0,2.464909847825765,0.5662347422912711,8.0,5.960964285768569,0.0
6478,2018,9858,1604,Artur Ionita,a,MC,2241.0,2.0,2.0,26.0,4.0,0.0,2.464909847825765,0.5662347422912711,8.0,5.960964285768569,0.0
6728,2018,9868,1604,Artur Ionita,h,MC,2324.0,3.0,2.0,28.0,4.0,0.0,2.6932790689170356,0.5662347422912711,11.0,6.646071949042381,3.0
7032,2018,9878,1604,Artur Ionita,h,MC,2392.0,3.0,2.0,28.0,4.0,0.0,2.6932790689170356,0.5662347422912711,11.0,6.646071949042381,0.0
7250,2018,9896,1604,Artur Ionita,a,MC,2482.0,3.0,2.0,30.0,4.0,0.0,2.7759184874594207,0.5662347422912711,11.0,6.893990204669536,0.0
7469,2018,9898,1604,Artur Ionita,h,MC,2558.0,3.0,2.0,31.0,4.0,0.0,2.826356124132871,0.5916841747239227,11.0,7.070752547122539,0.0
7685,2018,9908,1604,Artur Ionita,a,MC,2648.0,3.0,2.0,32.0,4.0,0.0,2.9510353617370124,1.0824434580281372,11.0,7.935549543239177,0.0
