,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
176,2018,9586,1398,Bartosz Salamon,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,2018,9593,1398,Bartosz Salamon,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,2018,9601,1398,Bartosz Salamon,a,DC,180.0,0.0,0.0,2.0,0.0,0.0,0.1483398079872131,0.0,0.0,0.4450194239616394,0.0
705,2018,9609,1398,Bartosz Salamon,h,DC,270.0,0.0,0.0,2.0,0.0,0.0,0.1483398079872131,0.0,0.0,0.4450194239616394,0.0
1133,2018,9620,1398,Bartosz Salamon,h,DC,360.0,0.0,0.0,3.0,0.0,0.0,0.160223708488047,0.0,0.0,0.4806711254641413,0.0
1534,2018,9643,1398,Bartosz Salamon,h,DC,450.0,0.0,0.0,3.0,0.0,0.0,0.160223708488047,0.0,0.0,0.4806711254641413,0.0
1640,2018,9655,1398,Bartosz Salamon,a,DC,540.0,0.0,0.0,5.0,0.0,0.0,0.25247806403785933,0.0,0.0,0.7574341921135782,0.0
4223,2018,9757,1398,Bartosz Salamon,a,DC,630.0,0.0,0.0,5.0,0.0,0.0,0.25247806403785933,0.0,0.0,0.7574341921135782,0.0
4798,2018,9783,1398,Bartosz Salamon,a,DC,720.0,0.0,0.0,6.0,0.0,0.0,0.26269106566905964,0.0,0.0,0.7880731970071791,0.0
5056,2018,9791,1398,Bartosz Salamon,h,DC,810.0,0.0,0.0,6.0,1.0,0.0,0.26269106566905964,0.0,0.0,0.28807319700717915,0.0
5250,2018,9804,1398,Bartosz Salamon,a,DC,900.0,0.0,0.0,6.0,1.0,0.0,0.26269106566905964,0.0520639270544052,0.0,0.34013712406158436,0.0
5341,2018,9812,1398,Bartosz Salamon,a,DC,990.0,0.0,0.0,6.0,1.0,0.0,0.26269106566905964,0.0520639270544052,0.0,0.34013712406158436,0.0
5611,2018,9820,1398,Bartosz Salamon,h,DC,1080.0,0.0,0.0,7.0,2.0,0.0,0.31241359189152706,0.0520639270544052,0.0,-0.010695297271013315,0.0
5941,2018,9833,1398,Bartosz Salamon,a,DC,1170.0,0.0,0.0,7.0,2.0,0.0,0.31241359189152706,0.0520639270544052,0.0,-0.010695297271013315,0.0
6093,2018,9840,1398,Bartosz Salamon,h,DC,1260.0,0.0,0.0,7.0,2.0,0.0,0.31241359189152706,0.0520639270544052,0.0,-0.010695297271013315,0.0
6378,2018,9849,1398,Bartosz Salamon,a,DC,1350.0,0.0,0.0,7.0,2.0,0.0,0.31241359189152706,0.0520639270544052,0.0,-0.010695297271013315,0.0
6605,2018,9860,1398,Bartosz Salamon,h,DC,1440.0,0.0,0.0,7.0,2.0,0.0,0.31241359189152706,0.0520639270544052,0.0,-0.010695297271013315,0.0
6768,2018,9870,1398,Bartosz Salamon,h,DC,1530.0,0.0,0.0,8.0,3.0,0.0,0.3734746165573596,0.0520639270544052,0.0,-0.3275122232735157,0.0
7014,2018,9879,1398,Bartosz Salamon,a,DC,1620.0,0.0,0.0,10.0,3.0,0.0,0.6605226285755632,0.0520639270544052,0.0,0.5336318127810955,0.0
