,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
64,2018,9579,6162,Cengiz Ünder,a,FWR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,2018,9596,6162,Cengiz Ünder,h,FWR,72.0,0.0,0.0,2.0,0.0,0.0,0.0608525425195694,0.0471386052668094,0.0,0.2296962328255176,0.0
736,2018,9614,6162,Cengiz Ünder,h,FWR,162.0,0.0,1.0,6.0,0.0,0.0,0.3542674332857132,0.4673590399324893,1.0,1.5301613397896288,1.0
1057,2018,9617,6162,Cengiz Ünder,a,Sub,245.0,0.0,1.0,9.0,0.0,0.0,0.5669975280761718,0.6583827026188371,1.0,2.359375286847353,0.0
1325,2018,9634,6162,Cengiz Ünder,h,AMR,275.0,0.0,1.0,9.0,0.0,0.0,0.5669975280761718,0.6999353915452955,1.0,2.4009279757738113,0.0
1713,2018,9649,6162,Cengiz Ünder,a,AMR,365.0,1.0,2.0,11.0,0.0,0.0,0.6010697297751901,1.6509088426828384,5.0,3.4541180320084095,4.0
1869,2018,9663,6162,Cengiz Ünder,h,AMR,439.0,1.0,2.0,15.0,0.0,0.0,0.8315506391227242,1.6509088426828384,5.0,4.145560760051012,0.0
2294,2018,9676,6162,Cengiz Ünder,a,AMR,510.0,1.0,2.0,17.0,1.0,0.0,0.8847245797514912,1.8561342060565948,5.0,4.0103079453110695,0.0
2411,2018,9679,6162,Cengiz Ünder,a,AMC,576.0,1.0,3.0,18.0,1.0,0.0,0.9258431084454056,2.361058682203293,6.0,4.638588007539511,1.0
2834,2018,9706,6162,Cengiz Ünder,a,Sub,651.0,1.0,3.0,18.0,1.0,0.0,0.9258431084454056,2.3924325071275234,6.0,4.669961832463741,0.0
3230,2018,9716,6162,Cengiz Ünder,h,AMR,676.0,1.0,3.0,18.0,1.0,0.0,0.9258431084454056,2.560861211270094,6.0,4.838390536606312,0.0
3332,2018,9724,6162,Cengiz Ünder,a,AMR,759.0,2.0,3.0,21.0,1.0,0.0,1.094243604689836,2.560861211270094,9.0,5.343592025339603,3.0
3662,2018,9734,6162,Cengiz Ünder,h,FWR,849.0,2.0,3.0,24.0,1.0,0.0,1.2495946921408172,2.560861211270094,9.0,5.809645287692547,0.0
3949,2018,9746,6162,Cengiz Ünder,a,FW,925.0,2.0,3.0,26.0,1.0,0.0,1.6413688994944091,2.696816708892584,9.0,7.1209234073758125,0.0
4120,2018,9753,6162,Cengiz Ünder,h,AMR,996.0,2.0,3.0,26.0,1.0,0.0,1.6413688994944091,2.696816708892584,9.0,7.1209234073758125,0.0
4320,2018,9764,6162,Cengiz Ünder,a,AMR,1086.0,2.0,4.0,30.0,1.0,0.0,2.2960909940302368,3.1682420633733273,10.0,9.556515045464039,1.0
7197,2018,9892,6162,Cengiz Ünder,h,Sub,1176.0,3.0,5.0,35.0,1.0,0.0,2.9403694607317443,3.4710586331784725,14.0,11.792167015373707,4.0
7617,2018,9906,6162,Cengiz Ünder,a,MR,1196.0,3.0,5.0,37.0,1.0,0.0,3.005524035543203,3.4710586331784725,14.0,11.987630739808083,0.0
7679,2018,9908,6162,Cengiz Ünder,h,Sub,1243.0,3.0,5.0,37.0,1.0,0.0,3.005524035543203,3.4710586331784725,14.0,11.987630739808083,0.0
8410,2018,9944,6162,Cengiz Ünder,a,FWR,1259.0,3.0,5.0,37.0,1.0,0.0,3.005524035543203,3.4710586331784725,14.0,11.987630739808083,0.0
