,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
851,2018,9609,1868,Daniel Ciofani,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,2018,9634,1868,Daniel Ciofani,a,Sub,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,2018,9643,1868,Daniel Ciofani,h,Sub,39.0,0.0,0.0,1.0,0.0,0.0,0.0133047411218285,0.0,0.0,0.0399142233654856,0.0
1955,2018,9655,1868,Daniel Ciofani,a,FW,82.0,0.0,0.0,2.0,0.0,0.0,0.041628683917224296,0.1229472085833549,0.0,0.24783326033502812,0.0
2304,2018,9660,1868,Daniel Ciofani,h,FW,160.0,0.0,1.0,4.0,0.0,0.0,0.1289548156782983,1.1317439004778862,1.0,1.5186083475127816,1.0
2681,2018,9674,1868,Daniel Ciofani,a,FW,245.0,2.0,1.0,6.0,0.0,0.0,0.987444865517318,1.1317439004778862,7.0,4.094078497029842,6.0
2987,2018,9684,1868,Daniel Ciofani,a,FW,335.0,2.0,1.0,6.0,0.0,0.0,0.987444865517318,1.1317439004778862,7.0,4.094078497029842,0.0
3085,2018,9690,1868,Daniel Ciofani,h,FW,425.0,2.0,1.0,8.0,0.0,0.0,1.0793321607634423,1.1317439004778862,7.0,4.369740382768215,0.0
3430,2018,9701,1868,Daniel Ciofani,a,FW,515.0,2.0,1.0,8.0,0.0,0.0,1.0793321607634423,1.1317439004778862,7.0,4.369740382768215,0.0
3744,2018,9710,1868,Daniel Ciofani,h,FW,605.0,2.0,1.0,10.0,0.0,0.0,1.1323657957836983,1.1317439004778862,7.0,4.528841287828983,0.0
4294,2018,9732,1868,Daniel Ciofani,h,FW,695.0,2.0,1.0,16.0,0.0,0.0,1.5019196597859261,1.2055278345942497,7.0,5.71128681395203,0.0
4613,2018,9742,1868,Daniel Ciofani,a,FW,785.0,2.0,1.0,19.0,0.0,0.0,1.5849856762215493,1.2626231871545315,7.0,6.017580215819181,0.0
4739,2018,9751,1868,Daniel Ciofani,h,Sub,845.0,2.0,1.0,19.0,0.0,0.0,1.5849856762215493,1.2626231871545315,7.0,6.017580215819181,0.0
5056,2018,9757,1868,Daniel Ciofani,a,Sub,855.0,2.0,1.0,19.0,0.0,0.0,1.5849856762215493,1.2626231871545315,7.0,6.017580215819181,0.0
5750,2018,9783,1868,Daniel Ciofani,a,Sub,856.0,2.0,1.0,19.0,0.0,0.0,1.5849856762215493,1.2626231871545315,7.0,6.017580215819181,0.0
6069,2018,9791,1868,Daniel Ciofani,h,Sub,860.0,2.0,1.0,20.0,0.0,0.0,1.6153500722721217,1.2626231871545315,7.0,6.108673403970898,0.0
6303,2018,9804,1868,Daniel Ciofani,a,FW,874.0,2.0,1.0,20.0,0.0,0.0,1.6153500722721217,1.2626231871545315,7.0,6.108673403970898,0.0
6414,2018,9812,1868,Daniel Ciofani,a,FW,964.0,3.0,1.0,22.0,0.0,0.0,2.1494102524593472,1.2626231871545315,10.0,7.710853944532574,3.0
6735,2018,9820,1868,Daniel Ciofani,h,FW,1025.0,3.0,1.0,24.0,0.0,0.0,2.1873145708814263,1.2626231871545315,10.0,7.824566899798811,0.0
7143,2018,9833,1868,Daniel Ciofani,a,Sub,1093.0,3.0,1.0,26.0,0.0,0.0,2.2883850196376443,1.2626231871545315,10.0,8.127778246067464,0.0
7324,2018,9840,1868,Daniel Ciofani,h,Sub,1109.0,3.0,1.0,26.0,1.0,0.0,2.2883850196376443,1.2626231871545315,9.5,7.627778246067464,-0.5
7669,2018,9849,1868,Daniel Ciofani,a,FW,1116.0,3.0,1.0,26.0,1.0,0.0,2.2883850196376443,1.2626231871545315,9.5,7.627778246067464,0.0
7934,2018,9860,1868,Daniel Ciofani,h,FW,1206.0,3.0,1.0,29.0,1.0,0.0,2.4507959643378854,1.3493527732789516,9.5,8.201740666292608,0.0
8129,2018,9870,1868,Daniel Ciofani,h,Sub,1296.0,3.0,1.0,38.0,1.0,0.0,3.0268696704879403,1.3493527732789516,9.5,9.929961784742773,0.0
8421,2018,9879,1868,Daniel Ciofani,a,Sub,1298.0,4.0,1.0,39.0,1.0,0.0,3.7881685057654977,1.3493527732789516,12.5,12.213858290575445,3.0
8824,2018,9890,1868,Daniel Ciofani,h,FW,1318.0,5.0,1.0,40.0,1.0,0.0,3.8663463378325105,1.3493527732789516,15.5,12.448391786776483,3.0
8978,2018,9898,1868,Daniel Ciofani,a,FW,1408.0,5.0,2.0,42.0,1.0,0.0,3.9110708804801106,1.407687783241272,16.5,12.640900424681604,1.0
9272,2018,9916,1868,Daniel Ciofani,h,Sub,1484.0,5.0,2.0,46.0,1.0,0.0,4.373266366310418,1.407687783241272,16.5,14.027486882172525,0.0
9594,2018,9920,1868,Daniel Ciofani,a,Sub,1498.0,5.0,2.0,47.0,1.0,0.0,4.4749028058722615,1.407687783241272,16.5,14.332396200858057,0.0
9884,2018,9934,1868,Daniel Ciofani,h,FW,1517.0,5.0,2.0,48.0,1.0,0.0,4.574477751739323,1.407687783241272,16.5,14.631121038459241,0.0
10208,2018,9942,1868,Daniel Ciofani,a,Sub,1583.0,5.0,2.0,50.0,1.0,0.0,4.630873748101294,1.5364325940608978,16.5,14.92905383836478,0.0
10334,2018,9951,1868,Daniel Ciofani,h,Sub,1596.0,5.0,2.0,52.0,1.0,0.0,4.787522413767874,1.5364325940608978,16.5,15.39899983536452,0.0
