,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
40,2018,9578,1206,Danilo Cataldi,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2753,2018,9671,1206,Danilo Cataldi,h,Sub,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2915,2018,9682,1206,Danilo Cataldi,h,MC,58.0,0.0,0.0,3.0,1.0,0.0,0.1767904758453369,0.032284639775753,-0.5,0.0626560673117637,-0.5
3996,2018,9718,1206,Danilo Cataldi,h,Sub,148.0,1.0,1.0,6.0,1.0,0.0,0.2912144511938095,0.7878495678305626,3.5,1.1614929214119911,4.0
6125,2018,9801,1206,Danilo Cataldi,h,Sub,183.0,1.0,1.0,6.0,1.0,0.0,0.2912144511938095,0.8798524737358093,3.5,1.2534958273172379,0.0
6551,2018,9810,1206,Danilo Cataldi,a,MC,214.0,1.0,1.0,6.0,1.0,0.0,0.2912144511938095,0.8798524737358093,3.5,1.2534958273172379,0.0
7016,2018,9834,1206,Danilo Cataldi,h,Sub,304.0,1.0,1.0,6.0,1.0,0.0,0.2912144511938095,0.8798524737358093,3.5,1.2534958273172379,0.0
7685,2018,9851,1206,Danilo Cataldi,h,Sub,315.0,2.0,1.0,7.0,2.0,0.0,0.3757665157318115,0.8798524737358093,6.0,1.007152020931244,2.5
9365,2018,9909,1206,Danilo Cataldi,a,MC,344.0,2.0,1.0,9.0,2.0,0.0,0.4217601381242275,0.8798524737358093,6.0,1.145132888108492,0.0
9788,2018,9932,1206,Danilo Cataldi,a,Sub,424.0,2.0,1.0,10.0,2.0,0.0,0.5061755292117596,0.9789195731282233,6.0,1.4974461607635021,0.0
10277,2018,9941,1206,Danilo Cataldi,h,Sub,452.0,2.0,1.0,10.0,2.0,0.0,0.5061755292117596,0.9789195731282233,6.0,1.4974461607635021,0.0
10372,2018,9956,1206,Danilo Cataldi,a,FW,478.0,2.0,1.0,12.0,2.0,0.0,0.5671246163547039,0.9789195731282233,6.0,1.6802934221923351,0.0
