,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
23,2018,9577,393,Douglas Costa,a,AML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2018,9587,393,Douglas Costa,h,Sub,65.0,0.0,0.0,2.0,0.0,0.0,0.058351632207632,0.0536366552114486,0.0,0.2286915518343448,0.0
587,2018,9599,393,Douglas Costa,a,Sub,93.0,0.0,0.0,2.0,1.0,0.0,0.058351632207632,0.21219192445278162,-0.5,-0.11275317892432218,-0.5
936,2018,9612,393,Douglas Costa,h,Sub,127.0,0.0,0.0,4.0,1.0,0.0,0.09425687417387951,0.21219192445278162,-0.5,-0.005037453025579577,0.0
2252,2018,9661,393,Douglas Costa,h,Sub,153.0,0.0,0.0,6.0,2.0,1.0,0.2228439114987849,0.8821698874235153,-1.5,0.050701621919870224,-1.0
2544,2018,9669,393,Douglas Costa,a,Sub,183.0,0.0,0.0,6.0,2.0,1.0,0.2228439114987849,0.8821698874235153,-1.5,0.050701621919870224,0.0
2889,2018,9681,393,Douglas Costa,h,FWR,190.0,0.0,0.0,6.0,2.0,1.0,0.2228439114987849,0.8821698874235153,-1.5,0.050701621919870224,0.0
3350,2018,9696,393,Douglas Costa,a,Sub,240.0,0.0,0.0,7.0,2.0,1.0,0.2398257832974194,1.0584436655044556,-1.5,0.27792101539671404,0.0
3388,2018,9702,393,Douglas Costa,h,ML,249.0,0.0,0.0,7.0,2.0,1.0,0.2398257832974194,1.1017965599894524,-1.5,0.32127390988171073,0.0
3679,2018,9709,393,Douglas Costa,a,Sub,322.0,0.0,0.0,12.0,2.0,1.0,0.4039283525198696,1.159167319536209,-1.5,0.8709523770958183,0.0
3912,2018,9717,393,Douglas Costa,h,Sub,327.0,0.0,0.0,12.0,2.0,1.0,0.4039283525198696,1.2074206359684467,-1.5,0.9192056935280559,0.0
4712,2018,9746,393,Douglas Costa,h,Sub,344.0,0.0,0.0,12.0,2.0,1.0,0.4039283525198696,1.2074206359684467,-1.5,0.9192056935280559,0.0
4778,2018,9747,393,Douglas Costa,a,FWL,354.0,0.0,0.0,12.0,2.0,1.0,0.4039283525198696,1.2074206359684467,-1.5,0.9192056935280559,0.0
5014,2018,9760,393,Douglas Costa,h,Sub,412.0,0.0,0.0,14.0,2.0,1.0,0.5224009361118076,1.263115257024765,-1.5,1.3303180653601883,0.0
5534,2018,9772,393,Douglas Costa,h,MR,418.0,0.0,0.0,15.0,2.0,1.0,0.5712437648326156,1.263115257024765,-1.5,1.4768465515226123,0.0
5803,2018,9786,393,Douglas Costa,a,AMC,496.0,1.0,0.0,18.0,2.0,1.0,0.6847756523638961,1.816185861825943,1.5,2.370512818917632,3.0
5900,2018,9794,393,Douglas Costa,h,FWR,568.0,1.0,0.0,18.0,2.0,1.0,0.6847756523638961,1.816185861825943,1.5,2.370512818917632,0.0
