,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
72,2018,9579,1000,Federico Fazio,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,2018,9596,1000,Federico Fazio,h,DC,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,-0.5
519,2018,9597,1000,Federico Fazio,a,DC,180.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-0.5,0.0
1248,2018,9617,1000,Federico Fazio,a,DC,270.0,1.0,0.0,1.0,1.0,0.0,0.0741418376564979,0.0,2.5,-0.2775744870305062,3.0
1570,2018,9634,1000,Federico Fazio,h,DC,336.0,1.0,0.0,5.0,2.0,0.0,0.8035256043076515,0.0,2.0,1.4105768129229546,-0.5
1654,2018,9637,1000,Federico Fazio,h,DC,426.0,1.0,0.0,5.0,2.0,0.0,0.8035256043076515,0.0,2.0,1.4105768129229546,0.0
2032,2018,9649,1000,Federico Fazio,a,DC,516.0,2.0,0.0,6.0,2.0,0.0,1.0847173407673836,0.0,5.0,2.2541520223021507,3.0
2213,2018,9663,1000,Federico Fazio,h,DC,606.0,2.0,0.0,6.0,2.0,0.0,1.0847173407673836,0.0,5.0,2.2541520223021507,0.0
2740,2018,9676,1000,Federico Fazio,a,Sub,696.0,2.0,0.0,6.0,3.0,0.0,1.0847173407673836,0.0,4.5,1.7541520223021507,-0.5
2869,2018,9679,1000,Federico Fazio,a,DC,710.0,2.0,0.0,6.0,3.0,0.0,1.0847173407673836,0.0,4.5,1.7541520223021507,0.0
3368,2018,9706,1000,Federico Fazio,a,DC,800.0,2.0,0.0,7.0,4.0,0.0,1.1920092105865479,0.0,4.0,1.5760276317596436,-0.5
3972,2018,9724,1000,Federico Fazio,a,DC,890.0,2.0,0.0,8.0,4.0,0.0,1.2089087329804897,0.0207236669957637,4.0,1.647449865937233,0.0
4369,2018,9734,1000,Federico Fazio,h,DC,980.0,2.0,0.0,9.0,4.0,0.0,1.246865138411522,0.1097427047789096,4.0,1.8503381200134754,0.0
