,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
507,2018,9600,6997,Ignacio Pussetto,a,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,2018,9616,6997,Ignacio Pussetto,h,MR,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189809873700141,0.0,0.0189809873700141,0.0
1075,2018,9618,6997,Ignacio Pussetto,a,MR,123.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0522393323481082,1.0,0.0522393323481082,1.0
1188,2018,9636,6997,Ignacio Pussetto,h,Sub,185.0,0.0,1.0,1.0,0.0,0.0,0.0630764216184616,0.1446118988096713,1.0,0.33384116366505606,0.0
1479,2018,9640,6997,Ignacio Pussetto,a,MR,208.0,0.0,1.0,2.0,1.0,0.0,0.0801819711923599,0.1446118988096713,1.0,-0.11484218761324894,0.0
1683,2018,9656,6997,Ignacio Pussetto,h,Sub,266.0,1.0,1.0,3.0,2.0,0.0,0.5298872143030166,0.1834079734981059,4.0,0.7730696164071559,3.0
1912,2018,9665,6997,Ignacio Pussetto,h,DMR,293.0,1.0,1.0,4.0,2.0,0.0,0.5411615213379263,0.1927502034232019,4.0,0.8162347674369811,0.0
2223,2018,9670,6997,Ignacio Pussetto,a,MR,383.0,1.0,1.0,5.0,3.0,0.0,1.2585833510383964,0.1927502034232019,4.0,2.468500256538391,0.0
2566,2018,9686,6997,Ignacio Pussetto,h,FW,469.0,1.0,1.0,7.0,3.0,0.0,1.3079341007396579,0.25400587450712897,4.0,2.677808176726103,0.0
2742,2018,9689,6997,Ignacio Pussetto,a,FW,555.0,1.0,1.0,10.0,4.0,0.0,1.385025310330093,0.2808688124641774,4.0,2.4359447434544563,0.0
2820,2018,9706,6997,Ignacio Pussetto,h,FW,645.0,2.0,1.0,17.0,4.0,0.0,2.3926303861662745,1.0799078186973927,7.0,6.257798977196217,3.0
3175,2018,9713,6997,Ignacio Pussetto,a,FW,735.0,2.0,2.0,19.0,4.0,0.0,2.7884865878149867,1.4935014983639119,8.0,7.858961261808872,1.0
3419,2018,9723,6997,Ignacio Pussetto,h,Sub,812.0,2.0,2.0,20.0,4.0,0.0,2.8665227172896266,1.4935014983639119,8.0,8.093069650232792,0.0
3518,2018,9733,6997,Ignacio Pussetto,a,FW,833.0,2.0,2.0,20.0,4.0,0.0,2.8665227172896266,1.4935014983639119,8.0,8.093069650232792,0.0
3849,2018,9742,6997,Ignacio Pussetto,h,Sub,923.0,2.0,2.0,22.0,4.0,0.0,2.922273593954742,1.4935014983639119,8.0,8.260322280228138,0.0
4113,2018,9755,6997,Ignacio Pussetto,a,FW,947.0,2.0,2.0,23.0,4.0,0.0,2.9480047849938273,1.4935014983639119,8.0,8.337515853345394,0.0
4358,2018,9766,6997,Ignacio Pussetto,h,FW,1037.0,2.0,2.0,24.0,4.0,0.0,2.976784802041948,1.4935014983639119,8.0,8.423855904489756,0.0
4692,2018,9779,6997,Ignacio Pussetto,a,Sub,1116.0,3.0,3.0,29.0,5.0,0.0,3.2013637041673064,1.5929362094029782,12.0,8.697027321904898,4.0
