,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
433,2018,9597,6965,Iván Marcano,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,2018,9617,6965,Iván Marcano,a,DL,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,2018,9634,6965,Iván Marcano,h,Sub,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4059911966323852,0.0,0.4059911966323852,0.0
1865,2018,9663,6965,Iván Marcano,h,DC,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4059911966323852,0.0,0.4059911966323852,0.0
4775,2018,9782,6965,Iván Marcano,a,DC,270.0,0.0,0.0,1.0,0.0,0.0,0.0120953135192394,0.4501056447625159,0.0,0.4863915853202342,0.0
5139,2018,9799,6965,Iván Marcano,a,DC,360.0,0.0,0.0,1.0,0.0,0.0,0.0120953135192394,0.4501056447625159,0.0,0.4863915853202342,0.0
5624,2018,9820,6965,Iván Marcano,a,DC,450.0,0.0,0.0,2.0,0.0,0.0,0.0474572777748107,0.5109729655086992,0.0,0.6533447988331317,0.0
6209,2018,9844,6965,Iván Marcano,h,DC,540.0,0.0,0.0,2.0,0.0,0.0,0.0474572777748107,0.5109729655086992,0.0,0.6533447988331317,0.0
6287,2018,9854,6965,Iván Marcano,a,DC,630.0,0.0,0.0,2.0,0.0,0.0,0.0474572777748107,0.5109729655086992,0.0,0.6533447988331317,0.0
7188,2018,9892,6965,Iván Marcano,h,DL,720.0,0.0,0.0,2.0,0.0,0.0,0.0474572777748107,0.5109729655086992,0.0,0.6533447988331317,0.0
