,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
324,2018,9590,6314,Joachim Andersen,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,2018,9604,6314,Joachim Andersen,h,DC,90.0,0.0,0.0,1.0,0.0,0.0,0.0387401580810546,0.0,0.0,0.116220474243164,0.0
856,2018,9609,6314,Joachim Andersen,a,DC,180.0,0.0,0.0,2.0,0.0,0.0,0.056297080591320894,0.0,0.0,0.1688912417739629,0.0
1066,2018,9580,6314,Joachim Andersen,h,DC,270.0,0.0,1.0,2.0,0.0,0.0,0.056297080591320894,0.1105978861451149,1.0,0.27948912791907776,1.0
1178,2018,9624,6314,Joachim Andersen,h,DC,360.0,0.0,1.0,2.0,0.0,0.0,0.056297080591320894,0.1105978861451149,1.0,0.27948912791907776,0.0
1472,2018,9628,6314,Joachim Andersen,a,DC,450.0,0.0,1.0,2.0,0.0,0.0,0.056297080591320894,0.1860000863671302,1.0,0.35489132814109303,0.0
1906,2018,9638,6314,Joachim Andersen,h,DC,540.0,0.0,1.0,2.0,0.0,0.0,0.056297080591320894,0.1860000863671302,1.0,0.35489132814109303,0.0
2087,2018,9647,6314,Joachim Andersen,a,DC,630.0,0.0,1.0,2.0,0.0,0.0,0.056297080591320894,0.1860000863671302,1.0,0.35489132814109303,0.0
2464,2018,9664,6314,Joachim Andersen,h,DC,720.0,0.0,1.0,4.0,1.0,0.0,0.1592202950268982,0.2442102208733557,0.5,0.22187110595405082,-0.5
2702,2018,9672,6314,Joachim Andersen,a,DC,810.0,0.0,1.0,5.0,2.0,0.0,0.2597738448530433,0.2442102208733557,0.0,0.023531755432486423,-0.5
2995,2018,9685,6314,Joachim Andersen,h,DC,900.0,0.0,1.0,5.0,2.0,0.0,0.2597738448530433,0.2442102208733557,0.0,0.023531755432486423,0.0
3285,2018,9692,6314,Joachim Andersen,a,DC,990.0,0.0,1.0,5.0,2.0,0.0,0.2597738448530433,0.2442102208733557,0.0,0.023531755432486423,0.0
3588,2018,9700,6314,Joachim Andersen,a,DC,1080.0,0.0,1.0,5.0,2.0,0.0,0.2597738448530433,0.2442102208733557,0.0,0.023531755432486423,0.0
3682,2018,9712,6314,Joachim Andersen,h,DC,1170.0,0.0,1.0,6.0,2.0,0.0,0.3189602177590129,0.2442102208733557,0.0,0.20109087415039523,0.0
4000,2018,9718,6314,Joachim Andersen,a,DC,1260.0,0.0,1.0,6.0,2.0,0.0,0.3189602177590129,0.2442102208733557,0.0,0.20109087415039523,0.0
4314,2018,9735,6314,Joachim Andersen,h,DC,1350.0,0.0,1.0,6.0,3.0,0.0,0.3189602177590129,0.2442102208733557,-0.5,-0.2989091258496048,-0.5
4632,2018,9744,6314,Joachim Andersen,a,DC,1440.0,0.0,1.0,6.0,3.0,0.0,0.3189602177590129,0.2906842567026613,-0.5,-0.2524350900202992,0.0
4867,2018,9754,6314,Joachim Andersen,h,DC,1530.0,0.0,1.0,7.0,4.0,0.0,0.6090021710842846,0.2906842567026613,-1.0,0.11769076995551564,-0.5
5407,2018,9768,6314,Joachim Andersen,a,DC,1620.0,0.0,1.0,8.0,5.0,0.0,0.6290171351283785,0.3411708064377305,-1.5,-0.2717777881771328,-0.5
5587,2018,9779,6314,Joachim Andersen,h,DC,1710.0,0.0,1.0,8.0,5.0,0.0,0.6290171351283785,0.3411708064377305,-1.5,-0.2717777881771328,0.0
5881,2018,9795,6314,Joachim Andersen,a,DC,1800.0,0.0,1.0,8.0,5.0,0.0,0.6290171351283785,0.3411708064377305,-1.5,-0.2717777881771328,0.0
