,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
97,2018,9582,1600,Jonathan Biabiany,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2391,2018,9662,1600,Jonathan Biabiany,h,Sub,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3125,2018,9695,1600,Jonathan Biabiany,a,FWR,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447,2018,9705,1600,Jonathan Biabiany,h,Sub,103.0,0.0,0.0,1.0,0.0,0.0,0.1110325157642364,0.0,0.0,0.3330975472927093,0.0
3729,2018,9711,1600,Jonathan Biabiany,a,FWR,124.0,0.0,0.0,1.0,0.0,0.0,0.1110325157642364,0.0,0.0,0.3330975472927093,0.0
4048,2018,9721,1600,Jonathan Biabiany,h,FWR,214.0,0.0,0.0,1.0,1.0,0.0,0.1110325157642364,0.0967368111014366,-0.5,-0.07016564160585409,-0.5
4336,2018,9735,1600,Jonathan Biabiany,a,FWL,272.0,0.0,0.0,2.0,2.0,0.0,0.1981247588992118,0.1109207943081855,-1.0,-0.29470492899417877,-0.5
4861,2018,9750,1600,Jonathan Biabiany,a,FWL,362.0,0.0,0.0,2.0,2.0,0.0,0.1981247588992118,0.1109207943081855,-1.0,-0.29470492899417877,0.0
5151,2018,9764,1600,Jonathan Biabiany,h,FWL,452.0,0.0,0.0,2.0,3.0,0.0,0.1981247588992118,0.13075220584869368,-1.5,-0.7748735174536705,-0.5
5329,2018,9776,1600,Jonathan Biabiany,a,FWR,522.0,0.0,0.0,2.0,3.0,0.0,0.1981247588992118,0.13075220584869368,-1.5,-0.7748735174536705,0.0
5679,2018,9778,1600,Jonathan Biabiany,h,FWL,612.0,0.0,0.0,3.0,3.0,0.0,0.4881843850016593,0.4585162997245787,-1.5,0.42306945472955704,0.0
5914,2018,9794,1600,Jonathan Biabiany,a,FWR,702.0,0.0,0.0,3.0,3.0,0.0,0.4881843850016593,0.7325859069824217,-1.5,0.6971390619874,0.0
6208,2018,9803,1600,Jonathan Biabiany,h,Sub,760.0,0.0,0.0,3.0,3.0,0.0,0.4881843850016593,0.7325859069824217,-1.5,0.6971390619874,0.0
6441,2018,9808,1600,Jonathan Biabiany,a,FWR,792.0,0.0,0.0,3.0,4.0,0.0,0.4881843850016593,0.7325859069824217,-2.0,0.19713906198740005,-0.5
6874,2018,9823,1600,Jonathan Biabiany,h,FWR,880.0,0.0,0.0,3.0,4.0,0.0,0.4881843850016593,0.8502457067370413,-2.0,0.31479886174201965,0.0
6975,2018,9832,1600,Jonathan Biabiany,a,Sub,964.0,0.0,0.0,4.0,4.0,0.0,0.5070669054985045,0.8629281846806405,-2.0,0.38412890117615456,0.0
7241,2018,9843,1600,Jonathan Biabiany,h,Sub,981.0,0.0,0.0,4.0,4.0,0.0,0.5070669054985045,0.8629281846806405,-2.0,0.38412890117615456,0.0
7694,2018,9851,1600,Jonathan Biabiany,a,MC,1000.0,0.0,0.0,4.0,4.0,0.0,0.5070669054985045,1.1612694291397927,-2.0,0.6824701456353068,0.0
