,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
144,2018,9584,1590,Luca Antonelli,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,2018,9594,1590,Luca Antonelli,a,DL,75.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0414356365799903,-0.5,-0.4585643634200096,-0.5
662,2018,9602,1590,Luca Antonelli,a,DL,165.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0414356365799903,-0.5,-0.4585643634200096,0.0
2313,2018,9660,1590,Luca Antonelli,a,DL,178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0414356365799903,-0.5,-0.4585643634200096,0.0
2522,2018,9669,1590,Luca Antonelli,h,DL,256.0,0.0,1.0,0.0,1.0,0.0,0.0,0.510537065565586,0.5,0.01053706556558609,1.0
2815,2018,9683,1590,Luca Antonelli,a,DL,328.0,0.0,1.0,0.0,1.0,0.0,0.0,0.510537065565586,0.5,0.01053706556558609,0.0
3246,2018,9689,1590,Luca Antonelli,h,DL,418.0,0.0,1.0,1.0,1.0,0.0,0.0131790768355131,0.5287606008350848,0.5,0.06829783134162419,0.0
4275,2018,9731,1590,Luca Antonelli,a,DL,508.0,0.0,1.0,1.0,1.0,0.0,0.0131790768355131,0.6022427864372729,0.5,0.1417800169438123,0.0
4966,2018,9756,1590,Luca Antonelli,a,DML,580.0,0.0,1.0,2.0,1.0,0.0,0.0895498227328061,0.6022427864372729,0.5,0.3708922546356915,0.0
5069,2018,9758,1590,Luca Antonelli,h,Sub,670.0,0.0,1.0,2.0,1.0,0.0,0.0895498227328061,0.6022427864372729,0.5,0.3708922546356915,0.0
8103,2018,9869,1590,Luca Antonelli,h,Sub,710.0,0.0,1.0,2.0,1.0,0.0,0.0895498227328061,0.6022427864372729,0.5,0.3708922546356915,0.0
8476,2018,9885,1590,Luca Antonelli,a,Sub,711.0,0.0,1.0,2.0,1.0,0.0,0.0895498227328061,0.6022427864372729,0.5,0.3708922546356915,0.0
8862,2018,9887,1590,Luca Antonelli,a,DML,753.0,0.0,1.0,5.0,1.0,0.0,0.2784828674048184,0.6752980686724184,0.5,1.010746670886874,0.0
