,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4995,2018,9792,6021,Lukas Lerager,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5210,2018,9798,6021,Lukas Lerager,a,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0532276704907417,0.0,0.0,0.1596830114722252,0.0
5449,2018,9810,6021,Lukas Lerager,h,MC,180.0,1.0,0.0,4.0,0.0,0.0,0.6026294901967049,0.4569103419780731,3.0,2.2647988125681877,3.0
5696,2018,9818,6021,Lukas Lerager,a,MC,270.0,1.0,0.0,4.0,0.0,0.0,0.6026294901967049,0.4569103419780731,3.0,2.2647988125681877,0.0
5937,2018,9833,6021,Lukas Lerager,h,MC,327.0,1.0,0.0,5.0,1.0,0.0,0.6206927243620156,0.4569103419780731,3.0,1.8189885150641203,0.0
6040,2018,9843,6021,Lukas Lerager,a,MC,417.0,1.0,0.0,7.0,1.0,0.0,0.7065683845430611,0.5043515376746655,3.0,2.124056691303849,0.0
6324,2018,9850,6021,Lukas Lerager,h,MR,507.0,1.0,0.0,8.0,1.0,0.0,0.8044813442975282,0.5246599093079567,3.0,2.4381039422005415,0.0
6501,2018,9865,6021,Lukas Lerager,a,MR,597.0,1.0,0.0,8.0,1.0,0.0,0.8044813442975282,0.6954530999064445,3.0,2.6088971327990294,0.0
6793,2018,9871,6021,Lukas Lerager,h,MR,687.0,1.0,0.0,8.0,1.0,0.0,0.8044813442975282,0.7450718581676482,3.0,2.658515891060233,0.0
7301,2018,9893,6021,Lukas Lerager,a,Sub,777.0,1.0,0.0,9.0,2.0,0.0,0.8863355834037063,0.7850743420422076,3.0,2.4440810922533274,0.0
7511,2018,9900,6021,Lukas Lerager,h,MR,811.0,1.0,0.0,9.0,3.0,0.0,0.8863355834037063,0.8907093368470667,3.0,2.0497160870581865,0.0
7756,2018,9910,6021,Lukas Lerager,a,MC,901.0,1.0,0.0,13.0,4.0,0.0,1.3297210354357956,0.9974943883717058,3.0,2.9866574946790934,0.0
8048,2018,9919,6021,Lukas Lerager,h,MC,991.0,1.0,0.0,15.0,4.0,0.0,1.4009209442883728,1.0436686798930166,3.0,3.246431512758136,0.0
8131,2018,9930,6021,Lukas Lerager,a,MC,1074.0,1.0,0.0,16.0,4.0,0.0,1.428260689601302,1.1464873626828191,3.0,3.431269431486726,0.0
