,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
26,2018,9577,1295,Mario Mandzukic,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2018,9587,1295,Mario Mandzukic,h,FW,25.0,0.0,0.0,2.0,0.0,0.0,0.0988782867789268,0.0,0.0,0.2966348603367805,0.0
583,2018,9599,1295,Mario Mandzukic,a,FW,115.0,1.0,0.0,3.0,0.0,0.0,0.6206400617957115,0.0201886054128408,3.0,1.8821087907999754,3.0
934,2018,9612,1295,Mario Mandzukic,h,FW,205.0,2.0,1.0,6.0,0.0,0.0,1.4592352136969566,0.1885540839284658,7.0,4.566259725019336,4.0
1367,2018,9620,1295,Mario Mandzukic,a,FW,269.0,2.0,1.0,7.0,0.0,0.0,1.5437344014644623,0.1885540839284658,7.0,4.819757288321853,0.0
1690,2018,9646,1295,Mario Mandzukic,h,FW,354.0,2.0,1.0,9.0,0.0,0.0,1.6954072266817093,0.30414879880845536,7.0,5.390370478853583,0.0
2011,2018,9656,1295,Mario Mandzukic,a,FW,438.0,4.0,1.0,11.0,0.0,0.0,2.6156288534402847,0.581127082929015,13.0,8.42801364324987,6.0
2248,2018,9661,1295,Mario Mandzukic,h,FW,528.0,4.0,2.0,14.0,1.0,0.0,3.356624260544777,1.2920478340238333,13.5,10.861920615658164,0.5
3348,2018,9696,1295,Mario Mandzukic,a,FW,610.0,4.0,2.0,14.0,1.0,0.0,3.356624260544777,1.2920478340238333,13.5,10.861920615658164,0.0
3390,2018,9702,1295,Mario Mandzukic,h,FW,700.0,5.0,2.0,17.0,1.0,0.0,3.754510775208473,1.2920478340238333,16.5,12.055580159649253,3.0
3676,2018,9709,1295,Mario Mandzukic,a,FW,790.0,6.0,2.0,18.0,1.0,0.0,4.353378191590309,1.2920478340238333,19.5,13.85218240879476,3.0
3911,2018,9717,1295,Mario Mandzukic,h,FWL,879.0,6.0,2.0,19.0,2.0,0.0,4.4018517807126045,1.2920478340238333,19.0,13.497603176161647,-0.5
4226,2018,9727,1295,Mario Mandzukic,a,FW,969.0,7.0,2.0,21.0,2.0,0.0,5.140185661613941,1.4336060043424368,22.0,15.85416298918426,3.0
4709,2018,9746,1295,Mario Mandzukic,h,FW,1059.0,7.0,2.0,21.0,2.0,0.0,5.140185661613941,1.5223700609058142,22.0,15.942927045747638,0.0
4777,2018,9747,1295,Mario Mandzukic,a,FW,1149.0,8.0,2.0,22.0,2.0,0.0,5.512792803347111,2.0331962909549475,25.0,17.57157470099628,3.0
5012,2018,9760,1295,Mario Mandzukic,h,FW,1239.0,8.0,3.0,22.0,3.0,0.0,5.512792803347111,2.713631412014365,25.5,17.752009822055697,0.5
5902,2018,9794,1295,Mario Mandzukic,h,FWL,1310.0,8.0,3.0,22.0,3.0,0.0,5.512792803347111,2.713631412014365,25.5,17.752009822055697,0.0
6359,2018,9805,1295,Mario Mandzukic,a,FW,1400.0,8.0,4.0,23.0,3.0,0.0,5.590270131826401,3.2815767135471106,26.5,18.552387109026313,1.0
6401,2018,9812,1295,Mario Mandzukic,h,FW,1490.0,8.0,4.0,24.0,3.0,0.0,5.713899351656437,3.3531151469796896,26.5,18.994813201949,0.0
6805,2018,9817,1295,Mario Mandzukic,a,FW,1580.0,8.0,5.0,25.0,3.0,0.0,6.054613269865513,3.5119738038629293,27.5,20.175813613459468,1.0
7196,2018,9836,1295,Mario Mandzukic,a,FW,1670.0,8.0,5.0,26.0,3.0,0.0,6.085939075797796,3.5119738038629293,27.5,20.269791031256318,0.0
7612,2018,9850,1295,Mario Mandzukic,a,FW,1746.0,8.0,5.0,26.0,3.0,0.0,6.085939075797796,3.5840233247727156,27.5,20.341840552166104,0.0
7822,2018,9862,1295,Mario Mandzukic,h,FW,1821.0,8.0,5.0,27.0,3.0,0.0,6.102203162387013,3.7307360749691725,27.5,20.537345562130213,0.0
8350,2018,9886,1295,Mario Mandzukic,h,FW,1911.0,8.0,6.0,30.0,3.0,0.0,6.556160422042012,3.820403402671218,28.5,21.988884668797255,1.0
10220,2018,9940,1295,Mario Mandzukic,h,Sub,2001.0,8.0,6.0,31.0,4.0,0.0,6.628567883744836,4.050770288333297,28.0,21.936473939567804,-0.5
