,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2127,2018,9669,1120,Mattia De Sciglio,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2420,2018,9681,1120,Mattia De Sciglio,h,DL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370343923568725,0.0,0.0370343923568725,0.0
2835,2018,9702,1120,Mattia De Sciglio,h,DR,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0370343923568725,0.0,0.0370343923568725,0.0
3075,2018,9709,1120,Mattia De Sciglio,a,DR,270.0,0.0,0.0,1.0,0.0,0.0,0.0143373738974332,0.0370343923568725,0.0,0.0800465140491723,0.0
3270,2018,9717,1120,Mattia De Sciglio,h,DL,360.0,0.0,0.0,1.0,0.0,0.0,0.0143373738974332,0.0370343923568725,0.0,0.0800465140491723,0.0
3531,2018,9727,1120,Mattia De Sciglio,a,DR,450.0,0.0,0.0,1.0,0.0,0.0,0.0143373738974332,0.0887937620282172,0.0,0.131805883720517,0.0
3929,2018,9746,1120,Mattia De Sciglio,h,DR,540.0,0.0,0.0,1.0,0.0,0.0,0.0143373738974332,0.0887937620282172,0.0,0.131805883720517,0.0
3986,2018,9747,1120,Mattia De Sciglio,a,DR,630.0,0.0,1.0,2.0,0.0,0.0,0.0399807523936032,0.4614009037613867,1.0,0.5813431609421966,1.0
4186,2018,9760,1120,Mattia De Sciglio,h,DR,720.0,0.0,1.0,2.0,0.0,0.0,0.0399807523936032,0.4774964116513727,1.0,0.5974386688321827,0.0
4624,2018,9772,1120,Mattia De Sciglio,h,DR,810.0,0.0,1.0,2.0,0.0,0.0,0.0399807523936032,0.4986622333526609,1.0,0.6186044905334709,0.0
4839,2018,9786,1120,Mattia De Sciglio,a,DR,900.0,0.0,1.0,3.0,1.0,0.0,0.0572158973664044,0.4986622333526609,1.0,0.1703099254518745,0.0
5295,2018,9805,1120,Mattia De Sciglio,a,DR,990.0,0.0,1.0,3.0,2.0,0.0,0.0572158973664044,0.5252881608903405,1.0,-0.30306414701044576,0.0
5332,2018,9812,1120,Mattia De Sciglio,h,DL,1080.0,0.0,1.0,4.0,2.0,0.0,0.1067371275275944,0.8592228554189202,1.0,0.17943423800170405,0.0
5668,2018,9817,1120,Mattia De Sciglio,a,DR,1170.0,0.0,1.0,4.0,2.0,0.0,0.1067371275275944,0.8592228554189202,1.0,0.17943423800170405,0.0
5999,2018,9836,1120,Mattia De Sciglio,a,Sub,1260.0,0.0,1.0,5.0,2.0,0.0,0.122565673664212,0.8592228554189202,1.0,0.22691987641155695,0.0
6736,2018,9868,1120,Mattia De Sciglio,a,DMR,1287.0,0.0,1.0,5.0,2.0,0.0,0.122565673664212,0.8592228554189202,1.0,0.22691987641155695,0.0
6957,2018,9886,1120,Mattia De Sciglio,h,DMR,1377.0,0.0,1.0,5.0,2.0,0.0,0.122565673664212,1.330403562635183,1.0,0.6981005836278198,0.0
7174,2018,9895,1120,Mattia De Sciglio,a,DC,1467.0,0.0,1.0,5.0,2.0,0.0,0.122565673664212,1.3523220848292108,1.0,0.7200191058218477,0.0
8287,2018,9936,1120,Mattia De Sciglio,a,DR,1557.0,0.0,1.0,6.0,2.0,0.0,0.17217298410832851,1.3523220848292108,1.0,0.8688410371541974,0.0
8771,2018,9954,1120,Mattia De Sciglio,a,DL,1642.0,0.0,1.0,6.0,2.0,0.0,0.17217298410832851,1.3699558731168504,1.0,0.886474825441837,0.0
