,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
160,2018,9585,6187,Mirco Antenucci,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2018,9589,6187,Mirco Antenucci,h,FW,90.0,0.0,0.0,3.0,0.0,0.0,0.1507806479930877,0.0,0.0,0.4523419439792633,0.0
651,2018,9606,6187,Mirco Antenucci,a,FW,180.0,1.0,0.0,5.0,0.0,0.0,0.2490817680954932,0.0,3.0,0.74724530428648,3.0
879,2018,9615,6187,Mirco Antenucci,h,FW,270.0,1.0,0.0,5.0,0.0,0.0,0.2490817680954932,0.0961011424660682,3.0,0.8433464467525481,0.0
983,2018,9619,6187,Mirco Antenucci,a,FW,360.0,1.0,0.0,7.0,0.0,0.0,0.3029683344066141,0.2333349511027335,3.0,1.1422399543225765,0.0
1352,2018,9635,6187,Mirco Antenucci,h,FW,450.0,1.0,0.0,10.0,0.0,0.0,0.7787065021693704,0.2333349511027335,3.0,2.5694544576108456,0.0
1850,2018,9654,6187,Mirco Antenucci,h,FW,540.0,1.0,0.0,11.0,0.0,0.0,0.8514002673327921,0.30885773897171,3.0,2.863058540970087,0.0
2240,2018,9674,6187,Mirco Antenucci,h,Sub,606.0,1.0,0.0,15.0,0.0,0.0,1.8448016755282877,0.30885773897171,3.0,5.843262765556574,0.0
2462,2018,9682,6187,Mirco Antenucci,a,FW,635.0,1.0,0.0,16.0,0.0,0.0,2.091236677020788,0.3509225174784658,3.0,6.624632548540831,0.0
2634,2018,9694,6187,Mirco Antenucci,h,FW,725.0,2.0,0.0,20.0,0.0,0.0,2.790052082389593,0.3509225174784658,6.0,8.721078764647245,3.0
2854,2018,9702,6187,Mirco Antenucci,a,FW,815.0,3.0,0.0,23.0,0.0,0.0,3.3687215708196163,0.548917196691036,9.0,10.655081909149885,3.0
3050,2018,9714,6187,Mirco Antenucci,h,FW,905.0,3.0,0.0,24.0,0.0,0.0,3.3929813094437122,0.5689808018505571,9.0,10.747924730181694,0.0
3473,2018,9726,6187,Mirco Antenucci,a,FW,992.0,3.0,0.0,26.0,0.0,0.0,3.486467596143484,1.119838763028383,9.0,11.579241551458836,0.0
3550,2018,9736,6187,Mirco Antenucci,h,FW,1082.0,3.0,0.0,30.0,0.0,0.0,4.3113990388810635,1.4456749148666856,9.0,14.379872031509876,0.0
3791,2018,9739,6187,Mirco Antenucci,a,FW,1161.0,3.0,0.0,31.0,0.0,0.0,4.336465420201421,1.4456749148666856,9.0,14.455071175470948,0.0
4416,2018,9762,6187,Mirco Antenucci,a,FW,1251.0,3.0,0.0,31.0,0.0,0.0,4.336465420201421,1.4456749148666856,9.0,14.455071175470948,0.0
4543,2018,9775,6187,Mirco Antenucci,h,FW,1341.0,3.0,0.0,32.0,0.0,0.0,4.387895053252578,1.5439817272126672,9.0,14.7076668869704,0.0
4761,2018,9778,6187,Mirco Antenucci,a,Sub,1431.0,3.0,0.0,36.0,0.0,0.0,5.116770571097732,1.5905950181186197,9.0,16.940906731411815,0.0
4953,2018,9787,6187,Mirco Antenucci,h,FW,1451.0,3.0,0.0,36.0,0.0,0.0,5.116770571097732,1.6537569947540758,9.0,17.00406870804727,0.0
5406,2018,9815,6187,Mirco Antenucci,h,FW,1541.0,3.0,0.0,39.0,0.0,0.0,5.181735461577773,1.6537569947540758,9.0,17.198963379487395,0.0
6283,2018,9854,6187,Mirco Antenucci,h,FW,1631.0,3.0,0.0,41.0,0.0,0.0,5.277895016595721,1.7795168198645113,9.0,17.613201869651675,0.0
6625,2018,9860,6187,Mirco Antenucci,a,FW,1721.0,3.0,0.0,43.0,0.0,0.0,5.34126759134233,1.7795168198645113,9.0,17.8033195938915,0.0
7044,2018,9878,6187,Mirco Antenucci,a,FW,1811.0,3.0,0.0,43.0,0.0,0.0,5.34126759134233,1.7795168198645113,9.0,17.8033195938915,0.0
7748,2018,9910,6187,Mirco Antenucci,h,Sub,1901.0,4.0,0.0,44.0,0.0,0.0,6.102566426619887,1.7795168198645113,12.0,20.087216099724174,3.0
8264,2018,9928,6187,Mirco Antenucci,h,Sub,1918.0,4.0,0.0,44.0,0.0,0.0,6.102566426619887,1.7795168198645113,12.0,20.087216099724174,0.0
8369,2018,9945,6187,Mirco Antenucci,a,Sub,1933.0,4.0,0.0,46.0,0.0,0.0,6.1725439708679914,1.818241152912378,12.0,20.335873065516353,0.0
8790,2018,9955,6187,Mirco Antenucci,h,FW,1957.0,4.0,0.0,47.0,0.0,0.0,6.24787069670856,1.818241152912378,12.0,20.56185324303806,0.0
