,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
113,2018,9583,1461,Pol Lirola,h,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,2018,9591,1461,Pol Lirola,a,DR,90.0,0.0,0.0,1.0,0.0,0.0,0.0116742271929979,0.1325167417526245,0.0,0.1675394233316183,0.0
732,2018,9605,1461,Pol Lirola,h,DMR,170.0,0.0,0.0,1.0,0.0,0.0,0.0116742271929979,0.33103181421756744,0.0,0.36605449579656124,0.0
939,2018,9612,1461,Pol Lirola,a,DR,260.0,1.0,0.0,2.0,0.0,0.0,0.31894558854401106,0.45010133832693094,3.0,1.4069381039589643,3.0
1093,2018,9625,1461,Pol Lirola,h,DR,350.0,1.0,0.0,2.0,0.0,0.0,0.31894558854401106,0.5510738641023635,3.0,1.507910629734397,0.0
1621,2018,9635,1461,Pol Lirola,a,Sub,440.0,1.0,1.0,4.0,0.0,0.0,0.3465158510953187,1.282429650425911,4.0,2.3219772037118673,1.0
1877,2018,9639,1461,Pol Lirola,h,DR,457.0,1.0,1.0,4.0,0.0,0.0,0.3465158510953187,1.359233796596527,4.0,2.3987813498824835,0.0
2173,2018,9653,1461,Pol Lirola,a,DMR,547.0,1.0,1.0,5.0,0.0,0.0,0.36358210071921326,1.359233796596527,4.0,2.4499800987541676,0.0
2480,2018,9664,1461,Pol Lirola,a,DMR,637.0,1.0,1.0,5.0,0.0,0.0,0.36358210071921326,1.37861274369061,4.0,2.4693590458482504,0.0
2951,2018,9678,1461,Pol Lirola,a,DR,727.0,1.0,1.0,6.0,0.0,0.0,0.43563323095440837,1.4445538315922022,4.0,2.751453524455428,0.0
3302,2018,9693,1461,Pol Lirola,h,MR,817.0,1.0,1.0,6.0,0.0,0.0,0.43563323095440837,1.7101355586200953,4.0,3.017035251483321,0.0
3764,2018,9713,1461,Pol Lirola,h,DR,907.0,1.0,2.0,6.0,0.0,0.0,0.43563323095440837,1.7710246127098799,5.0,3.077924305573106,1.0
4013,2018,9722,1461,Pol Lirola,h,DR,997.0,1.0,2.0,7.0,1.0,0.0,0.4512559501454231,1.8913368936628103,4.5,2.7451047440990806,-0.5
4299,2018,9732,1461,Pol Lirola,a,DR,1087.0,1.0,2.0,7.0,1.0,0.0,0.4512559501454231,1.9347431901842356,4.5,2.788511040620506,0.0
4563,2018,9741,1461,Pol Lirola,h,DR,1177.0,1.0,2.0,7.0,1.0,0.0,0.4512559501454231,1.9347431901842356,4.5,2.788511040620506,0.0
4944,2018,9753,1461,Pol Lirola,a,Sub,1267.0,1.0,3.0,7.0,1.0,0.0,0.4512559501454231,2.107454026117921,5.5,2.961221876554191,1.0
5170,2018,9765,1461,Pol Lirola,h,DR,1310.0,1.0,3.0,8.0,1.0,0.0,0.46063165459781846,2.107454026117921,5.5,2.9893489899113774,0.0
5350,2018,9771,1461,Pol Lirola,a,DR,1400.0,1.0,3.0,8.0,1.0,0.0,0.46063165459781846,2.1927124727517366,5.5,3.074607436545193,0.0
5558,2018,9780,1461,Pol Lirola,h,DR,1490.0,1.0,3.0,8.0,1.0,0.0,0.46063165459781846,2.1927124727517366,5.5,3.074607436545193,0.0
5989,2018,9792,1461,Pol Lirola,a,DR,1580.0,1.0,3.0,9.0,1.0,0.0,0.9733729222789402,2.8183069098740816,5.5,5.238425676710904,0.0
6336,2018,9805,1461,Pol Lirola,h,DR,1670.0,1.0,3.0,10.0,1.0,0.0,0.9902969235554332,2.997005658224225,5.5,5.467896428890526,0.0
6518,2018,9809,1461,Pol Lirola,a,DR,1760.0,1.0,3.0,10.0,2.0,0.0,0.9902969235554332,2.997005658224225,5.0,4.967896428890526,-0.5
6992,2018,9835,1461,Pol Lirola,a,DR,1850.0,1.0,3.0,10.0,2.0,0.0,0.9902969235554332,3.322377847507596,5.0,5.293268618173897,0.0
7399,2018,9846,1461,Pol Lirola,h,DMR,1940.0,1.0,3.0,10.0,2.0,0.0,0.9902969235554332,3.6659488547593355,5.0,5.636839625425637,0.0
7510,2018,9853,1461,Pol Lirola,h,DMR,2030.0,1.0,3.0,11.0,2.0,0.0,1.0116814216598862,3.7046845015138388,5.0,5.739728766493499,0.0
8007,2018,9857,1461,Pol Lirola,a,Sub,2120.0,1.0,4.0,13.0,2.0,0.0,1.0929404040798538,4.361503725871444,6.0,6.640324938111007,1.0
8258,2018,9874,1461,Pol Lirola,h,DR,2163.0,1.0,4.0,13.0,2.0,0.0,1.0929404040798538,4.361503725871444,6.0,6.640324938111007,0.0
8525,2018,9881,1461,Pol Lirola,a,DMR,2253.0,1.0,5.0,13.0,2.0,0.0,1.0929404040798538,4.748174285516143,7.0,7.026995497755706,1.0
8760,2018,9894,1461,Pol Lirola,h,DR,2343.0,1.0,5.0,14.0,2.0,0.0,1.1394713399931782,4.748174285516143,7.0,7.166588305495679,0.0
