,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
522,2018,9597,6362,Rick Karsdorp,a,MR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
879,2018,9614,6362,Rick Karsdorp,h,Sub,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5281,2018,9774,6362,Rick Karsdorp,h,DR,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5712,2018,9782,6362,Rick Karsdorp,a,DR,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6031,2018,9796,6362,Rick Karsdorp,h,DR,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496509782969951,0.0,0.0496509782969951,0.0
6155,2018,9799,6362,Rick Karsdorp,a,DR,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496509782969951,0.0,0.0496509782969951,0.0
7464,2018,9844,6362,Rick Karsdorp,h,Sub,433.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1398120783269404,1.0,0.1398120783269404,1.0
7548,2018,9854,6362,Rick Karsdorp,a,DR,442.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1398120783269404,1.0,0.1398120783269404,0.0
8185,2018,9873,6362,Rick Karsdorp,h,Sub,523.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2095058076083658,1.0,0.2095058076083658,0.0
8382,2018,9884,6362,Rick Karsdorp,a,DR,544.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2095058076083658,0.5,-0.2904941923916342,-0.5
9677,2018,9919,6362,Rick Karsdorp,a,Sub,595.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2738602794706819,0.5,-0.2261397205293181,0.0
