,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
282,2018,9591,1403,Simone Padoin,h,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,2018,9603,1403,Simone Padoin,a,DL,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,1.0
849,2018,9607,1403,Simone Padoin,h,DL,180.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
1229,2018,9628,1403,Simone Padoin,h,DL,270.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
1653,2018,9648,1403,Simone Padoin,h,DL,360.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
2040,2018,9659,1403,Simone Padoin,a,DL,450.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
2188,2018,9668,1403,Simone Padoin,h,DL,540.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
2432,2018,9681,1403,Simone Padoin,a,DL,630.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
2642,2018,9694,1403,Simone Padoin,a,DL,714.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1433969885110855,1.0,0.1433969885110855,0.0
3146,2018,9710,1403,Simone Padoin,a,DL,804.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6935143023729324,2.0,0.6935143023729324,1.0
3317,2018,9724,1403,Simone Padoin,h,DL,894.0,0.0,2.0,0.0,0.0,0.0,0.0,0.7475341707468033,2.0,0.7475341707468033,0.0
3635,2018,9730,1403,Simone Padoin,h,DL,959.0,0.0,2.0,0.0,0.0,0.0,0.0,0.826619029045105,2.0,0.826619029045105,0.0
3738,2018,9737,1403,Simone Padoin,a,DL,1049.0,0.0,2.0,1.0,1.0,0.0,0.0392984077334404,0.8483707178384065,2.0,0.46626594103872776,0.0
4026,2018,9749,1403,Simone Padoin,h,DL,1139.0,0.0,2.0,1.0,1.0,0.0,0.0392984077334404,0.8483707178384065,2.0,0.46626594103872776,0.0
4558,2018,9767,1403,Simone Padoin,h,DL,1229.0,0.0,2.0,1.0,1.0,0.0,0.0392984077334404,0.8483707178384065,2.0,0.46626594103872776,0.0
5082,2018,9789,1403,Simone Padoin,h,DL,1319.0,0.0,2.0,1.0,1.0,0.0,0.0392984077334404,0.8483707178384065,2.0,0.46626594103872776,0.0
5325,2018,9802,1403,Simone Padoin,a,ML,1394.0,0.0,2.0,1.0,1.0,0.0,0.0392984077334404,0.8483707178384065,2.0,0.46626594103872776,0.0
5352,2018,9808,1403,Simone Padoin,h,DR,1462.0,0.0,2.0,2.0,1.0,0.0,0.066978882998228,0.8925580028444526,2.0,0.5934946518391371,0.0
5645,2018,9824,1403,Simone Padoin,a,DR,1552.0,0.0,2.0,2.0,1.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.7043686266988516,0.0
6085,2018,9837,1403,Simone Padoin,a,MC,1627.0,0.0,2.0,2.0,1.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.7043686266988516,0.0
6239,2018,9848,1403,Simone Padoin,h,Sub,1675.0,0.0,2.0,2.0,1.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.7043686266988516,0.0
7245,2018,9896,1403,Simone Padoin,a,DR,1690.0,0.0,2.0,2.0,1.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.7043686266988516,0.0
7474,2018,9898,1403,Simone Padoin,h,Sub,1780.0,0.0,2.0,2.0,2.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.20436862669885159,0.0
8088,2018,9925,1403,Simone Padoin,a,Sub,1797.0,0.0,2.0,2.0,2.0,0.0,0.066978882998228,1.0034319777041671,2.0,0.20436862669885159,0.0
8143,2018,9932,1403,Simone Padoin,h,MC,1816.0,0.0,2.0,3.0,2.0,0.0,0.1069458499550818,1.0034319777041671,2.0,0.3242695275694132,0.0
