,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4452,2018,9776,1763,Stefano Okaka,h,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4691,2018,9779,1763,Stefano Okaka,a,FW,76.0,1.0,0.0,4.0,1.0,0.0,0.4660979509353637,0.2353532612323761,3.0,1.1336471140384674,3.0
4976,2018,9788,1763,Stefano Okaka,h,Sub,153.0,1.0,0.0,5.0,2.0,0.0,0.5381819382309914,0.2353532612323761,3.0,0.8498990759253502,0.0
5280,2018,9806,1763,Stefano Okaka,a,FW,168.0,1.0,0.0,6.0,2.0,0.0,0.5682126600295304,0.2353532612323761,3.0,0.9399912413209676,0.0
5477,2018,9816,1763,Stefano Okaka,h,FW,258.0,1.0,0.0,7.0,2.0,0.0,0.5821789167821406,0.2958745695650577,3.0,1.0424113199114797,0.0
5918,2018,9829,1763,Stefano Okaka,h,FW,315.0,1.0,0.0,8.0,2.0,0.0,0.645643014460802,0.2958745695650577,3.0,1.2328036129474638,0.0
6493,2018,9865,1763,Stefano Okaka,h,FW,405.0,1.0,0.0,9.0,3.0,0.0,0.6758536007255315,0.6751724220812321,3.0,1.2027332242578266,0.0
6720,2018,9872,1763,Stefano Okaka,a,Sub,479.0,2.0,0.0,11.0,3.0,0.0,1.4045537617057562,0.6967889685183762,6.0,3.410450253635645,3.0
7057,2018,9885,1763,Stefano Okaka,h,FW,510.0,2.0,0.0,11.0,3.0,0.0,1.4045537617057562,0.6967889685183762,6.0,3.410450253635645,0.0
7206,2018,9892,1763,Stefano Okaka,a,FW,578.0,2.0,1.0,11.0,3.0,0.0,1.4045537617057562,0.7874669451266525,7.0,3.5011282302439213,1.0
7564,2018,9905,1763,Stefano Okaka,h,FW,668.0,2.0,1.0,12.0,3.0,0.0,1.4936497565358877,0.7874669451266525,7.0,3.768416214734316,0.0
7936,2018,9921,1763,Stefano Okaka,h,Sub,758.0,2.0,1.0,13.0,3.0,0.0,1.5127427857369184,0.8150122202932832,7.0,3.853240577504039,0.0
8251,2018,9934,1763,Stefano Okaka,a,FW,787.0,2.0,1.0,13.0,3.0,0.0,1.5127427857369184,0.8150122202932832,7.0,3.853240577504039,0.0
8354,2018,9945,1763,Stefano Okaka,h,FW,874.0,4.0,1.0,16.0,4.0,0.0,2.631499318405986,0.8782443813979623,13.0,6.77274233661592,6.0
