,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
63,2018,9579,1099,Tomás Rincón,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,2018,9595,1099,Tomás Rincón,a,MC,88.0,0.0,0.0,1.0,0.0,0.0,0.0480230785906314,0.0569236911833286,0.0,0.200992926955223,0.0
763,2018,9606,1099,Tomás Rincón,h,MC,178.0,0.0,0.0,3.0,0.0,0.0,0.10014712065458281,0.0569236911833286,0.0,0.3573650531470774,0.0
1211,2018,9626,1099,Tomás Rincón,h,MC,268.0,0.0,0.0,4.0,0.0,0.0,0.11706659570336321,0.0569236911833286,0.0,0.4081234782934187,0.0
1449,2018,9627,1099,Tomás Rincón,a,MC,358.0,0.0,0.0,6.0,1.0,0.0,0.2088881544768808,0.0569236911833286,-0.5,0.18358815461397163,-0.5
1784,2018,9641,1099,Tomás Rincón,a,MC,448.0,0.0,0.0,6.0,1.0,0.0,0.2088881544768808,0.0569236911833286,-0.5,0.18358815461397163,0.0
1939,2018,9655,1099,Tomás Rincón,h,MC,538.0,0.0,0.0,7.0,2.0,0.0,0.2245833929628131,0.0723413256928324,-1.0,-0.2539084954187275,-0.5
2343,2018,9657,1099,Tomás Rincón,a,MC,628.0,1.0,0.0,8.0,2.0,0.0,0.2435481771826741,0.0723413256928324,2.0,-0.1970141427591445,3.0
2553,2018,9675,1099,Tomás Rincón,h,MC,718.0,1.0,0.0,10.0,2.0,0.0,0.28626295924186673,0.0723413256928324,2.0,-0.06886979658156661,0.0
3013,2018,9685,1099,Tomás Rincón,a,MC,808.0,1.0,0.0,11.0,3.0,0.0,0.30258858017623386,0.1114684073254465,1.5,-0.48076585214585094,-0.5
3110,2018,9695,1099,Tomás Rincón,h,MC,894.0,1.0,0.0,12.0,4.0,0.0,0.32062697596847967,0.1114684073254465,1.0,-0.9266506647691133,-0.5
3796,2018,9715,1099,Tomás Rincón,h,MC,984.0,1.0,0.0,13.0,5.0,0.0,0.3369572255760427,0.24783821683377008,0.5,-1.2412901064381006,-0.5
4170,2018,9719,1099,Tomás Rincón,a,MC,1074.0,1.0,1.0,14.0,5.0,0.0,0.3752227593213315,0.4113678066059945,1.5,-0.9629639154300096,1.0
4207,2018,9727,1099,Tomás Rincón,h,DMC,1164.0,1.0,1.0,14.0,5.0,0.0,0.3752227593213315,0.5455227075144646,1.5,-0.8288090145215394,0.0
4583,2018,9741,1099,Tomás Rincón,a,MC,1254.0,1.0,1.0,14.0,5.0,0.0,0.3752227593213315,0.5455227075144646,1.5,-0.8288090145215394,0.0
4953,2018,9756,1099,Tomás Rincón,h,MC,1344.0,1.0,1.0,15.0,6.0,0.0,0.38793801236897646,0.5455227075144646,1.0,-1.2906632553786042,-0.5
5131,2018,9761,1099,Tomás Rincón,a,DMC,1425.0,1.0,1.0,15.0,7.0,0.0,0.38793801236897646,0.6203693253919479,0.5,-1.7158166375011208,-0.5
5301,2018,9774,1099,Tomás Rincón,a,MC,1515.0,1.0,1.0,15.0,8.0,0.0,0.38793801236897646,0.6203693253919479,0.0,-2.2158166375011206,-0.5
5760,2018,9781,1099,Tomás Rincón,h,MC,1605.0,2.0,1.0,17.0,9.0,0.0,0.4131196560338133,0.6203693253919479,2.5,-2.64027170650661,2.5
5939,2018,9787,1099,Tomás Rincón,a,MC,1695.0,2.0,1.0,18.0,9.0,0.0,0.43090283777564686,0.6203693253919479,2.5,-2.586922161281109,0.0
6313,2018,9806,1099,Tomás Rincón,h,MC,1785.0,2.0,1.0,20.0,9.0,0.0,0.47373073082417166,0.6562534896656866,2.5,-2.4225543178617954,0.0
6634,2018,9813,1099,Tomás Rincón,a,MC,1875.0,2.0,1.0,20.0,9.0,0.0,0.47373073082417166,0.6562534896656866,2.5,-2.4225543178617954,0.0
7044,2018,9828,1099,Tomás Rincón,h,Sub,1932.0,2.0,1.0,21.0,10.0,0.0,0.5211564665660253,0.6562534896656866,2.0,-2.7802771106362343,-0.5
7331,2018,9840,1099,Tomás Rincón,a,MC,1938.0,3.0,1.0,22.0,10.0,0.0,0.5904268687590948,0.6562534896656866,5.0,-2.572465904057026,3.0
