,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
113,2019,13093,4895,Andrea Pinamonti,a,FW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,2019,13106,4895,Andrea Pinamonti,h,FW,90.0,1.0,0.0,1.0,0.0,0.0,0.0630631297826767,0.0206583756953477,3.0,0.2098477650433778,3.0
540,2019,13111,4895,Andrea Pinamonti,h,FW,177.0,1.0,0.0,6.0,0.0,0.0,0.604534313082695,0.0206583756953477,3.0,1.8342613149434328,0.0
1029,2019,13131,4895,Andrea Pinamonti,h,FW,267.0,1.0,0.0,9.0,0.0,0.0,0.7316261380910873,0.0206583756953477,3.0,2.21553678996861,0.0
1450,2019,13153,4895,Andrea Pinamonti,h,FW,335.0,1.0,0.0,9.0,0.0,0.0,0.7316261380910873,0.0852793995290993,3.0,2.2801578138023615,0.0
1792,2019,13165,4895,Andrea Pinamonti,a,Sub,411.0,1.0,0.0,10.0,0.0,0.0,0.8571931570768356,0.0852793995290993,3.0,2.6568588707596064,0.0
1922,2019,13172,4895,Andrea Pinamonti,h,FW,453.0,2.0,0.0,12.0,0.0,0.0,0.955723226070404,0.0852793995290993,6.0,2.9524490777403116,3.0
2196,2019,13181,4895,Andrea Pinamonti,a,FW,543.0,2.0,1.0,12.0,0.0,0.0,0.955723226070404,0.2039764318615196,7.0,3.071146110072732,1.0
2417,2019,13192,4895,Andrea Pinamonti,h,FW,633.0,2.0,1.0,13.0,0.0,0.0,0.9853537473827599,0.2039764318615196,7.0,3.1600376740098,0.0
2641,2019,13204,4895,Andrea Pinamonti,a,FW,723.0,2.0,1.0,16.0,0.0,0.0,1.231402913108468,0.2039764318615196,7.0,3.898185171186924,0.0
3014,2019,13217,4895,Andrea Pinamonti,a,FW,813.0,2.0,1.0,20.0,0.0,0.0,2.089378098025918,0.29524339921772447,7.0,6.563377693295479,0.0
3052,2019,13222,4895,Andrea Pinamonti,h,Sub,877.0,2.0,1.0,22.0,0.0,0.0,2.3170167449861765,0.29524339921772447,7.0,7.246293634176254,0.0
3364,2019,13233,4895,Andrea Pinamonti,a,FW,900.0,2.0,1.0,22.0,0.0,0.0,2.3170167449861765,0.29524339921772447,7.0,7.246293634176254,0.0
3539,2019,13243,4895,Andrea Pinamonti,h,FW,987.0,2.0,1.0,24.0,0.0,0.0,2.9142061714082956,0.30975176859646997,7.0,9.052370282821357,0.0
3823,2019,13251,4895,Andrea Pinamonti,a,FW,1077.0,2.0,1.0,25.0,0.0,0.0,2.976715872064233,0.32178046926855997,7.0,9.251928085461259,0.0
4694,2019,13290,4895,Andrea Pinamonti,a,Sub,1148.0,2.0,1.0,25.0,0.0,0.0,2.976715872064233,0.32178046926855997,7.0,9.251928085461259,0.0
4968,2019,13299,4895,Andrea Pinamonti,a,FW,1168.0,2.0,1.0,26.0,0.0,0.0,3.466029802337289,0.32178046926855997,7.0,10.719869876280427,0.0
5257,2019,13311,4895,Andrea Pinamonti,h,FW,1257.0,2.0,1.0,28.0,0.0,0.0,3.579354615882039,0.34917299449443767,7.0,11.087236842140555,0.0
5384,2019,13320,4895,Andrea Pinamonti,a,Sub,1336.0,2.0,1.0,30.0,1.0,0.0,3.7188239861279726,0.4614416286349291,7.0,11.117913587018847,0.0
6176,2019,13352,4895,Andrea Pinamonti,h,Sub,1414.0,2.0,1.0,31.0,1.0,0.0,3.7454403787851334,0.4614416286349291,7.0,11.19776276499033,0.0
6340,2019,13359,4895,Andrea Pinamonti,a,FW,1446.0,2.0,1.0,31.0,1.0,0.0,3.7454403787851334,0.4614416286349291,7.0,11.19776276499033,0.0
6579,2019,13372,4895,Andrea Pinamonti,h,FW,1536.0,3.0,1.0,34.0,1.0,0.0,4.618183568120003,0.4614416286349291,10.0,13.815992332994938,3.0
6983,2019,13384,4895,Andrea Pinamonti,a,Sub,1626.0,4.0,1.0,36.0,1.0,0.0,4.775321036577225,0.4776806589215988,13.0,14.303643768653274,3.0
7149,2019,13392,4895,Andrea Pinamonti,h,FW,1668.0,5.0,1.0,39.0,1.0,0.0,6.2372991144657135,0.4776806589215988,16.0,18.68957800231874,3.0
7394,2019,13405,4895,Andrea Pinamonti,h,FW,1753.0,5.0,1.0,41.0,1.0,0.0,6.385556638240814,0.4776806589215988,16.0,19.134350573644042,0.0
7792,2019,13411,4895,Andrea Pinamonti,a,FW,1843.0,5.0,1.0,44.0,1.0,0.0,6.540985003113747,0.534607740119099,16.0,19.65756274946034,0.0
7982,2019,13422,4895,Andrea Pinamonti,h,Sub,1933.0,5.0,1.0,45.0,1.0,0.0,6.5990206599235535,0.5805500429123632,16.0,19.877612022683024,0.0
8217,2019,13434,4895,Andrea Pinamonti,a,FW,1971.0,5.0,1.0,45.0,1.0,0.0,6.5990206599235535,0.5971128009259692,16.0,19.89417478069663,0.0
8379,2019,13441,4895,Andrea Pinamonti,h,FW,2059.0,5.0,1.0,48.0,1.0,0.0,6.691145025193691,0.5971128009259692,16.0,20.170547876507044,0.0
8681,2019,13455,4895,Andrea Pinamonti,a,FW,2149.0,5.0,1.0,51.0,1.0,0.0,6.875331245362759,0.5971128009259692,16.0,20.723106537014246,0.0
