,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2165,2019,13163,8059,Biagio Meccariello,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,2019,13175,8059,Biagio Meccariello,h,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043637741357088,0.0,0.043637741357088,0.0
2667,2019,13186,8059,Biagio Meccariello,a,DR,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0610059145838021,0.0,0.0610059145838021,0.0
2933,2019,13194,8059,Biagio Meccariello,h,DR,254.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10154480300843699,-0.5,-0.3984551969915629,-0.5
3198,2019,13203,8059,Biagio Meccariello,a,DR,344.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10154480300843699,-0.5,-0.3984551969915629,0.0
3557,2019,13212,8059,Biagio Meccariello,h,Sub,431.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11566141899675109,-0.5,-0.3843385810032488,0.0
5447,2019,13285,8059,Biagio Meccariello,h,Sub,459.0,0.0,0.0,2.0,1.0,0.0,0.057105679064989,0.11566141899675109,-0.5,-0.21302154380828162,0.0
5769,2019,13298,8059,Biagio Meccariello,a,Sub,462.0,0.0,0.0,2.0,2.0,0.0,0.057105679064989,0.11566141899675109,-1.0,-0.7130215438082816,-0.5
6849,2019,13335,8059,Biagio Meccariello,a,Sub,479.0,0.0,0.0,2.0,2.0,0.0,0.057105679064989,0.11566141899675109,-1.0,-0.7130215438082816,0.0
7282,2019,13354,8059,Biagio Meccariello,h,DC,485.0,0.0,0.0,2.0,2.0,0.0,0.057105679064989,0.11566141899675109,-1.0,-0.7130215438082816,0.0
8093,2019,13377,8059,Biagio Meccariello,h,DC,575.0,0.0,0.0,3.0,2.0,0.0,0.0789729245007037,0.11566141899675109,-1.0,-0.6474198075011376,0.0
10186,2019,13439,8059,Biagio Meccariello,a,Sub,623.0,0.0,0.0,4.0,2.0,0.0,0.1714571006596087,0.11566141899675109,-1.0,-0.3699672790244225,0.0
10456,2019,13453,8059,Biagio Meccariello,a,Sub,632.0,0.0,0.0,4.0,2.0,0.0,0.1714571006596087,0.11566141899675109,-1.0,-0.3699672790244225,0.0
10927,2019,13468,8059,Biagio Meccariello,h,DC,668.0,0.0,0.0,4.0,2.0,0.0,0.1714571006596087,0.11566141899675109,-1.0,-0.3699672790244225,0.0
