,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4521,2019,13281,8269,Birkir Bjarnason,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5235,2019,13309,8269,Birkir Bjarnason,h,Sub,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5445,2019,13322,8269,Birkir Bjarnason,a,MC,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5576,2019,13331,8269,Birkir Bjarnason,h,AMC,146.0,0.0,0.0,2.0,0.0,0.0,0.0722603797912597,0.0,0.0,0.2167811393737793,0.0
5935,2019,13347,8269,Birkir Bjarnason,a,MC,211.0,0.0,0.0,2.0,0.0,0.0,0.0722603797912597,0.080940842628479,0.0,0.2977219820022583,0.0
6057,2019,13351,8269,Birkir Bjarnason,a,MC,301.0,0.0,0.0,2.0,0.0,0.0,0.0722603797912597,0.2315121591091156,0.0,0.4482932984828949,0.0
6326,2019,13359,8269,Birkir Bjarnason,h,MC,356.0,0.0,0.0,2.0,0.0,0.0,0.0722603797912597,0.2315121591091156,0.0,0.4482932984828949,0.0
6648,2019,13378,8269,Birkir Bjarnason,a,Sub,442.0,0.0,1.0,3.0,1.0,0.0,0.20979237556457508,1.106141597032547,1.0,1.2355187237262726,1.0
6993,2019,13385,8269,Birkir Bjarnason,h,AML,483.0,0.0,1.0,3.0,1.0,0.0,0.20979237556457508,1.106141597032547,1.0,1.2355187237262726,0.0
7253,2019,13397,8269,Birkir Bjarnason,a,ML,569.0,0.0,1.0,4.0,1.0,0.0,0.22826422564685328,1.106141597032547,1.0,1.2909342739731073,0.0
7339,2019,13407,8269,Birkir Bjarnason,h,MC,631.0,0.0,1.0,5.0,1.0,0.0,0.2624549958854912,1.5010210275650024,1.0,1.7883860152214766,0.0
7581,2019,13410,8269,Birkir Bjarnason,a,ML,690.0,0.0,1.0,8.0,1.0,0.0,0.3228760864585636,1.5010210275650024,1.0,1.9696492869406939,0.0
8193,2019,13432,8269,Birkir Bjarnason,a,Sub,780.0,0.0,1.0,8.0,1.0,0.0,0.3228760864585636,1.5010210275650024,1.0,1.9696492869406939,0.0
