,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
111,2019,13092,1444,Blerim Dzemaili,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,2019,13099,1444,Blerim Dzemaili,h,Sub,11.0,0.0,0.0,1.0,0.0,0.0,0.0196423307061195,0.0,0.0,0.0589269921183586,0.0
689,2019,13109,1444,Blerim Dzemaili,a,DMC,29.0,0.0,0.0,2.0,0.0,0.0,0.0380472037941217,0.059258047491312,0.0,0.1733996588736772,0.0
1252,2019,13131,1444,Blerim Dzemaili,a,Sub,79.0,0.0,0.0,4.0,0.0,0.0,0.07417263276875011,0.11147848516702641,0.0,0.333996383473277,0.0
1582,2019,13148,1444,Blerim Dzemaili,a,DMC,80.0,0.0,0.0,4.0,0.0,0.0,0.07417263276875011,0.11147848516702641,0.0,0.333996383473277,0.0
2009,2019,13161,1444,Blerim Dzemaili,a,Sub,157.0,0.0,0.0,4.0,0.0,0.0,0.07417263276875011,0.11147848516702641,0.0,0.333996383473277,0.0
2324,2019,13170,1444,Blerim Dzemaili,h,DMC,165.0,0.0,0.0,4.0,0.0,0.0,0.07417263276875011,0.11147848516702641,0.0,0.333996383473277,0.0
2588,2019,13180,1444,Blerim Dzemaili,a,DMC,233.0,0.0,0.0,5.0,0.0,0.0,0.1297231409698723,0.1410842221230267,0.0,0.530253645032644,0.0
2804,2019,13190,1444,Blerim Dzemaili,h,Sub,323.0,0.0,0.0,7.0,0.0,0.0,0.1646164972335098,0.1543661653995512,0.0,0.6482156571000811,0.0
3068,2019,13207,1444,Blerim Dzemaili,a,Sub,337.0,0.0,0.0,8.0,0.0,0.0,0.17745611909776898,0.1543661653995512,0.0,0.6867345226928588,0.0
3412,2019,13210,1444,Blerim Dzemaili,h,DMC,363.0,0.0,0.0,11.0,1.0,0.0,0.2736951271072027,0.1543661653995512,-0.5,0.47545154672116013,-0.5
3816,2019,13227,1444,Blerim Dzemaili,a,MC,453.0,1.0,0.0,15.0,1.0,0.0,0.38437079731374935,0.39914847910404183,2.5,1.0522608710452912,3.0
4137,2019,13230,1444,Blerim Dzemaili,h,AMC,543.0,1.0,1.0,16.0,2.0,0.0,0.45694972667843053,1.3382412940263746,3.0,1.7090904740616677,0.5
4277,2019,13239,1444,Blerim Dzemaili,h,AMC,607.0,1.0,1.0,16.0,2.0,0.0,0.45694972667843053,1.3693832159042356,3.0,1.7402323959395287,0.0
