,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
105,2019,13093,1133,Cristian Zapata,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,2019,13106,1133,Cristian Zapata,h,DC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,2019,13111,1133,Cristian Zapata,h,DC,180.0,1.0,0.0,2.0,0.0,0.0,0.3066949546337127,0.0628694370388984,3.0,0.9829543009400368,3.0
705,2019,13121,1133,Cristian Zapata,a,DC,270.0,1.0,0.0,2.0,1.0,0.0,0.3066949546337127,0.0628694370388984,3.0,0.4829543009400368,0.0
1020,2019,13131,1133,Cristian Zapata,h,DC,360.0,1.0,0.0,2.0,1.0,0.0,0.3066949546337127,0.0628694370388984,3.0,0.4829543009400368,0.0
1443,2019,13153,1133,Cristian Zapata,h,DC,450.0,1.0,0.0,2.0,2.0,0.0,0.3066949546337127,0.0628694370388984,3.0,-0.017045699059963226,0.0
1783,2019,13165,1133,Cristian Zapata,a,DC,540.0,1.0,0.0,4.0,3.0,0.0,0.3775058910250663,0.0628694370388984,3.0,-0.3046128898859024,0.0
1914,2019,13172,1133,Cristian Zapata,h,DC,630.0,1.0,0.0,4.0,3.0,0.0,0.3775058910250663,0.8354454115033149,3.0,0.4679630845785141,0.0
2189,2019,13181,1133,Cristian Zapata,a,DC,720.0,1.0,0.0,5.0,3.0,0.0,0.42991860210895533,0.8354454115033149,3.0,0.6252012178301811,0.0
2410,2019,13192,1133,Cristian Zapata,h,DC,810.0,1.0,0.0,6.0,3.0,0.0,0.458907390013337,0.8354454115033149,3.0,0.7121675815433264,0.0
2635,2019,13204,1133,Cristian Zapata,a,DC,900.0,1.0,0.0,7.0,3.0,0.0,0.5094373021274803,0.8770622573792932,3.0,0.9053741637617349,0.0
3008,2019,13217,1133,Cristian Zapata,a,DC,990.0,1.0,0.0,7.0,3.0,0.0,0.5094373021274803,0.8770622573792932,3.0,0.9053741637617349,0.0
6332,2019,13359,1133,Cristian Zapata,a,DC,1080.0,1.0,0.0,7.0,3.0,0.0,0.5094373021274803,0.8770622573792932,3.0,0.9053741637617349,0.0
7140,2019,13392,1133,Cristian Zapata,h,DC,1170.0,1.0,0.0,7.0,4.0,0.0,0.5094373021274803,0.8770622573792932,3.0,0.40537416376173485,0.0
7386,2019,13405,1133,Cristian Zapata,h,DC,1260.0,1.0,0.0,8.0,4.0,0.0,0.5430177729576824,0.8953766226768491,3.0,0.5244299415498971,0.0
7785,2019,13411,1133,Cristian Zapata,a,DC,1350.0,1.0,0.0,8.0,4.0,0.0,0.5430177729576824,0.8953766226768491,3.0,0.5244299415498971,0.0
7972,2019,13422,1133,Cristian Zapata,h,DC,1440.0,1.0,0.0,10.0,4.0,0.0,0.5984829459339378,0.9102130141109226,3.0,0.7056618519127368,0.0
8372,2019,13441,1133,Cristian Zapata,h,DC,1530.0,1.0,0.0,11.0,4.0,0.0,0.6188251245766875,0.9102130141109226,3.0,0.766688387840986,0.0
9013,2019,13466,1133,Cristian Zapata,h,DC,1620.0,1.0,0.0,12.0,4.0,0.0,0.6665096823126073,0.9102130141109226,3.0,0.9097420610487459,0.0
