,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
5338,2019,13287,5246,Diego Demme,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5805,2019,13292,5246,Diego Demme,h,MC,32.0,0.0,0.0,1.0,1.0,0.0,0.045562919229269,0.0,-0.5,-0.3633112423121929,-0.5
6103,2019,13306,5246,Diego Demme,a,Sub,102.0,0.0,0.0,1.0,2.0,0.0,0.045562919229269,0.0,-1.0,-0.8633112423121929,-0.5
6330,2019,13313,5246,Diego Demme,h,MC,131.0,1.0,0.0,2.0,3.0,0.0,0.37989553436636925,0.0,1.5,-0.36031339690089226,2.5
6621,2019,13321,5246,Diego Demme,a,MC,221.0,1.0,0.0,3.0,4.0,0.0,0.46279798820614815,0.0600370094180107,1.0,-0.5515690259635448,-0.5
6703,2019,13331,5246,Diego Demme,a,MC,282.0,1.0,0.0,3.0,4.0,0.0,0.46279798820614815,0.1169538237154483,1.0,-0.49465221166610723,0.0
7394,2019,13358,5246,Diego Demme,a,MC,368.0,1.0,0.0,3.0,4.0,0.0,0.46279798820614815,0.1169538237154483,1.0,-0.49465221166610723,0.0
8143,2019,13369,5246,Diego Demme,a,MC,443.0,1.0,0.0,3.0,4.0,0.0,0.46279798820614815,0.1169538237154483,1.0,-0.49465221166610723,0.0
8470,2019,13380,5246,Diego Demme,h,MC,520.0,1.0,0.0,3.0,4.0,0.0,0.46279798820614815,0.1169538237154483,1.0,-0.49465221166610723,0.0
9063,2019,13401,5246,Diego Demme,h,Sub,591.0,1.0,0.0,4.0,5.0,0.0,0.475292976014316,0.1169538237154483,0.5,-0.9571672482416034,-0.5
9225,2019,13418,5246,Diego Demme,a,MC,614.0,1.0,0.0,4.0,5.0,0.0,0.475292976014316,0.1360862143337725,0.5,-0.9380348576232792,0.0
9649,2019,13425,5246,Diego Demme,h,Sub,704.0,1.0,0.0,4.0,5.0,0.0,0.475292976014316,0.30862041190266587,0.5,-0.7655006600543858,0.0
9812,2019,13433,5246,Diego Demme,a,MC,722.0,1.0,0.0,4.0,6.0,0.0,0.475292976014316,0.30862041190266587,0.0,-1.2655006600543857,-0.5
10386,2019,13450,5246,Diego Demme,a,MC,809.0,1.0,0.0,4.0,6.0,0.0,0.475292976014316,0.39698748663067784,0.0,-1.1771335853263736,0.0
10720,2019,13462,5246,Diego Demme,h,Sub,899.0,1.0,0.0,4.0,6.0,0.0,0.475292976014316,0.39698748663067784,0.0,-1.1771335853263736,0.0
