,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2138,2019,13165,1264,Edoardo Goldaniga,a,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5466,2019,13282,1264,Edoardo Goldaniga,h,DC,56.0,0.0,0.0,3.0,0.0,0.0,1.310516357421875,0.0332064032554626,0.0,3.964755475521088,0.0
5963,2019,13299,1264,Edoardo Goldaniga,a,Sub,146.0,0.0,0.0,4.0,0.0,0.0,1.3792914673686028,0.0332064032554626,0.0,4.171080805361271,0.0
6461,2019,13320,1264,Edoardo Goldaniga,a,Sub,147.0,0.0,0.0,4.0,0.0,0.0,1.3792914673686028,0.0332064032554626,0.0,4.171080805361271,0.0
8388,2019,13384,1264,Edoardo Goldaniga,a,DC,189.0,0.0,0.0,4.0,1.0,0.0,1.3792914673686028,0.0332064032554626,-0.5,3.671080805361271,-0.5
8590,2019,13392,1264,Edoardo Goldaniga,h,DC,279.0,0.0,0.0,4.0,2.0,0.0,1.3792914673686028,0.0332064032554626,-1.0,3.171080805361271,-0.5
8904,2019,13405,1264,Edoardo Goldaniga,h,DC,369.0,1.0,0.0,5.0,3.0,0.0,1.4940434694290161,0.0332064032554626,1.5,3.015336811542511,2.5
9379,2019,13411,1264,Edoardo Goldaniga,a,DC,459.0,1.0,0.0,5.0,3.0,0.0,1.4940434694290161,0.052326833829283596,1.5,3.034457242116332,0.0
9618,2019,13422,1264,Edoardo Goldaniga,h,Sub,549.0,1.0,0.0,6.0,4.0,0.0,1.5072557590901852,0.12118971906602369,1.0,2.6429569963365793,-0.5
9911,2019,13434,1264,Edoardo Goldaniga,a,Sub,550.0,1.0,0.0,6.0,4.0,0.0,1.5072557590901852,0.12118971906602369,1.0,2.6429569963365793,0.0
10097,2019,13441,1264,Edoardo Goldaniga,h,DC,571.0,1.0,0.0,6.0,4.0,0.0,1.5072557590901852,0.12118971906602369,1.0,2.6429569963365793,0.0
10476,2019,13455,1264,Edoardo Goldaniga,a,DC,661.0,1.0,0.0,6.0,4.0,0.0,1.5072557590901852,0.22058287821710088,1.0,2.7423501554876566,0.0
10907,2019,13466,1264,Edoardo Goldaniga,h,Sub,751.0,1.0,0.0,6.0,4.0,0.0,1.5072557590901852,0.3596186842769382,1.0,2.881385961547494,0.0
