,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
76,2019,13091,737,Fabio Borini,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,2019,13100,737,Fabio Borini,h,Sub,64.0,0.0,0.0,1.0,1.0,0.0,0.0305673964321613,0.0,-0.5,-0.408297810703516,-0.5
5407,2019,13280,737,Fabio Borini,a,Sub,73.0,0.0,0.0,2.0,1.0,0.0,0.0894317738711833,0.0,-0.5,-0.2317046783864498,0.0
5755,2019,13298,737,Fabio Borini,h,Sub,99.0,1.0,0.0,7.0,1.0,0.0,0.6493274681270121,0.1356595605611801,2.5,1.583641964942217,3.0
6018,2019,13305,737,Fabio Borini,a,Sub,137.0,1.0,0.0,8.0,1.0,0.0,0.6764806862920522,0.2795552015304565,2.5,1.8089972604066136,0.0
6127,2019,13252,737,Fabio Borini,a,AMC,156.0,1.0,0.0,8.0,2.0,0.0,0.6764806862920522,0.2795552015304565,2.0,1.3089972604066136,-0.5
6222,2019,13318,737,Fabio Borini,h,FW,246.0,1.0,0.0,13.0,2.0,0.0,0.8905831035226581,0.2795552015304565,2.0,1.9513045120984318,0.0
6512,2019,13328,737,Fabio Borini,a,AMC,336.0,2.0,0.0,18.0,2.0,0.0,1.2557325121015308,0.2795552015304565,5.0,3.0467527378350496,3.0
7165,2019,13338,737,Fabio Borini,h,AMC,426.0,2.0,0.0,22.0,2.0,0.0,1.4771607127040622,0.2795552015304565,5.0,3.711037339642644,0.0
8035,2019,13373,737,Fabio Borini,h,AMC,460.0,2.0,0.0,22.0,2.0,1.0,1.4771607127040622,0.3019937444478272,4.5,3.2334758825600147,-0.5
8426,2019,13385,737,Fabio Borini,a,AMC,527.0,2.0,0.0,24.0,2.0,1.0,1.5605739187449215,0.3019937444478272,4.5,3.4837155006825924,0.0
9438,2019,13428,737,Fabio Borini,h,Sub,560.0,2.0,0.0,26.0,2.0,1.0,1.6284365262836216,0.3019937444478272,4.5,3.6873033232986927,0.0
9967,2019,13437,737,Fabio Borini,a,AMC,603.0,2.0,0.0,27.0,2.0,1.0,1.6492946427315471,0.3019937444478272,4.5,3.7498776726424694,0.0
10251,2019,13446,737,Fabio Borini,h,AMC,683.0,3.0,0.0,32.0,2.0,1.0,2.597445635125041,0.3469401393085716,7.5,6.639277044683695,3.0
10401,2019,13452,737,Fabio Borini,h,DMR,755.0,3.0,0.0,36.0,2.0,1.0,2.714092155918479,0.3469401393085716,7.5,6.989216607064009,0.0
10921,2019,13466,737,Fabio Borini,a,Sub,840.0,3.0,0.0,38.0,2.0,1.0,2.9041880425065756,0.3469401393085716,7.5,7.559504266828299,0.0
