,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
51,2019,13090,2447,Fabián,a,AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,2019,13101,2447,Fabián,a,AMC,90.0,0.0,0.0,2.0,0.0,0.0,0.0761522948741912,0.102443516254425,0.0,0.3309004008769989,0.0
593,2019,13114,2447,Fabián,h,MC,180.0,0.0,0.0,5.0,0.0,0.0,0.1199575774371623,0.102443516254425,0.0,0.4623162485659122,0.0
1022,2019,13124,2447,Fabián,a,MR,270.0,0.0,0.0,7.0,1.0,0.0,0.1668734066188334,0.1244456376880406,-0.5,0.1250658575445413,-0.5
1484,2019,13144,2447,Fabián,h,MC,360.0,1.0,0.0,10.0,2.0,0.0,0.3226837478578089,0.1244456376880406,2.0,0.0924968812614679,2.5
1889,2019,13158,2447,Fabián,a,MC,450.0,1.0,0.0,12.0,2.0,0.0,0.359558969736099,0.23062243126332738,2.0,0.30929934047162533,0.0
1960,2019,13164,2447,Fabián,h,DMC,540.0,1.0,0.0,16.0,2.0,0.0,0.4502061232924459,0.37462835572659947,2.0,0.7252467256039381,0.0
2400,2019,13177,2447,Fabián,a,Sub,630.0,1.0,1.0,19.0,2.0,0.0,0.5570532605051992,1.1176317837089298,3.0,1.7887915652245283,1.0
2546,2019,13184,2447,Fabián,h,MC,664.0,1.0,1.0,22.0,2.0,0.0,0.6654608473181722,1.1176317837089298,3.0,2.1140143256634474,0.0
2784,2019,13196,2447,Fabián,a,MC,754.0,1.0,2.0,25.0,2.0,0.0,1.0997438952326772,1.6967298891395328,4.0,3.9959615748375654,1.0
3133,2019,13204,2447,Fabián,h,MC,844.0,1.0,2.0,26.0,2.0,0.0,1.1133742155507205,1.6967298891395328,4.0,4.036852535791695,0.0
3801,2019,13227,2447,Fabián,h,MC,934.0,1.0,2.0,29.0,2.0,0.0,1.212280345149338,1.7262987196445463,4.0,4.363139755092561,0.0
3956,2019,13238,2447,Fabián,a,MC,1024.0,1.0,2.0,32.0,2.0,0.0,1.330004443414509,1.7506350539624689,4.0,4.740648384205997,0.0
4190,2019,13247,2447,Fabián,h,MC,1114.0,1.0,2.0,34.0,2.0,0.0,1.3964793505147097,1.7506350539624689,4.0,4.940073105506599,0.0
4707,2019,13256,2447,Fabián,a,MC,1204.0,1.0,2.0,38.0,2.0,0.0,1.553596478886902,1.810309238731861,4.0,5.471098675392568,0.0
4972,2019,13266,2447,Fabián,h,MC,1275.0,1.0,2.0,40.0,2.0,0.0,1.6141461515799163,1.810309238731861,4.0,5.6527476934716105,0.0
5041,2019,13273,2447,Fabián,a,MC,1360.0,1.0,2.0,42.0,2.0,0.0,1.6519638234749434,1.9101382344961164,4.0,5.8660297049209476,0.0
5330,2019,13287,2447,Fabián,h,MC,1450.0,1.0,2.0,43.0,2.0,0.0,1.6712043853476641,1.9819176122546194,4.0,5.995530768297613,0.0
5804,2019,13292,2447,Fabián,h,MC,1540.0,1.0,2.0,45.0,2.0,0.0,1.724290241487324,2.15813984721899,4.0,6.331010571680963,0.0
6620,2019,13321,2447,Fabián,a,MC,1630.0,1.0,2.0,47.0,2.0,0.0,1.7625431986525653,2.2157366499304767,4.0,6.503366245888174,0.0
6705,2019,13331,2447,Fabián,a,MC,1720.0,1.0,2.0,48.0,2.0,0.0,1.8183674784377215,2.30007042735815,4.0,6.755172862671316,0.0
6883,2019,13344,2447,Fabián,h,MC,1810.0,2.0,2.0,51.0,2.0,0.0,1.9218432949855921,2.30007042735815,7.0,7.065600312314928,3.0
7402,2019,13358,2447,Fabián,a,Sub,1900.0,2.0,2.0,52.0,2.0,0.0,1.9532824093475936,2.3338077068328853,7.0,7.193654934875667,0.0
7718,2019,13364,2447,Fabián,h,MC,1920.0,2.0,2.0,52.0,2.0,0.0,1.9532824093475936,2.3338077068328853,7.0,7.193654934875667,0.0
8145,2019,13369,2447,Fabián,a,MC,2010.0,2.0,4.0,54.0,2.0,0.0,2.0523393461480732,3.1001438498497005,9.0,8.257161888293922,2.0
8472,2019,13380,2447,Fabián,h,MC,2100.0,2.0,4.0,55.0,2.0,0.0,2.1136030452325936,3.301163181662559,9.0,8.641972317360342,0.0
8610,2019,13392,2447,Fabián,a,MC,2187.0,2.0,4.0,58.0,2.0,0.0,2.3946417169645424,3.5117078125476833,9.0,9.695632963441312,0.0
9056,2019,13401,2447,Fabián,h,MC,2277.0,2.0,5.0,60.0,2.0,0.0,2.4489959189668293,4.256080836057663,10.0,10.603068592958152,1.0
9234,2019,13418,2447,Fabián,a,Sub,2344.0,2.0,5.0,61.0,2.0,0.0,2.470082613639533,4.290598586201668,10.0,10.700846427120268,0.0
9640,2019,13425,2447,Fabián,h,MC,2365.0,2.0,5.0,61.0,2.0,0.0,2.470082613639533,4.290598586201668,10.0,10.700846427120268,0.0
9813,2019,13433,2447,Fabián,a,MC,2446.0,2.0,6.0,62.0,2.0,0.0,2.4886155379936095,4.432982698082924,11.0,10.898829312063754,1.0
10130,2019,13443,2447,Fabián,h,MC,2525.0,2.0,6.0,66.0,2.0,0.0,2.596603485755622,4.482128843665123,11.0,11.27193930093199,0.0
10711,2019,13462,2447,Fabián,h,MC,2608.0,2.0,6.0,68.0,2.0,0.0,2.7034807456657286,4.482128843665123,11.0,11.59257108066231,0.0
