,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
153,2019,13094,2019,Federico Bonazzoli,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,2019,13130,2019,Federico Bonazzoli,a,Sub,12.0,0.0,0.0,1.0,0.0,0.0,0.016748184338212,0.0653339624404907,0.0,0.1155785154551267,0.0
1434,2019,13146,2019,Federico Bonazzoli,h,Sub,53.0,1.0,0.0,4.0,0.0,0.0,0.4596061054617166,0.1056777946650981,3.0,1.4844961110502481,3.0
1726,2019,13154,2019,Federico Bonazzoli,a,FW,84.0,1.0,0.0,5.0,0.0,0.0,0.5599622074514627,0.1056777946650981,3.0,1.7855644170194864,0.0
2077,2019,13166,2019,Federico Bonazzoli,h,Sub,150.0,1.0,0.0,8.0,1.0,0.0,0.672873305156827,0.1056777946650981,2.5,1.624297710135579,-0.5
2662,2019,13186,2019,Federico Bonazzoli,h,FW,170.0,1.0,0.0,11.0,1.0,0.0,0.8310791272670031,0.15595912188291539,2.5,2.1491965036839247,0.0
3039,2019,13197,2019,Federico Bonazzoli,a,FW,240.0,1.0,0.0,15.0,1.0,0.0,1.0387902427464724,0.15595912188291539,2.5,2.7723298501223326,0.0
3221,2019,13206,2019,Federico Bonazzoli,h,FW,330.0,1.0,0.0,18.0,1.0,0.0,1.53535102494061,0.15595912188291539,2.5,4.262012196704745,0.0
5296,2019,13284,2019,Federico Bonazzoli,a,Sub,342.0,1.0,0.0,18.0,1.0,0.0,1.53535102494061,0.4850095734000205,2.5,4.59106264822185,0.0
6088,2019,13306,2019,Federico Bonazzoli,h,Sub,361.0,1.0,0.0,20.0,1.0,0.0,1.5668236296623945,0.4850095734000205,2.5,4.685480462387204,0.0
7030,2019,13346,2019,Federico Bonazzoli,h,Sub,376.0,1.0,0.0,20.0,1.0,0.0,1.5668236296623945,0.4850095734000205,2.5,4.685480462387204,0.0
7245,2019,13334,2019,Federico Bonazzoli,a,Sub,405.0,1.0,0.0,20.0,1.0,0.0,1.5668236296623945,0.4850095734000205,2.5,4.685480462387204,0.0
7553,2019,13355,2019,Federico Bonazzoli,a,Sub,419.0,1.0,0.0,20.0,1.0,0.0,1.5668236296623945,0.49982902035117127,2.5,4.700299909338355,0.0
7757,2019,13366,2019,Federico Bonazzoli,h,Sub,444.0,1.0,0.0,21.0,1.0,0.0,1.6385778542608023,0.49982902035117127,2.5,4.915562583133578,0.0
8117,2019,13377,2019,Federico Bonazzoli,a,FW,461.0,2.0,0.0,24.0,1.0,0.0,2.025775795802474,0.49982902035117127,5.5,6.077156407758594,3.0
8957,2019,13399,2019,Federico Bonazzoli,a,Sub,509.0,2.0,0.0,27.0,1.0,0.0,2.2122133430093527,0.49982902035117127,5.5,6.6364690493792295,0.0
9152,2019,13414,2019,Federico Bonazzoli,h,FW,555.0,3.0,0.0,32.0,1.0,0.0,2.518980836495757,0.49982902035117127,8.5,7.556771529838443,3.0
9546,2019,13426,2019,Federico Bonazzoli,a,Sub,625.0,5.0,0.0,35.0,1.0,0.0,3.0209458228200674,0.6670432202517984,14.5,9.229880688712,6.0
9893,2019,13434,2019,Federico Bonazzoli,h,FW,668.0,6.0,0.0,39.0,1.0,0.0,3.5679550524801016,0.7338549457490441,17.5,10.93772010318935,3.0
