,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1793,2019,13165,7936,Filip Jagiello,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3541,2019,13243,7936,Filip Jagiello,h,Sub,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3820,2019,13251,7936,Filip Jagiello,a,MC,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659229531884193,0.0,0.0659229531884193,0.0
3993,2019,13262,7936,Filip Jagiello,h,MC,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479480050504199,0.0,0.09479480050504199,0.0
5846,2019,13343,7936,Filip Jagiello,a,Sub,172.0,0.0,0.0,1.0,0.0,0.0,0.0941347479820251,0.5541338529437779,0.0,0.8365380968898534,0.0
7981,2019,13422,7936,Filip Jagiello,h,Sub,198.0,0.0,0.0,2.0,0.0,0.0,0.1486000642180442,0.5541338529437779,0.0,0.9999340455979108,0.0
8216,2019,13434,7936,Filip Jagiello,a,ML,228.0,0.0,0.0,3.0,0.0,0.0,0.16516282223165019,0.6091056074947118,0.0,1.1045940741896627,0.0
8376,2019,13441,7936,Filip Jagiello,h,MC,312.0,0.0,1.0,4.0,0.0,0.0,0.18893383070826508,0.6273176260292529,1.0,1.1941191181540487,1.0
8677,2019,13455,7936,Filip Jagiello,a,MR,402.0,0.0,1.0,5.0,0.0,0.0,0.27105499431490865,0.742017079144716,1.0,1.555182062089443,0.0
9017,2019,13466,7936,Filip Jagiello,h,MC,466.0,0.0,1.0,5.0,0.0,0.0,0.27105499431490865,0.8896328099071977,1.0,1.7027977928519247,0.0
