,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
69,2019,13091,1489,Franck Kessié,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,2019,13100,1489,Franck Kessié,h,MC,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,2019,13112,1489,Franck Kessié,a,MC,116.0,0.0,0.0,2.0,0.0,0.0,0.1966659426689148,0.5660392642021179,0.0,1.1560370922088623,0.0
768,2019,13125,1489,Franck Kessié,h,MC,206.0,0.0,0.0,5.0,0.0,0.0,0.3754676580429077,0.6173514313995838,0.0,1.743754405528307,0.0
1155,2019,13138,1489,Franck Kessié,a,MC,296.0,0.0,0.0,5.0,0.0,0.0,0.3754676580429077,0.6173514313995838,0.0,1.743754405528307,0.0
1356,2019,13143,1489,Franck Kessié,h,MC,386.0,0.0,0.0,6.0,0.0,0.0,0.4629168733954429,0.686236847192049,0.0,2.074987467378378,0.0
1458,2019,13153,1489,Franck Kessié,a,MC,433.0,0.0,0.0,6.0,0.0,0.0,0.4629168733954429,0.686236847192049,0.0,2.074987467378378,0.0
1800,2019,13163,1489,Franck Kessié,h,MC,523.0,1.0,0.0,8.0,0.0,0.0,1.252333365380764,0.8421026654541492,3.0,4.599102761596441,3.0
2053,2019,13176,1489,Franck Kessié,a,MC,603.0,1.0,0.0,9.0,0.0,0.0,1.2943249195814133,0.8421026654541492,3.0,4.725077424198389,0.0
2301,2019,13183,1489,Franck Kessié,h,MC,693.0,1.0,0.0,9.0,0.0,0.0,1.2943249195814133,0.8640179615467787,3.0,4.7469927202910185,0.0
2821,2019,13213,1489,Franck Kessié,h,Sub,783.0,1.0,0.0,10.0,0.0,0.0,1.354908425360918,0.9850402679294348,3.0,5.049765544012189,0.0
3174,2019,13228,1489,Franck Kessié,a,MC,826.0,1.0,0.0,11.0,0.0,0.0,1.3654750222340226,0.9850402679294348,3.0,5.081465334631503,0.0
3476,2019,13230,1489,Franck Kessié,a,MC,898.0,1.0,0.0,14.0,0.0,0.0,1.5701118940487504,0.998830858618021,3.0,5.709166540764272,0.0
3629,2019,13246,1489,Franck Kessié,h,MC,988.0,1.0,0.0,14.0,0.0,0.0,1.5701118940487504,1.1132296361029148,3.0,5.823565318249166,0.0
3864,2019,13249,1489,Franck Kessié,a,MC,1045.0,1.0,0.0,14.0,1.0,0.0,1.5701118940487504,1.1965564005076885,3.0,5.40689208265394,0.0
4183,2019,13269,1489,Franck Kessié,a,MC,1135.0,1.0,0.0,16.0,2.0,0.0,1.6571295792236924,1.2729447446763515,3.0,5.244333482347429,0.0
4470,2019,13286,1489,Franck Kessié,h,MC,1225.0,1.0,0.0,16.0,2.0,0.0,1.6571295792236924,1.3202344812452793,3.0,5.291623218916357,0.0
4643,2019,13289,1489,Franck Kessié,a,MC,1315.0,1.0,0.0,16.0,2.0,0.0,1.6571295792236924,1.3202344812452793,3.0,5.291623218916357,0.0
5000,2019,13305,1489,Franck Kessié,h,MC,1405.0,1.0,0.0,18.0,2.0,0.0,1.8098277980461717,1.370315682142973,3.0,5.799799076281488,0.0
5336,2019,13312,1489,Franck Kessié,a,MC,1495.0,1.0,0.0,18.0,2.0,0.0,1.8098277980461717,1.370315682142973,3.0,5.799799076281488,0.0
5550,2019,13325,1489,Franck Kessié,h,DMC,1577.0,1.0,1.0,21.0,3.0,0.0,2.2427526647225022,1.7208191268146038,4.0,6.9490771209821105,1.0
5654,2019,13332,1489,Franck Kessié,a,DMC,1667.0,1.0,1.0,21.0,3.0,0.0,2.2427526647225022,1.7516453228890896,4.0,6.979903317056596,0.0
5829,2019,13343,1489,Franck Kessié,h,DMC,1757.0,1.0,1.0,21.0,3.0,0.0,2.2427526647225022,1.7516453228890896,4.0,6.979903317056596,0.0
6082,2019,13354,1489,Franck Kessié,a,DMC,1847.0,1.0,1.0,21.0,3.0,0.0,2.2427526647225022,1.8390360288321972,4.0,7.067294022999704,0.0
