,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
736,2019,13117,7944,Gabriel Strefezza,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,2019,13127,7944,Gabriel Strefezza,a,DMR,21.0,0.0,0.0,2.0,1.0,0.0,0.1017146781086921,0.0,-0.5,-0.1948559656739235,-0.5
1352,2019,13137,7944,Gabriel Strefezza,h,Sub,111.0,0.0,0.0,3.0,1.0,0.0,0.1261872071772813,0.0827657058835029,-0.5,-0.0386726725846529,0.0
1419,2019,13140,7944,Gabriel Strefezza,a,Sub,141.0,0.0,0.0,4.0,1.0,0.0,0.1397969182580708,0.0827657058835029,-0.5,0.0021564606577157974,0.0
1678,2019,13157,7944,Gabriel Strefezza,h,DMR,174.0,0.0,0.0,4.0,1.0,0.0,0.1397969182580708,0.0827657058835029,-0.5,0.0021564606577157974,0.0
2378,2019,13177,7944,Gabriel Strefezza,h,DMR,247.0,0.0,1.0,10.0,1.0,1.0,0.3294482287019489,0.6411374285817146,0.0,0.629482114687562,0.5
2754,2019,13183,7944,Gabriel Strefezza,a,DMR,337.0,0.0,2.0,12.0,2.0,1.0,0.3661625403910873,0.775122694671154,0.5,0.3736103158444167,0.5
3019,2019,13197,7944,Gabriel Strefezza,h,DMR,419.0,0.0,2.0,13.0,2.0,1.0,0.3843233063817021,0.775122694671154,0.5,0.4280926138162613,0.0
3256,2019,13208,7944,Gabriel Strefezza,a,DMR,509.0,0.0,2.0,16.0,2.0,1.0,0.527868159115314,0.775122694671154,0.5,0.8587271720170975,0.0
3578,2019,13217,7944,Gabriel Strefezza,h,DMR,555.0,0.0,2.0,18.0,2.0,1.0,0.560327865183353,0.8525960966944695,0.5,1.0335796922445297,0.0
3731,2019,13224,7944,Gabriel Strefezza,a,DMR,625.0,0.0,2.0,19.0,2.0,1.0,0.6086669117212291,0.9874776229262352,0.5,1.3134783580899239,0.0
4595,2019,13257,7944,Gabriel Strefezza,a,DML,666.0,0.0,2.0,19.0,2.0,1.0,0.6086669117212291,0.9874776229262352,0.5,1.3134783580899239,0.0
4749,2019,13268,7944,Gabriel Strefezza,h,DML,756.0,1.0,2.0,22.0,2.0,1.0,0.7137670367956157,1.3775826320052147,3.5,2.018883742392063,3.0
