,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
4377,2019,13248,8063,Georgi Tunjov,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6750,2019,13336,8063,Georgi Tunjov,h,Sub,16.0,0.0,0.0,1.0,0.0,0.0,0.0164922382682561,0.0,0.0,0.0494767148047685,0.0
6988,2019,13345,8063,Georgi Tunjov,a,Sub,25.0,0.0,0.0,1.0,0.0,0.0,0.0164922382682561,0.0,0.0,0.0494767148047685,0.0
8368,2019,13382,8063,Georgi Tunjov,a,Sub,26.0,0.0,0.0,1.0,0.0,0.0,0.0164922382682561,0.0,0.0,0.0494767148047685,0.0
8924,2019,13405,8063,Georgi Tunjov,a,ML,35.0,0.0,0.0,1.0,0.0,0.0,0.0164922382682561,0.0,0.0,0.0494767148047685,0.0
9406,2019,13412,8063,Georgi Tunjov,h,Sub,96.0,0.0,0.0,2.0,0.0,0.0,0.0345563013106583,0.0,0.0,0.10366890393197531,0.0
9566,2019,13420,8063,Georgi Tunjov,a,MR,103.0,0.0,0.0,2.0,0.0,0.0,0.0345563013106583,0.0,0.0,0.10366890393197531,0.0
9926,2019,13436,8063,Georgi Tunjov,h,Sub,191.0,0.0,0.0,5.0,0.0,0.0,0.2158930469304321,0.0159293171018362,0.0,0.6636084578931332,0.0
10418,2019,13452,8063,Georgi Tunjov,a,MC,197.0,0.0,0.0,5.0,0.0,0.0,0.2158930469304321,0.0459530893713235,0.0,0.6936322301626204,0.0
10816,2019,13460,8063,Georgi Tunjov,h,Sub,273.0,0.0,0.0,6.0,0.0,0.0,0.2536887656897304,0.0459530893713235,0.0,0.8070193864405153,0.0
