,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2950,2019,13194,8034,Georgios Kyriakopoulos,a,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3047,2019,13207,8034,Georgios Kyriakopoulos,h,DL,82.0,0.0,0.0,1.0,0.0,0.0,0.0131741547957062,0.0,0.0,0.0395224643871188,0.0
3503,2019,13216,8034,Georgios Kyriakopoulos,h,Sub,172.0,0.0,0.0,3.0,0.0,0.0,0.0842626774683594,0.0,0.0,0.2527880324050784,0.0
3703,2019,13225,8034,Georgios Kyriakopoulos,a,DL,192.0,0.0,0.0,3.0,0.0,0.0,0.0842626774683594,0.0,0.0,0.2527880324050784,0.0
4022,2019,13235,8034,Georgios Kyriakopoulos,h,DL,282.0,0.0,0.0,4.0,1.0,0.0,0.15823103580623848,0.0,-0.5,-0.02530689258128399,-0.5
4343,2019,13246,8034,Georgios Kyriakopoulos,a,DL,372.0,0.0,0.0,4.0,1.0,0.0,0.15823103580623848,0.0,-0.5,-0.02530689258128399,0.0
4491,2019,13151,8034,Georgios Kyriakopoulos,a,Sub,462.0,0.0,0.0,7.0,1.0,0.0,0.2172346720471976,0.0436488650739192,-0.5,0.1953528812155128,0.0
4692,2019,13256,8034,Georgios Kyriakopoulos,h,DL,478.0,0.0,0.0,7.0,1.0,0.0,0.2172346720471976,0.0436488650739192,-0.5,0.1953528812155128,0.0
4790,2019,13262,8034,Georgios Kyriakopoulos,a,DL,568.0,0.0,0.0,8.0,1.0,0.0,0.2423940533772108,0.0436488650739192,-0.5,0.2708310252055526,0.0
5103,2019,13278,8034,Georgios Kyriakopoulos,a,Sub,658.0,0.0,0.0,8.0,1.0,0.0,0.2423940533772108,0.0436488650739192,-0.5,0.2708310252055526,0.0
5301,2019,13288,8034,Georgios Kyriakopoulos,h,DL,662.0,0.0,0.0,9.0,1.0,0.0,0.2593710711225864,0.0436488650739192,-0.5,0.3217620784416795,0.0
5733,2019,13295,8034,Georgios Kyriakopoulos,a,DL,752.0,0.0,0.0,10.0,2.0,0.0,0.3164747571572658,0.15558686479926098,-1.0,0.10501113627105957,-0.5
5885,2019,13307,8034,Georgios Kyriakopoulos,h,DL,842.0,0.0,0.0,11.0,2.0,0.0,0.3253303840756412,0.24725111201405509,-1.0,0.22324226424098015,0.0
6259,2019,13316,8034,Georgios Kyriakopoulos,a,DL,932.0,0.0,1.0,11.0,2.0,0.0,0.3253303840756412,0.4457221664488314,0.0,0.42171331867575645,1.0
6577,2019,13327,8034,Georgios Kyriakopoulos,h,DL,1022.0,0.0,1.0,13.0,3.0,0.0,0.4499019980430598,0.4457221664488314,-0.5,0.29542816057801247,-0.5
7205,2019,13329,8034,Georgios Kyriakopoulos,a,DL,1112.0,0.0,1.0,15.0,3.0,0.0,0.4789611026644701,0.47997564077377297,-0.5,0.41685894876718516,0.0
7494,2019,13353,8034,Georgios Kyriakopoulos,a,Sub,1202.0,0.0,1.0,16.0,3.0,0.0,0.5050393436104054,0.5369931720197197,-0.5,0.5521112028509377,0.0
7780,2019,13367,8034,Georgios Kyriakopoulos,h,DL,1245.0,0.0,1.0,17.0,3.0,0.0,0.5158367985859508,0.5369931720197197,-0.5,0.584503567777574,0.0
8022,2019,13371,8034,Georgios Kyriakopoulos,a,Sub,1292.0,0.0,1.0,17.0,3.0,0.0,0.5158367985859508,0.5369931720197197,-0.5,0.584503567777574,0.0
8219,2019,13383,8034,Georgios Kyriakopoulos,h,DL,1334.0,0.0,1.0,17.0,3.0,0.0,0.5158367985859508,0.5369931720197197,-0.5,0.584503567777574,0.0
8826,2019,13402,8034,Georgios Kyriakopoulos,a,DL,1392.0,0.0,1.0,17.0,3.0,0.0,0.5158367985859508,0.5369931720197197,-0.5,0.584503567777574,0.0
9271,2019,13413,8034,Georgios Kyriakopoulos,h,DL,1482.0,0.0,1.0,20.0,3.0,0.0,0.5890644649043674,0.5369931720197197,-0.5,0.8041865667328237,0.0
9482,2019,13419,8034,Georgios Kyriakopoulos,a,Sub,1572.0,0.0,1.0,21.0,4.0,0.0,0.6024996321648354,0.5369931720197197,-1.0,0.34449206851422776,-0.5
9770,2019,13435,8034,Georgios Kyriakopoulos,h,Sub,1573.0,0.0,1.0,21.0,4.0,0.0,0.6024996321648354,0.5369931720197197,-1.0,0.34449206851422776,0.0
10154,2019,13443,8034,Georgios Kyriakopoulos,a,Sub,1610.0,0.0,1.0,21.0,4.0,0.0,0.6024996321648354,0.5695606842637059,-1.0,0.3770595807582139,0.0
10469,2019,13455,8034,Georgios Kyriakopoulos,h,Sub,1614.0,0.0,1.0,21.0,4.0,0.0,0.6024996321648354,0.5695606842637059,-1.0,0.3770595807582139,0.0
