,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
150,2019,13094,1170,Gianluca Caprari,h,FWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,2019,13107,1170,Gianluca Caprari,a,Sub,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809011459350586,0.0,0.0809011459350586,0.0
608,2019,13114,1170,Gianluca Caprari,a,AMC,95.0,0.0,0.0,1.0,1.0,0.0,0.0669419541954994,0.0809011459350586,-0.5,-0.2182729914784431,-0.5
1042,2019,13126,1170,Gianluca Caprari,h,Sub,165.0,0.0,0.0,2.0,2.0,0.0,0.1323581412434577,0.10072970204055309,-1.0,-0.5021958742290735,-0.5
1222,2019,13130,1170,Gianluca Caprari,a,AMC,171.0,0.0,0.0,2.0,2.0,0.0,0.1323581412434577,0.10072970204055309,-1.0,-0.5021958742290735,0.0
1435,2019,13146,1170,Gianluca Caprari,h,Sub,239.0,0.0,0.0,4.0,2.0,0.0,0.30653224140405644,0.10072970204055309,-1.0,0.02032642625272274,0.0
1729,2019,13154,1170,Gianluca Caprari,a,Sub,253.0,0.0,0.0,5.0,2.0,0.0,0.35323417931795104,0.10072970204055309,-1.0,0.16043223999440664,0.0
2345,2019,13170,1170,Gianluca Caprari,a,Sub,277.0,0.0,0.0,7.0,2.0,0.0,0.4692110717296598,0.10072970204055309,-1.0,0.5083629172295332,0.0
3042,2019,13197,1170,Gianluca Caprari,a,Sub,304.0,0.0,0.0,7.0,2.0,0.0,0.4692110717296598,0.10072970204055309,-1.0,0.5083629172295332,0.0
3224,2019,13206,1170,Gianluca Caprari,h,Sub,305.0,1.0,0.0,8.0,2.0,0.0,0.49916692823171593,0.10072970204055309,2.0,0.5982304867357014,3.0
3531,2019,13215,1170,Gianluca Caprari,h,Sub,383.0,1.0,0.0,9.0,2.0,0.0,0.5585740879178044,0.3711230438202619,2.0,1.0468453075736759,0.0
3878,2019,13220,1170,Gianluca Caprari,a,Sub,390.0,1.0,0.0,11.0,2.0,0.0,0.7015162184834477,0.3711230438202619,2.0,1.4756716992706058,0.0
4112,2019,13234,1170,Gianluca Caprari,h,Sub,400.0,1.0,0.0,12.0,2.0,0.0,0.7643974050879475,0.3711230438202619,2.0,1.6643152590841053,0.0
4240,2019,13243,1170,Gianluca Caprari,a,Sub,409.0,1.0,0.0,12.0,2.0,0.0,0.7643974050879475,0.3711230438202619,2.0,1.6643152590841053,0.0
4446,2019,13255,1170,Gianluca Caprari,h,FW,421.0,1.0,0.0,13.0,2.0,0.0,0.8129752390086648,0.3711230438202619,2.0,1.810048760846257,0.0
5142,2019,13276,1170,Gianluca Caprari,h,Sub,511.0,2.0,0.0,16.0,2.0,1.0,1.008618082851171,0.3711230438202619,4.5,1.8969772923737762,2.5
5292,2019,13284,1170,Gianluca Caprari,a,FW,522.0,3.0,0.0,19.0,2.0,1.0,1.5396672748029228,0.3711230438202619,7.5,3.4901248682290316,3.0
5727,2019,13295,1170,Gianluca Caprari,h,Sub,612.0,3.0,0.0,20.0,2.0,1.0,1.564674941822886,0.4734226223081349,7.5,3.6674474477767944,0.0
5880,2019,13301,1170,Gianluca Caprari,a,Sub,640.0,3.0,0.0,23.0,2.0,1.0,1.664808807894587,0.4910556282848118,7.5,3.9854820519685745,0.0
6362,2019,13314,1170,Gianluca Caprari,h,FWL,673.0,3.0,0.0,24.0,2.0,1.0,1.6910631787031885,0.4910556282848118,7.5,4.064245164394379,0.0
6973,2019,13345,1170,Gianluca Caprari,h,Sub,742.0,3.0,0.0,27.0,3.0,1.0,1.7925690766423936,0.4910556282848118,7.0,3.868762858211994,-0.5
7155,2019,13337,1170,Gianluca Caprari,a,Sub,757.0,3.0,0.0,27.0,3.0,1.0,1.7925690766423936,0.4910556282848118,7.0,3.868762858211994,0.0
8053,2019,13373,1170,Gianluca Caprari,a,FW,774.0,3.0,0.0,27.0,3.0,1.0,1.7925690766423936,0.4910556282848118,7.0,3.868762858211994,0.0
8709,2019,13395,1170,Gianluca Caprari,a,Sub,837.0,3.0,0.0,27.0,3.0,1.0,1.7925690766423936,0.510868117213249,7.0,3.8885753471404314,0.0
9202,2019,13416,1170,Gianluca Caprari,a,Sub,844.0,3.0,0.0,28.0,3.0,1.0,1.8030631737783547,0.510868117213249,7.0,3.9200576385483146,0.0
9528,2019,13426,1170,Gianluca Caprari,h,FWL,848.0,3.0,0.0,28.0,3.0,1.0,1.8030631737783547,0.5629784055054184,7.0,3.972167926840484,0.0
9800,2019,13433,1170,Gianluca Caprari,h,FW,912.0,3.0,0.0,29.0,3.0,1.0,1.8713193731382485,0.692692536860704,7.0,4.306650656275451,0.0
10088,2019,13448,1170,Gianluca Caprari,a,FWL,989.0,4.0,0.0,30.0,3.0,1.0,2.632618208415806,0.692692536860704,10.0,6.590547162108123,3.0
10344,2019,13457,1170,Gianluca Caprari,h,FWL,1060.0,4.0,0.0,32.0,3.0,1.0,2.744367812760174,0.7307118028402324,10.0,6.963815241120756,0.0
10949,2019,13468,1170,Gianluca Caprari,a,AML,1142.0,4.0,0.0,34.0,3.0,1.0,2.8906186120584603,1.0855326801538463,10.0,7.757388516329229,0.0
