,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
35,2019,13090,6978,Giovanni Di Lorenzo,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,2019,13101,6978,Giovanni Di Lorenzo,a,DR,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,2019,13114,6978,Giovanni Di Lorenzo,h,DR,180.0,1.0,0.0,1.0,1.0,0.0,0.5880427956581116,0.0152854574844241,3.0,1.2794138444587588,3.0
1066,2019,13134,6978,Giovanni Di Lorenzo,h,DC,270.0,1.0,1.0,1.0,1.0,0.0,0.5880427956581116,0.2191306604072451,4.0,1.4832590473815799,1.0
1233,2019,13144,6978,Giovanni Di Lorenzo,h,DR,360.0,1.0,1.0,2.0,1.0,0.0,0.6043644864112139,0.2983527062460779,4.0,1.6114461654797196,0.0
1567,2019,13158,6978,Giovanni Di Lorenzo,a,DR,450.0,1.0,1.0,4.0,1.0,0.0,0.6832026708871126,0.2983527062460779,4.0,1.8479607189074159,0.0
1633,2019,13164,6978,Giovanni Di Lorenzo,h,DL,540.0,1.0,1.0,4.0,1.0,0.0,0.6832026708871126,0.603667872957885,4.0,2.153275885619223,0.0
2004,2019,13177,6978,Giovanni Di Lorenzo,a,DL,630.0,1.0,1.0,6.0,1.0,0.0,0.7180685121566057,0.603667872957885,4.0,2.2578734094277024,0.0
2128,2019,13184,6978,Giovanni Di Lorenzo,h,DR,720.0,1.0,1.0,6.0,1.0,0.0,0.7180685121566057,0.6684687240049241,4.0,2.3226742604747415,0.0
2328,2019,13196,6978,Giovanni Di Lorenzo,a,DR,810.0,1.0,1.0,6.0,2.0,0.0,0.7180685121566057,0.7827698392793534,4.0,1.9369753757491708,0.0
2621,2019,13204,6978,Giovanni Di Lorenzo,h,DR,900.0,1.0,1.0,7.0,3.0,0.0,0.8591143358498812,0.7827698392793534,4.0,1.8601128468289971,0.0
2823,2019,13213,6978,Giovanni Di Lorenzo,a,DR,990.0,1.0,1.0,10.0,3.0,0.0,0.9573190603405237,0.8304109489545223,4.0,2.2023681299760938,0.0
3185,2019,13227,6978,Giovanni Di Lorenzo,h,DL,1080.0,1.0,1.0,10.0,3.0,0.0,0.9573190603405237,0.8304109489545223,4.0,2.2023681299760938,0.0
3308,2019,13238,6978,Giovanni Di Lorenzo,a,DR,1170.0,1.0,1.0,12.0,3.0,0.0,1.044029215350747,0.850846015848219,4.0,2.4829336619004607,0.0
3508,2019,13247,6978,Giovanni Di Lorenzo,h,DR,1260.0,1.0,1.0,13.0,3.0,0.0,1.1131618935614824,1.404150926508009,4.0,3.2436366071924567,0.0
3929,2019,13256,6978,Giovanni Di Lorenzo,a,DR,1350.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4473952474072571,4.0,3.350868902169168,0.0
4146,2019,13266,6978,Giovanni Di Lorenzo,h,DC,1440.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4473952474072571,4.0,3.350868902169168,0.0
4203,2019,13273,6978,Giovanni Di Lorenzo,a,DC,1530.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4473952474072571,4.0,3.350868902169168,0.0
4442,2019,13287,6978,Giovanni Di Lorenzo,h,DC,1620.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4473952474072571,4.0,3.350868902169168,0.0
4834,2019,13292,6978,Giovanni Di Lorenzo,h,DC,1710.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4746110020205374,4.0,3.3780846567824483,0.0
5079,2019,13306,6978,Giovanni Di Lorenzo,a,DC,1800.0,1.0,1.0,14.0,3.0,0.0,1.1344912182539701,1.4746110020205374,4.0,3.3780846567824483,0.0
5272,2019,13313,6978,Giovanni Di Lorenzo,h,DR,1890.0,1.0,2.0,14.0,3.0,0.0,1.1344912182539701,2.0121756969019766,5.0,3.9156493516638875,1.0
5512,2019,13321,6978,Giovanni Di Lorenzo,a,DR,1980.0,1.0,2.0,14.0,3.0,0.0,1.1344912182539701,2.0121756969019766,5.0,3.9156493516638875,0.0
5580,2019,13331,6978,Giovanni Di Lorenzo,a,DR,2070.0,1.0,2.0,14.0,3.0,0.0,1.1344912182539701,2.0121756969019766,5.0,3.9156493516638875,0.0
5734,2019,13344,6978,Giovanni Di Lorenzo,h,DR,2160.0,1.0,3.0,14.0,3.0,0.0,1.1344912182539701,2.1690112082287665,6.0,4.072484862990677,1.0
6152,2019,13358,6978,Giovanni Di Lorenzo,a,DR,2250.0,2.0,3.0,16.0,3.0,0.0,2.0447047483175993,2.1690112082287665,9.0,6.803125453181565,3.0
6766,2019,13369,6978,Giovanni Di Lorenzo,a,DR,2340.0,2.0,3.0,16.0,3.0,0.0,2.0447047483175993,2.208081676624715,9.0,6.842195921577513,0.0
7038,2019,13380,6978,Giovanni Di Lorenzo,h,DR,2430.0,2.0,3.0,16.0,3.0,0.0,2.0447047483175993,2.314947581849992,9.0,6.94906182680279,0.0
7510,2019,13401,6978,Giovanni Di Lorenzo,h,DR,2520.0,2.0,3.0,16.0,3.0,0.0,2.0447047483175993,2.3258750513195987,9.0,6.959989296272397,0.0
7651,2019,13418,6978,Giovanni Di Lorenzo,a,DR,2610.0,3.0,3.0,17.0,4.0,0.0,2.8852853905409575,2.339988912455737,12.0,8.99584508407861,3.0
8132,2019,13433,6978,Giovanni Di Lorenzo,a,DR,2700.0,3.0,3.0,17.0,5.0,0.0,2.8852853905409575,2.339988912455737,12.0,8.49584508407861,0.0
8395,2019,13443,6978,Giovanni Di Lorenzo,h,DR,2790.0,3.0,3.0,20.0,5.0,0.0,2.961308656260371,2.339988912455737,12.0,8.723914881236851,0.0
8861,2019,13462,6978,Giovanni Di Lorenzo,h,DR,2880.0,3.0,3.0,20.0,5.0,0.0,2.961308656260371,2.339988912455737,12.0,8.723914881236851,0.0
