,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
1665,2019,13161,1458,Ibrahima Mbaye,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1939,2019,13170,1458,Ibrahima Mbaye,h,DR,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0506712831556797,1.0,0.0506712831556797,1.0
2163,2019,13180,1458,Ibrahima Mbaye,a,DR,180.0,0.0,2.0,1.0,0.0,0.0,0.0826150253415107,0.8581566847860813,2.0,1.1060017608106136,1.0
2340,2019,13190,1458,Ibrahima Mbaye,h,DR,270.0,0.0,2.0,1.0,0.0,0.0,0.0826150253415107,0.8581566847860813,2.0,1.1060017608106136,0.0
2562,2019,13207,1458,Ibrahima Mbaye,a,DR,360.0,0.0,2.0,1.0,0.0,0.0,0.0826150253415107,0.8581566847860813,2.0,1.1060017608106136,0.0
2859,2019,13210,1458,Ibrahima Mbaye,h,DR,450.0,0.0,2.0,1.0,1.0,0.0,0.0826150253415107,0.8581566847860813,2.0,0.6060017608106136,0.0
3884,2019,13253,1458,Ibrahima Mbaye,a,DR,530.0,0.0,2.0,2.0,1.0,0.0,0.21278565376996983,0.8581566847860813,2.0,0.9965136460959911,0.0
4315,2019,13277,1458,Ibrahima Mbaye,a,DL,620.0,0.0,2.0,2.0,2.0,0.0,0.21278565376996983,0.9038102589547634,2.0,0.5421672202646732,0.0
4488,2019,13280,1458,Ibrahima Mbaye,h,DL,710.0,0.0,2.0,2.0,2.0,0.0,0.21278565376996983,0.9038102589547634,2.0,0.5421672202646732,0.0
4662,2019,13296,1458,Ibrahima Mbaye,a,DL,800.0,0.0,2.0,2.0,3.0,0.0,0.21278565376996983,1.0618023686110973,2.0,0.20015932992100716,0.0
4857,2019,13300,1458,Ibrahima Mbaye,h,DR,890.0,0.0,2.0,2.0,3.0,0.0,0.21278565376996983,1.0618023686110973,2.0,0.20015932992100716,0.0
5594,2019,13330,1458,Ibrahima Mbaye,h,DL,974.0,0.0,3.0,2.0,4.0,0.0,0.21278565376996983,1.139935951679945,3.0,-0.22170708701014513,1.0
7458,2019,13400,1458,Ibrahima Mbaye,a,Sub,1064.0,0.0,3.0,3.0,5.0,0.0,0.2939796224236487,1.1977509073913097,3.0,-0.42031022533774365,0.0
7639,2019,13418,1458,Ibrahima Mbaye,h,DR,1111.0,0.0,3.0,3.0,5.0,0.0,0.2939796224236487,1.1977509073913097,3.0,-0.42031022533774365,0.0
7895,2019,13424,1458,Ibrahima Mbaye,a,Sub,1195.0,0.0,3.0,4.0,5.0,0.0,0.33663033694028843,1.1977509073913097,3.0,-0.2923580817878245,0.0
8092,2019,13429,1458,Ibrahima Mbaye,a,Sub,1223.0,0.0,3.0,4.0,5.0,0.0,0.33663033694028843,1.1977509073913097,3.0,-0.2923580817878245,0.0
8419,2019,13439,1458,Ibrahima Mbaye,h,DR,1239.0,0.0,3.0,4.0,5.0,0.0,0.33663033694028843,1.2440770640969276,3.0,-0.24603192508220662,0.0
8772,2019,13451,1458,Ibrahima Mbaye,a,DR,1329.0,0.0,3.0,5.0,5.0,0.0,0.4745192900300024,1.3043838255107403,3.0,0.22794169560074817,0.0
8988,2019,13463,1458,Ibrahima Mbaye,h,DR,1419.0,0.0,3.0,5.0,5.0,0.0,0.4745192900300024,1.3043838255107403,3.0,0.22794169560074817,0.0
