,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
262,2019,13100,6981,Ismael Bennacer,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1153,2019,13138,6981,Ismael Bennacer,a,MC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371576063334941,0.0,0.0371576063334941,0.0
1354,2019,13143,6981,Ismael Bennacer,h,MC,170.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08582464233040801,0.0,-0.414175357669592,0.0
2057,2019,13176,6981,Ismael Bennacer,a,Sub,260.0,0.0,0.0,0.0,2.0,0.0,0.0,0.10144978761672961,0.0,-0.8985502123832703,0.0
2299,2019,13183,6981,Ismael Bennacer,h,MC,278.0,0.0,0.0,0.0,2.0,0.0,0.0,0.10144978761672961,0.0,-0.8985502123832703,0.0
2507,2019,13195,6981,Ismael Bennacer,h,MC,368.0,0.0,0.0,0.0,3.0,0.0,0.0,0.10144978761672961,0.0,-1.3985502123832703,0.0
2778,2019,13202,6981,Ismael Bennacer,a,MC,458.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1697398126125334,0.0,-1.8302601873874664,0.0
3175,2019,13228,6981,Ismael Bennacer,a,MC,548.0,0.0,0.0,1.0,5.0,0.0,0.015814896672964,0.2026766203343866,0.0,-2.249878689646721,0.0
3477,2019,13230,6981,Ismael Bennacer,a,MC,638.0,0.0,0.0,1.0,6.0,0.0,0.015814896672964,0.2689498029649255,0.0,-2.683605507016182,0.0
3630,2019,13246,6981,Ismael Bennacer,h,MC,708.0,0.0,0.0,1.0,7.0,0.0,0.015814896672964,0.3809253014624116,0.0,-3.071630008518696,0.0
3865,2019,13249,6981,Ismael Bennacer,a,MC,798.0,0.0,0.0,2.0,7.0,0.0,0.4533221088349818,0.4143245704472062,0.0,-1.7257091030478477,0.0
4106,2019,13265,6981,Ismael Bennacer,h,MC,888.0,0.0,0.0,2.0,7.0,0.0,0.4533221088349818,0.4143245704472062,0.0,-1.7257091030478477,0.0
4184,2019,13269,6981,Ismael Bennacer,a,MC,978.0,0.0,0.0,3.0,7.0,0.0,0.46935515664517863,0.43611493147909614,0.0,-1.6558195985853672,0.0
4469,2019,13286,6981,Ismael Bennacer,h,MC,1068.0,0.0,0.0,3.0,8.0,0.0,0.46935515664517863,0.43611493147909614,0.0,-2.155819598585367,0.0
4642,2019,13289,6981,Ismael Bennacer,a,MC,1158.0,0.0,0.0,3.0,9.0,0.0,0.46935515664517863,0.5726552251726386,0.0,-2.5192793048918247,0.0
5337,2019,13312,6981,Ismael Bennacer,a,MC,1248.0,0.0,0.0,4.0,10.0,0.0,0.48665340244770033,0.5726552251726386,0.0,-2.9673845674842596,0.0
5551,2019,13325,6981,Ismael Bennacer,h,DMC,1338.0,0.0,0.0,4.0,10.0,0.0,0.48665340244770033,0.5726552251726386,0.0,-2.9673845674842596,0.0
5653,2019,13332,6981,Ismael Bennacer,a,DMC,1428.0,0.0,0.0,4.0,11.0,0.0,0.48665340244770033,0.6187244113534686,0.0,-3.4213153813034296,0.0
5828,2019,13343,6981,Ismael Bennacer,h,DMC,1518.0,0.0,0.0,5.0,12.0,0.0,0.5055999830365179,0.6187244113534686,0.0,-3.864475639536977,0.0
6081,2019,13354,6981,Ismael Bennacer,a,DMC,1608.0,0.0,0.0,8.0,12.0,0.0,0.5649612098932264,0.6624996867030856,0.0,-3.6426166836172342,0.0
6401,2019,13363,6981,Ismael Bennacer,h,DMC,1698.0,0.0,0.0,8.0,12.0,0.0,0.5649612098932264,0.7140505220741029,0.0,-3.5910658482462168,0.0
6722,2019,13375,6981,Ismael Bennacer,a,DMC,1788.0,0.0,0.0,9.0,12.0,0.0,0.5941682662814853,0.7298291400074954,0.0,-3.4876660611480474,0.0
6874,2019,13379,6981,Ismael Bennacer,a,DMC,1864.0,0.0,0.0,11.0,12.0,0.0,0.6225473973900078,0.9665831848978992,0.0,-3.1657746229320765,0.0
7095,2019,13394,6981,Ismael Bennacer,h,MC,1954.0,0.0,0.0,12.0,12.0,0.0,0.6511600930243727,0.9665831848978992,0.0,-3.079936536028981,0.0
7527,2019,13401,6981,Ismael Bennacer,a,DMC,2044.0,0.0,0.0,12.0,13.0,0.0,0.6511600930243727,0.9665831848978992,0.0,-3.579936536028981,0.0
7624,2019,13416,6981,Ismael Bennacer,h,Sub,2134.0,0.0,0.0,12.0,13.0,0.0,0.6511600930243727,0.9665831848978992,0.0,-3.579936536028981,0.0
7876,2019,13424,6981,Ismael Bennacer,h,DMC,2163.0,0.0,0.0,12.0,13.0,0.0,0.6511600930243727,0.9665831848978992,0.0,-3.579936536028981,0.0
8110,2019,13435,6981,Ismael Bennacer,a,DMC,2245.0,1.0,0.0,13.0,13.0,0.0,1.0023748893290754,1.2084758207201953,3.0,-2.284399511292577,3.0
8704,2019,13456,6981,Ismael Bennacer,a,DMC,2331.0,1.0,0.0,14.0,14.0,0.0,1.024020159617066,1.4977236613631244,3.0,-2.430215859785676,0.0
8888,2019,13464,6981,Ismael Bennacer,h,DMC,2421.0,1.0,0.0,14.0,14.0,0.0,1.024020159617066,1.5276584140956397,3.0,-2.4002811070531607,0.0
