,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
107,2019,13093,1341,Ivan Radovanovic,a,DMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,2019,13106,1341,Ivan Radovanovic,h,MC,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,2019,13111,1341,Ivan Radovanovic,h,MC,180.0,0.0,0.0,5.0,0.0,0.0,0.5990759134292603,0.0310675520449876,0.0,1.8282952923327684,0.0
708,2019,13121,1341,Ivan Radovanovic,a,MC,253.0,0.0,0.0,8.0,0.0,0.0,0.6565153338015078,0.0895498935133218,0.0,2.0590958949178457,0.0
1023,2019,13131,1341,Ivan Radovanovic,h,DMC,343.0,0.0,0.0,8.0,0.0,0.0,0.6565153338015078,0.1830708775669335,0.0,2.1526168789714575,0.0
1270,2019,13141,1341,Ivan Radovanovic,a,DMC,433.0,0.0,0.0,9.0,1.0,0.0,0.6675272369757294,0.2201591003686188,0.0,1.7227408112958074,0.0
1446,2019,13153,1341,Ivan Radovanovic,h,MC,523.0,0.0,0.0,10.0,1.0,0.0,0.68376172427088,0.2319074990227816,0.0,1.7831926718354225,0.0
1784,2019,13165,1341,Ivan Radovanovic,a,DMC,613.0,0.0,0.0,11.0,1.0,0.0,0.6962424237281081,0.2777753034606573,0.0,1.8665025746449828,0.0
1915,2019,13172,1341,Ivan Radovanovic,h,DC,703.0,0.0,0.0,11.0,2.0,0.0,0.6962424237281081,0.3422821322455999,0.0,1.4310094034299254,0.0
2420,2019,13192,1341,Ivan Radovanovic,h,Sub,752.0,0.0,0.0,12.0,2.0,0.0,0.7144696600735184,0.3422821322455999,0.0,1.4856911124661565,0.0
3010,2019,13217,1341,Ivan Radovanovic,a,MC,790.0,0.0,0.0,14.0,2.0,0.0,1.0113031752407546,0.3422821322455999,0.0,2.3761916579678655,0.0
3535,2019,13243,1341,Ivan Radovanovic,h,MC,880.0,0.0,0.0,14.0,2.0,0.0,1.0113031752407546,0.3577284449711438,0.0,2.3916379706934094,0.0
3818,2019,13251,1341,Ivan Radovanovic,a,MC,970.0,0.0,0.0,15.0,2.0,0.0,1.0233318759128447,0.420238145627081,0.0,2.490233773365617,0.0
3990,2019,13262,1341,Ivan Radovanovic,h,DMC,1060.0,0.0,0.0,16.0,2.0,0.0,1.0369747634977098,0.420238145627081,0.0,2.531162436120212,0.0
5256,2019,13311,1341,Ivan Radovanovic,h,MC,1150.0,0.0,0.0,16.0,2.0,0.0,1.0369747634977098,0.420238145627081,0.0,2.531162436120212,0.0
5380,2019,13320,1341,Ivan Radovanovic,a,MC,1240.0,0.0,0.0,16.0,3.0,0.0,1.0369747634977098,0.6021007085219021,0.0,2.2130249990150332,0.0
