,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
737,2019,13117,1221,Jacopo Sala,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
972,2019,13127,1221,Jacopo Sala,a,Sub,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119824754074215,0.0,0.0119824754074215,0.0
1412,2019,13140,1221,Jacopo Sala,a,DMR,74.0,0.0,0.0,2.0,0.0,0.0,0.0441585145890712,0.0364550044760107,0.0,0.1689305482432245,0.0
1685,2019,13157,1221,Jacopo Sala,h,Sub,146.0,0.0,0.0,3.0,0.0,0.0,0.06304791010916219,0.0364550044760107,0.0,0.22559873480349762,0.0
2056,2019,13160,1221,Jacopo Sala,a,DMR,160.0,0.0,0.0,3.0,1.0,0.0,0.06304791010916219,0.0364550044760107,-0.5,-0.2744012651965024,-0.5
2763,2019,13183,1221,Jacopo Sala,a,Sub,223.0,0.0,0.0,3.0,1.0,0.0,0.06304791010916219,0.0364550044760107,-0.5,-0.2744012651965024,0.0
3265,2019,13208,1221,Jacopo Sala,a,Sub,231.0,0.0,0.0,3.0,1.0,0.0,0.06304791010916219,0.0498347096145152,-0.5,-0.26102156005799787,0.0
3577,2019,13217,1221,Jacopo Sala,h,DC,275.0,0.0,0.0,5.0,1.0,0.0,0.1747646201401947,0.0656319577246903,-0.5,0.08992581814527495,0.0
6986,2019,13345,1221,Jacopo Sala,a,Sub,365.0,0.0,0.0,7.0,1.0,0.0,0.2138961534947155,0.0656319577246903,-0.5,0.20732041820883734,0.0
7344,2019,13356,1221,Jacopo Sala,h,DL,391.0,0.0,0.0,7.0,1.0,0.0,0.2138961534947155,0.0656319577246903,-0.5,0.20732041820883734,0.0
8064,2019,13375,1221,Jacopo Sala,h,DML,458.0,0.0,0.0,8.0,1.0,0.0,0.2562399897724388,0.0803040945902465,-0.5,0.34902406390756346,0.0
8359,2019,13382,1221,Jacopo Sala,a,DL,548.0,0.0,0.0,8.0,1.0,0.0,0.2562399897724388,0.0803040945902465,-0.5,0.34902406390756346,0.0
8746,2019,13396,1221,Jacopo Sala,h,DR,638.0,0.0,0.0,10.0,1.0,0.0,0.34750393219292136,0.1403834344819186,-0.5,0.6828952310606835,0.0
8928,2019,13405,1221,Jacopo Sala,a,Sub,728.0,0.0,0.0,13.0,1.0,0.0,0.40447734110057326,0.1546099176630375,-0.5,0.8680419409647582,0.0
9395,2019,13412,1221,Jacopo Sala,h,DR,745.0,0.0,0.0,13.0,1.0,0.0,0.40447734110057326,0.1546099176630375,-0.5,0.8680419409647582,0.0
9918,2019,13436,1221,Jacopo Sala,h,DL,835.0,0.0,0.0,15.0,1.0,0.0,0.4433456640690562,0.1546099176630375,-0.5,0.9846469098702071,0.0
