,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
211,2019,13096,257,Jeremy Toljan,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,2019,13116,257,Jeremy Toljan,a,Sub,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,2019,13127,257,Jeremy Toljan,h,DR,111.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0375945456326007,-0.5,-0.4624054543673992,-0.5
1329,2019,13135,257,Jeremy Toljan,a,DL,201.0,0.0,0.0,0.0,1.0,0.0,0.0,0.214464996010065,-0.5,-0.2855350039899349,0.0
1451,2019,13147,257,Jeremy Toljan,h,DR,291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.229974754154682,-0.5,-0.2700252458453179,0.0
2021,2019,13167,257,Jeremy Toljan,h,Sub,381.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2791402265429495,-0.5,-0.22085977345705038,0.0
2221,2019,13173,257,Jeremy Toljan,a,DR,394.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2998759765177963,-0.5,-0.2001240234822036,0.0
2681,2019,13187,257,Jeremy Toljan,h,DR,484.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2998759765177963,-0.5,-0.2001240234822036,0.0
2947,2019,13194,257,Jeremy Toljan,a,DR,574.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2998759765177963,-0.5,-0.2001240234822036,0.0
3044,2019,13207,257,Jeremy Toljan,h,DR,664.0,1.0,0.0,1.0,2.0,0.0,0.340786337852478,0.3199439737945792,2.0,0.3423029873520135,2.5
3491,2019,13216,257,Jeremy Toljan,h,DR,754.0,1.0,0.0,1.0,2.0,0.0,0.340786337852478,0.3199439737945792,2.0,0.3423029873520135,0.0
3700,2019,13225,257,Jeremy Toljan,a,DR,844.0,1.0,0.0,1.0,2.0,0.0,0.340786337852478,0.3199439737945792,2.0,0.3423029873520135,0.0
4019,2019,13235,257,Jeremy Toljan,h,DR,934.0,1.0,0.0,1.0,3.0,0.0,0.340786337852478,0.3625610116869208,1.5,-0.11507997475564491,-0.5
4340,2019,13246,257,Jeremy Toljan,a,DR,1024.0,1.0,1.0,2.0,3.0,0.0,0.35459100827574724,0.9157022479921576,2.5,0.4794752728193997,1.0
4479,2019,13151,257,Jeremy Toljan,a,DR,1114.0,1.0,1.0,2.0,4.0,0.0,0.35459100827574724,0.936836032196879,2.0,0.000609057024121229,-0.5
4787,2019,13262,257,Jeremy Toljan,a,DR,1204.0,1.0,1.0,2.0,5.0,0.0,0.35459100827574724,0.936836032196879,1.5,-0.49939094297587877,-0.5
5092,2019,13278,257,Jeremy Toljan,a,DR,1294.0,1.0,1.0,3.0,6.0,0.0,0.3727012891322373,1.0509325098246332,1.0,-0.8309636227786541,-0.5
5298,2019,13288,257,Jeremy Toljan,h,DR,1369.0,1.0,1.0,3.0,6.0,0.0,0.3727012891322373,1.0509325098246332,1.0,-0.8309636227786541,0.0
5730,2019,13295,257,Jeremy Toljan,a,DR,1459.0,1.0,1.0,3.0,7.0,0.0,0.3727012891322373,1.0509325098246332,0.5,-1.330963622778654,-0.5
5882,2019,13307,257,Jeremy Toljan,h,DR,1549.0,1.0,1.0,3.0,7.0,0.0,0.3727012891322373,1.0509325098246332,0.5,-1.330963622778654,0.0
6256,2019,13316,257,Jeremy Toljan,a,DR,1639.0,1.0,2.0,3.0,7.0,0.0,0.3727012891322373,1.842554016038775,1.5,-0.5393421165645123,1.0
6574,2019,13327,257,Jeremy Toljan,h,DR,1729.0,1.0,2.0,3.0,7.0,0.0,0.3727012891322373,2.263874633237719,1.5,-0.11802149936556816,0.0
7101,2019,13347,257,Jeremy Toljan,h,DR,1819.0,1.0,2.0,4.0,7.0,0.0,0.39426879771053774,2.3157483283430333,1.5,-0.0014452785253525613,0.0
7202,2019,13329,257,Jeremy Toljan,a,DR,1875.0,1.0,2.0,4.0,7.0,0.0,0.39426879771053774,2.347841570153832,1.5,0.030647963285446042,0.0
8228,2019,13383,257,Jeremy Toljan,h,Sub,1924.0,1.0,2.0,4.0,8.0,0.0,0.39426879771053774,2.347841570153832,1.0,-0.46935203671455394,-0.5
8823,2019,13402,257,Jeremy Toljan,a,DR,1928.0,1.0,2.0,4.0,8.0,0.0,0.39426879771053774,2.347841570153832,1.0,-0.46935203671455394,0.0
10152,2019,13443,257,Jeremy Toljan,a,Sub,1977.0,1.0,2.0,4.0,8.0,0.0,0.39426879771053774,2.347841570153832,1.0,-0.46935203671455394,0.0
10458,2019,13455,257,Jeremy Toljan,h,DR,2018.0,1.0,2.0,5.0,8.0,0.0,0.4318570289760825,2.347841570153832,1.0,-0.3565873429179193,0.0
10835,2019,13461,257,Jeremy Toljan,h,DR,2108.0,1.0,2.0,6.0,8.0,0.0,0.5058766249567267,2.4331144187599416,1.0,-0.04925570636987703,0.0
