,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
118,2019,13094,1226,Karol Linetty,h,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,2019,13114,1226,Karol Linetty,a,MC,68.0,0.0,0.0,1.0,0.0,0.0,0.0616519935429096,0.0,0.0,0.1849559806287288,0.0
1191,2019,13146,1226,Karol Linetty,h,MC,158.0,0.0,0.0,2.0,0.0,0.0,0.0791746973991393,0.0,0.0,0.2375240921974181,0.0
2960,2019,13215,1226,Karol Linetty,h,Sub,234.0,0.0,1.0,3.0,1.0,0.0,0.0947776632383464,0.1081855297088623,1.0,-0.10748148057609808,1.0
3446,2019,13234,1226,Karol Linetty,h,Sub,281.0,0.0,1.0,5.0,1.0,0.0,0.2045906679704783,0.1188407838344573,1.0,0.23261278774589284,0.0
3550,2019,13243,1226,Karol Linetty,a,ML,311.0,0.0,1.0,5.0,1.0,0.0,0.2045906679704783,0.1188407838344573,1.0,0.23261278774589284,0.0
3717,2019,13255,1226,Karol Linetty,h,MC,401.0,0.0,2.0,6.0,1.0,0.0,0.2631759131327269,0.2054431065917014,2.0,0.4949708459898827,1.0
4119,2019,13265,1226,Karol Linetty,a,ML,491.0,0.0,2.0,7.0,1.0,0.0,0.2836447739973661,0.2309297211468218,2.0,0.581864043138921,0.0
4284,2019,13276,1226,Karol Linetty,h,MR,581.0,0.0,2.0,7.0,2.0,0.0,0.2836447739973661,0.5830116756260393,2.0,0.4339459976181387,0.0
4410,2019,13284,1226,Karol Linetty,a,MR,671.0,1.0,3.0,9.0,2.0,0.0,0.37786249909549907,1.598292279988527,6.0,1.7318797772750258,4.0
4770,2019,13295,1226,Karol Linetty,h,ML,761.0,2.0,3.0,12.0,2.0,0.0,0.7822299459949131,1.598292279988527,9.0,2.944982117973268,3.0
5070,2019,13306,1226,Karol Linetty,h,MC,851.0,2.0,3.0,15.0,2.0,0.0,0.918597773648798,1.8891513235867021,9.0,3.6449446445330977,0.0
5174,2019,13317,1226,Karol Linetty,a,ML,941.0,2.0,3.0,17.0,3.0,0.0,0.9712493950501079,1.8891513235867021,9.0,3.3028995087370276,0.0
5456,2019,13326,1226,Karol Linetty,h,MC,1031.0,2.0,3.0,17.0,3.0,0.0,0.9712493950501079,1.8891513235867021,9.0,3.3028995087370276,0.0
5859,2019,13346,1226,Karol Linetty,h,Sub,1121.0,2.0,3.0,17.0,3.0,0.0,0.9712493950501079,1.8891513235867021,9.0,3.3028995087370276,0.0
6036,2019,13334,1226,Karol Linetty,a,MC,1150.0,2.0,3.0,18.0,4.0,0.0,0.9964483501389617,1.8891513235867021,9.0,2.878496374003589,0.0
6289,2019,13355,1226,Karol Linetty,a,MC,1232.0,2.0,3.0,18.0,4.0,0.0,0.9964483501389617,1.8891513235867021,9.0,2.878496374003589,0.0
6451,2019,13366,1226,Karol Linetty,h,ML,1303.0,2.0,3.0,19.0,4.0,0.0,1.016317919827997,1.9705298431217668,9.0,3.01948360260576,0.0
6935,2019,13382,1226,Karol Linetty,h,MR,1384.0,2.0,3.0,20.0,4.0,0.0,1.0888492250815027,2.0040988139808174,9.0,3.270646489225328,0.0
7185,2019,13389,1226,Karol Linetty,a,MC,1474.0,4.0,3.0,23.0,4.0,0.0,1.4324688995257013,2.0040988139808174,15.0,4.301505512557924,6.0
7430,2019,13399,1226,Karol Linetty,a,ML,1564.0,4.0,3.0,26.0,4.0,0.0,1.584262379445135,2.0040988139808174,15.0,4.756885952316225,0.0
7591,2019,13414,1226,Karol Linetty,h,MR,1654.0,4.0,3.0,27.0,4.0,0.0,1.5977077307179564,2.087611567229032,15.0,4.880734759382904,0.0
8201,2019,13434,1226,Karol Linetty,h,MR,1724.0,4.0,3.0,28.0,4.0,0.0,1.6702024163678282,2.087611567229032,15.0,5.098218816332519,0.0
8560,2019,13442,1226,Karol Linetty,a,MC,1814.0,4.0,3.0,29.0,4.0,0.0,1.730506335385143,2.1463349945843215,15.0,5.337854000739753,0.0
8694,2019,13456,1226,Karol Linetty,h,MC,1904.0,4.0,3.0,30.0,4.0,0.0,1.7551684966310852,2.1463349945843215,15.0,5.41184048447758,0.0
8833,2019,13465,1226,Karol Linetty,a,Sub,1983.0,4.0,3.0,31.0,4.0,0.0,1.7701863739639514,2.1463349945843215,15.0,5.456894116476178,0.0
