,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
2302,2019,13172,8010,Kevin Agudelo,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2618,2019,13181,8010,Kevin Agudelo,a,AMC,41.0,1.0,0.0,1.0,1.0,0.0,0.0826060622930526,0.0339447893202304,2.5,-0.2182370238006115,2.5
2882,2019,13192,8010,Kevin Agudelo,h,DMC,125.0,1.0,1.0,1.0,1.0,0.0,0.0826060622930526,0.0896407663822173,3.5,-0.1625410467386246,1.0
3151,2019,13204,8010,Kevin Agudelo,a,FWL,215.0,1.0,1.0,2.0,1.0,0.0,0.1021916121244429,0.25520765781402566,3.5,0.061782494187354986,0.0
3596,2019,13217,8010,Kevin Agudelo,a,FWR,305.0,1.0,1.0,2.0,1.0,0.0,0.1021916121244429,0.9574410915374754,3.5,0.7640159279108047,0.0
3640,2019,13222,8010,Kevin Agudelo,h,FWL,395.0,1.0,1.0,3.0,1.0,0.0,0.1831411346793173,1.467454135417938,3.5,1.5168775394558907,0.0
4012,2019,13233,8010,Kevin Agudelo,a,AMC,485.0,1.0,1.0,5.0,2.0,0.0,0.41099429875612237,1.6035284996032713,3.0,1.8365113958716393,-0.5
4570,2019,13251,8010,Kevin Agudelo,a,AMC,558.0,1.0,1.0,8.0,2.0,1.0,1.007375247776508,1.6035284996032713,2.5,3.1256542429327965,-0.5
5211,2019,13271,8010,Kevin Agudelo,a,Sub,648.0,1.0,1.0,10.0,3.0,1.0,1.0734021142125127,1.6164127578958867,2.0,2.836619100533426,-0.5
5477,2019,13282,8010,Kevin Agudelo,h,Sub,663.0,1.0,1.0,10.0,3.0,1.0,1.0734021142125127,1.6164127578958867,2.0,2.836619100533426,0.0
5935,2019,13302,8010,Kevin Agudelo,a,Sub,666.0,1.0,1.0,10.0,3.0,1.0,1.0734021142125127,1.6164127578958867,2.0,2.836619100533426,0.0
9358,2019,13417,8010,Kevin Agudelo,a,Sub,667.0,1.0,1.0,10.0,3.0,1.0,1.0734021142125127,1.6164127578958867,2.0,2.836619100533426,0.0
10826,2019,13460,8010,Kevin Agudelo,a,MC,673.0,1.0,1.0,10.0,3.0,1.0,1.0734021142125127,1.6164127578958867,2.0,2.836619100533426,0.0
