,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
40,2019,13090,1819,Kevin-Prince Boateng,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,2019,13106,1819,Kevin-Prince Boateng,a,FW,27.0,1.0,0.0,2.0,1.0,0.0,0.0575209483504295,0.0,2.5,-0.3274371549487114,2.5
571,2019,13110,1819,Kevin-Prince Boateng,h,Sub,101.0,1.0,0.0,4.0,1.0,0.0,0.21292888373136512,0.0,2.5,0.1387866511940956,0.0
1085,2019,13119,1819,Kevin-Prince Boateng,a,Sub,119.0,1.0,0.0,6.0,1.0,0.0,0.403089515864849,0.0,2.5,0.7092685475945473,0.0
1645,2019,13143,1819,Kevin-Prince Boateng,a,Sub,139.0,1.0,0.0,6.0,2.0,0.0,0.403089515864849,0.0,2.0,0.20926854759454727,-0.5
2204,2019,13159,1819,Kevin-Prince Boateng,a,Sub,144.0,1.0,0.0,6.0,2.0,0.0,0.403089515864849,0.0,2.0,0.20926854759454727,0.0
2471,2019,13171,1819,Kevin-Prince Boateng,h,Sub,145.0,1.0,0.0,6.0,2.0,0.0,0.403089515864849,0.0,2.0,0.20926854759454727,0.0
2704,2019,13187,1819,Kevin-Prince Boateng,a,FW,157.0,1.0,0.0,6.0,2.0,0.0,0.403089515864849,0.0,2.0,0.20926854759454727,0.0
2969,2019,13191,1819,Kevin-Prince Boateng,h,FW,234.0,1.0,0.0,8.0,2.0,0.0,0.544750742614269,0.0,2.0,0.6342522278428078,0.0
3670,2019,13221,1819,Kevin-Prince Boateng,h,Sub,320.0,1.0,0.0,10.0,2.0,0.0,0.687468998134136,0.1138100549578666,2.0,1.1762170493602753,0.0
4390,2019,13242,1819,Kevin-Prince Boateng,h,FW,362.0,1.0,0.0,12.0,2.0,0.0,0.8111218139529226,0.2594304904341697,2.0,1.6927959322929382,0.0
4502,2019,13250,1819,Kevin-Prince Boateng,h,FW,452.0,1.0,0.0,15.0,2.0,0.0,1.000484652817249,0.27488256525248284,2.0,2.276336523704231,0.0
4854,2019,13260,1819,Kevin-Prince Boateng,a,Sub,521.0,1.0,0.0,17.0,2.0,0.0,1.1008129268884657,0.27488256525248284,2.0,2.5773213459178805,0.0
5115,2019,13270,1819,Kevin-Prince Boateng,h,FW,543.0,1.0,0.0,18.0,2.0,0.0,1.1384087614715097,0.27488256525248284,2.0,2.6901088496670127,0.0
