,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
110,2019,13093,7935,Lasse Schöne,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,2019,13106,7935,Lasse Schöne,h,MC,90.0,0.0,0.0,1.0,0.0,0.0,0.0206583756953477,0.0,0.0,0.0619751270860433,0.0
538,2019,13111,7935,Lasse Schöne,h,MC,180.0,0.0,0.0,2.0,0.0,0.0,0.0731341224163769,0.2323240935802459,0.0,0.4517264608293771,0.0
707,2019,13121,7935,Lasse Schöne,a,MC,270.0,0.0,0.0,4.0,0.0,0.0,0.187211876735091,0.3073320984840392,0.0,0.8689677286893128,0.0
1025,2019,13131,7935,Lasse Schöne,h,MC,360.0,0.0,0.0,6.0,0.0,0.0,0.4968734737485645,0.8850877881050109,0.0,2.375708209350705,0.0
1278,2019,13141,7935,Lasse Schöne,a,Sub,441.0,0.0,0.0,8.0,0.0,0.0,0.5665409471839664,0.8850877881050109,0.0,2.584710629656911,0.0
1445,2019,13153,7935,Lasse Schöne,h,MC,461.0,0.0,0.0,8.0,0.0,0.0,0.5665409471839664,0.8850877881050109,0.0,2.584710629656911,0.0
1786,2019,13165,7935,Lasse Schöne,a,MC,551.0,1.0,0.0,11.0,1.0,0.0,1.414007058367133,0.9362039789557456,3.0,4.678225154057145,3.0
1918,2019,13172,7935,Lasse Schöne,h,MC,624.0,1.0,0.0,13.0,1.0,0.0,1.4678318705409763,0.9362039789557456,3.0,4.839699590578675,0.0
2191,2019,13181,7935,Lasse Schöne,a,DMC,714.0,1.0,0.0,15.0,1.0,0.0,1.5564128216356037,0.9771998114883897,3.0,5.146438276395202,0.0
2412,2019,13192,7935,Lasse Schöne,h,DMC,804.0,1.0,0.0,16.0,1.0,0.0,1.5972650106996296,1.0061885993927715,3.0,5.297983631491661,0.0
2637,2019,13204,7935,Lasse Schöne,a,MC,894.0,1.0,0.0,17.0,1.0,0.0,1.694466834887862,1.3064585905522106,3.0,5.889859095215797,0.0
3048,2019,13222,7935,Lasse Schöne,h,MC,984.0,1.0,0.0,17.0,2.0,0.0,1.694466834887862,1.3349999766796825,3.0,5.418400481343269,0.0
3359,2019,13233,7935,Lasse Schöne,a,MC,1074.0,1.0,0.0,18.0,2.0,0.0,1.715657880529761,1.3349999766796825,3.0,5.481973618268967,0.0
3538,2019,13243,7935,Lasse Schöne,h,AMC,1141.0,1.0,0.0,18.0,2.0,0.0,1.715657880529761,1.3349999766796825,3.0,5.481973618268967,0.0
4340,2019,13271,7935,Lasse Schöne,a,MC,1210.0,1.0,0.0,18.0,2.0,0.0,1.715657880529761,1.3349999766796825,3.0,5.481973618268967,0.0
4561,2019,13282,7935,Lasse Schöne,h,MC,1262.0,1.0,0.0,18.0,3.0,0.0,1.715657880529761,1.362377047538757,3.0,5.009350689128041,0.0
4688,2019,13290,7935,Lasse Schöne,a,MC,1352.0,1.0,1.0,19.0,3.0,0.0,1.7339847180992363,2.154461622238159,4.0,5.856415776535869,1.0
4966,2019,13299,7935,Lasse Schöne,a,MC,1442.0,1.0,1.0,20.0,4.0,0.0,1.7884479220956562,2.2117124050855637,4.0,5.577056171372533,0.0
5254,2019,13311,7935,Lasse Schöne,h,MC,1532.0,1.0,1.0,20.0,4.0,0.0,1.7884479220956562,2.2292089723050594,4.0,5.594552738592029,0.0
5665,2019,13333,7935,Lasse Schöne,h,MC,1588.0,1.0,1.0,21.0,4.0,0.0,1.8345845025032756,2.2292089723050594,4.0,5.732962479814887,0.0
5841,2019,13343,7935,Lasse Schöne,a,MC,1678.0,1.0,1.0,23.0,4.0,0.0,1.9266425203531978,2.302281130105257,4.0,6.082208691164851,0.0
6171,2019,13352,7935,Lasse Schöne,h,MC,1736.0,1.0,2.0,24.0,4.0,0.0,2.0627636741846795,2.982307780534029,5.0,7.170598803088069,1.0
6343,2019,13359,7935,Lasse Schöne,a,Sub,1826.0,1.0,2.0,26.0,4.0,0.0,2.1322672273963685,3.16136671975255,5.0,7.558168401941657,0.0
6578,2019,13372,7935,Lasse Schöne,h,MC,1860.0,1.0,2.0,26.0,4.0,0.0,2.1322672273963685,3.2293123491108418,5.0,7.626114031299949,0.0
7147,2019,13392,7935,Lasse Schöne,h,MC,1907.0,1.0,2.0,26.0,5.0,0.0,2.1322672273963685,3.2293123491108418,5.0,7.126114031299949,0.0
7390,2019,13405,7935,Lasse Schöne,h,MC,1997.0,1.0,3.0,26.0,5.0,0.0,2.1322672273963685,3.412947539240122,6.0,7.309749221429229,1.0
7789,2019,13411,7935,Lasse Schöne,a,MC,2087.0,2.0,3.0,29.0,5.0,0.0,2.7875451352447267,3.549482721835375,9.0,9.412118127569556,3.0
7977,2019,13422,7935,Lasse Schöne,h,MC,2165.0,2.0,3.0,32.0,5.0,0.0,3.4342632796615358,3.587994262576103,9.0,11.390784101560712,0.0
8214,2019,13434,7935,Lasse Schöne,a,MC,2255.0,2.0,3.0,34.0,5.0,0.0,3.5272439848631616,3.608336441218853,9.0,11.69006839580834,0.0
8381,2019,13441,7935,Lasse Schöne,h,Sub,2345.0,2.0,3.0,34.0,5.0,0.0,3.5272439848631616,3.632107449695468,9.0,11.713839404284954,0.0
8678,2019,13455,7935,Lasse Schöne,a,MC,2375.0,2.0,3.0,35.0,5.0,0.0,3.5346360942348833,3.632107449695468,9.0,11.73601573240012,0.0
