,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
764,2019,13116,1500,Leonardo Spinazzola,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,2019,13120,1500,Leonardo Spinazzola,a,Sub,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1172,2019,13136,1500,Leonardo Spinazzola,h,DR,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1051912456750869,0.0,0.1051912456750869,0.0
1560,2019,13142,1500,Leonardo Spinazzola,a,Sub,88.0,0.0,0.0,1.0,0.0,0.0,0.2088145762681961,0.4642585068941115,0.0,1.0907022356987,0.0
1843,2019,13156,1500,Leonardo Spinazzola,h,DR,99.0,0.0,0.0,1.0,0.0,0.0,0.2088145762681961,0.4642585068941115,0.0,1.0907022356987,0.0
2081,2019,13166,1500,Leonardo Spinazzola,a,DR,184.0,0.0,0.0,1.0,0.0,0.0,0.2088145762681961,0.4642585068941115,0.0,1.0907022356987,0.0
2431,2019,13176,1500,Leonardo Spinazzola,h,DR,274.0,0.0,0.0,1.0,0.0,0.0,0.2088145762681961,0.4642585068941115,0.0,1.0907022356987,0.0
2765,2019,13196,1500,Leonardo Spinazzola,h,DR,351.0,0.0,0.0,1.0,0.0,0.0,0.2088145762681961,0.47667356580495823,0.0,1.1031172946095467,0.0
3281,2019,13205,1500,Leonardo Spinazzola,a,DR,441.0,0.0,1.0,1.0,1.0,0.0,0.2088145762681961,0.5532930195331572,0.5,0.6797367483377457,0.5
3904,2019,13231,1500,Leonardo Spinazzola,a,Sub,466.0,0.0,1.0,2.0,1.0,0.0,0.2252710368484258,0.5753654614090918,0.5,0.7511785719543694,0.0
4519,2019,13250,1500,Leonardo Spinazzola,a,Sub,541.0,0.0,1.0,2.0,1.0,0.0,0.2252710368484258,0.5753654614090918,0.5,0.7511785719543694,0.0
5482,2019,13282,1500,Leonardo Spinazzola,a,DL,542.0,0.0,1.0,2.0,1.0,0.0,0.2252710368484258,0.5753654614090918,0.5,0.7511785719543694,0.0
5775,2019,13294,1500,Leonardo Spinazzola,h,DL,632.0,0.0,1.0,3.0,1.0,0.0,0.27312217466533173,1.8703349009156227,0.5,2.1897014249116182,0.0
5899,2019,13307,1500,Leonardo Spinazzola,a,DL,722.0,0.0,1.0,3.0,1.0,0.0,0.27312217466533173,2.0026256069540977,0.5,2.3219921309500933,0.0
6481,2019,13319,1500,Leonardo Spinazzola,a,DL,812.0,0.0,1.0,4.0,2.0,0.0,0.3359716963022945,2.0026256069540977,0.0,2.010540695860982,-0.5
7701,2019,13363,1500,Leonardo Spinazzola,a,DL,902.0,0.0,1.0,4.0,2.0,0.0,0.3359716963022945,2.0026256069540977,0.0,2.010540695860982,0.0
8486,2019,13380,1500,Leonardo Spinazzola,a,DL,992.0,0.0,1.0,5.0,2.0,0.0,0.3589300941675899,2.0026256069540977,0.0,2.079415889456868,0.0
8688,2019,13395,1500,Leonardo Spinazzola,h,DML,1082.0,0.0,1.0,5.0,2.0,0.0,0.3589300941675899,2.0233619939535856,0.0,2.100152276456356,0.0
8867,2019,13407,1500,Leonardo Spinazzola,a,Sub,1172.0,0.0,1.0,6.0,2.0,0.0,0.4333302434533832,2.570711625739932,0.0,2.8707023561000824,0.0
9304,2019,13415,1500,Leonardo Spinazzola,h,DML,1180.0,0.0,1.0,6.0,2.0,0.0,0.4333302434533832,2.611613566055894,0.0,2.9116042964160442,0.0
9670,2019,13427,1500,Leonardo Spinazzola,h,DML,1270.0,0.0,2.0,8.0,2.0,0.0,0.5257391240447757,3.392653340473771,1.0,3.969870712608099,1.0
9935,2019,13436,1500,Leonardo Spinazzola,a,DML,1360.0,1.0,2.0,10.0,2.0,0.0,0.7013480570167301,3.392653340473771,4.0,4.496697511523962,3.0
10193,2019,13444,1500,Leonardo Spinazzola,h,DML,1409.0,1.0,2.0,11.0,2.0,0.0,0.7298114188015458,3.4061449728906155,4.0,4.595579229295254,0.0
10632,2019,13454,1500,Leonardo Spinazzola,a,DML,1499.0,1.0,2.0,12.0,2.0,0.0,0.7783264629542823,3.8729055784642696,4.0,5.207884967327118,0.0
