,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
451,2019,13105,4970,Luca Pellegrini,h,DML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,2019,13115,4970,Luca Pellegrini,a,DL,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218949187546968,0.0,0.0218949187546968,0.0
839,2019,13121,4970,Luca Pellegrini,h,DL,156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0218949187546968,-0.5,-0.4781050812453032,-0.5
1594,2019,13139,4970,Luca Pellegrini,h,DL,246.0,0.0,0.0,2.0,1.0,0.0,0.034448068588972,0.0376793462783097,-0.5,-0.358976447954774,0.0
1860,2019,13156,4970,Luca Pellegrini,a,DL,336.0,0.0,0.0,2.0,2.0,0.0,0.034448068588972,0.33594080992043,-1.0,-0.5607149843126537,-0.5
2042,2019,13160,4970,Luca Pellegrini,h,DL,422.0,0.0,0.0,2.0,3.0,0.0,0.034448068588972,0.33594080992043,-1.5,-1.0607149843126535,-0.5
2420,2019,13178,4970,Luca Pellegrini,a,DL,512.0,0.0,0.0,3.0,4.0,0.0,0.0682921595871447,0.33594080992043,-2.0,-1.4591827113181353,-0.5
2572,2019,13180,4970,Luca Pellegrini,h,DL,602.0,0.0,0.0,3.0,4.0,0.0,0.0682921595871447,0.33594080992043,-2.0,-1.4591827113181353,0.0
3159,2019,13200,4970,Luca Pellegrini,h,DL,692.0,0.0,1.0,3.0,5.0,0.0,0.0682921595871447,0.48810222931206204,-1.5,-1.8070212919265032,0.5
3855,2019,13220,4970,Luca Pellegrini,h,DL,782.0,0.0,1.0,3.0,5.0,0.0,0.0682921595871447,0.7907516974955795,-1.5,-1.5043718237429857,0.0
4036,2019,13235,4970,Luca Pellegrini,a,DL,872.0,0.0,3.0,3.0,5.0,0.0,0.0682921595871447,0.9978590328246353,0.5,-1.29726448841393,2.0
4545,2019,13258,4970,Luca Pellegrini,a,Sub,918.0,0.0,3.0,3.0,6.0,0.0,0.0682921595871447,0.9978590328246353,0.0,-1.79726448841393,-0.5
4902,2019,13263,4970,Luca Pellegrini,a,DL,961.0,0.0,3.0,4.0,6.0,0.0,0.075561366509646,0.9978590328246353,0.0,-1.775456867646426,0.0
4998,2019,13269,4970,Luca Pellegrini,h,DL,1051.0,0.0,3.0,4.0,6.0,0.0,0.075561366509646,1.0103800632059572,0.0,-1.762935837265104,0.0
5426,2019,13281,4970,Luca Pellegrini,a,DL,1141.0,0.0,3.0,4.0,7.0,0.0,0.075561366509646,1.0332741886377332,-0.5,-2.240041711833328,-0.5
5678,2019,13291,4970,Luca Pellegrini,a,DML,1231.0,0.0,3.0,4.0,8.0,0.0,0.075561366509646,1.3624913841485975,-1.0,-2.4108245163224638,-0.5
5859,2019,13301,4970,Luca Pellegrini,h,DL,1310.0,0.0,3.0,5.0,8.0,0.0,0.1529590929858384,1.4114588312804697,-1.0,-2.129663889762014,0.0
6314,2019,13311,4970,Luca Pellegrini,a,DL,1400.0,0.0,4.0,7.0,8.0,0.0,0.42327551497146465,2.204207878559828,0.0,-0.5259655765257776,1.0
6605,2019,13321,4970,Luca Pellegrini,h,DL,1490.0,0.0,4.0,9.0,8.0,0.0,0.5261657680384813,2.2381752766668797,0.0,-0.18332741921767598,0.0
6937,2019,13339,4970,Luca Pellegrini,h,DL,1580.0,0.0,4.0,11.0,8.0,0.0,0.5553712709806856,2.2381752766668797,0.0,-0.09571091039106258,0.0
7175,2019,13338,4970,Luca Pellegrini,a,DML,1670.0,0.0,4.0,12.0,9.0,0.0,0.5885443068109449,2.2381752766668797,-0.5,-0.49619180290028453,-0.5
7361,2019,13356,4970,Luca Pellegrini,a,DML,1755.0,0.0,5.0,12.0,9.0,0.0,0.5885443068109449,2.318151358515024,0.5,-0.41621572105214,1.0
7633,2019,13360,4970,Luca Pellegrini,h,Sub,1825.0,0.0,5.0,14.0,9.0,0.0,0.6668075746856627,2.318151358515024,0.5,-0.1814259174279869,0.0
7956,2019,13370,4970,Luca Pellegrini,a,ML,1843.0,0.0,5.0,14.0,9.0,0.0,0.6668075746856627,2.318151358515024,0.5,-0.1814259174279869,0.0
