,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
64,2019,13091,7365,Lucas Paquetá,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,2019,13100,7365,Lucas Paquetá,h,Sub,80.0,0.0,0.0,1.0,1.0,0.0,0.0096024852246046,0.0,0.0,-0.4711925443261862,0.0
664,2019,13112,7365,Lucas Paquetá,a,AMC,104.0,0.0,0.0,3.0,1.0,0.0,0.1272619497030973,0.0,0.0,-0.11821415089070797,0.0
773,2019,13125,7365,Lucas Paquetá,h,Sub,150.0,0.0,0.0,3.0,2.0,0.0,0.1272619497030973,0.0,0.0,-0.618214150890708,0.0
1463,2019,13153,7365,Lucas Paquetá,a,Sub,174.0,0.0,0.0,3.0,2.0,0.0,0.1272619497030973,0.0,0.0,-0.618214150890708,0.0
1799,2019,13163,7365,Lucas Paquetá,h,MC,215.0,0.0,1.0,3.0,3.0,0.0,0.1272619497030973,0.0670690089464187,1.0,-1.0511451419442892,1.0
2052,2019,13176,7365,Lucas Paquetá,a,MC,282.0,0.0,1.0,6.0,3.0,0.0,0.2790525685995816,0.11374223977327341,1.0,-0.5491000544279814,0.0
2300,2019,13183,7365,Lucas Paquetá,h,MC,345.0,0.0,1.0,7.0,3.0,0.0,0.31420742161571963,0.11374223977327341,1.0,-0.44363549537956715,0.0
2509,2019,13195,7365,Lucas Paquetá,h,MC,433.0,0.0,1.0,13.0,3.0,0.0,0.945854829624295,0.1732149012386798,1.0,1.5107793901115656,0.0
2780,2019,13202,7365,Lucas Paquetá,a,MC,486.0,0.0,1.0,14.0,3.0,0.0,1.193430723622441,0.1859478875994681,1.0,2.266240058466792,0.0
2816,2019,13213,7365,Lucas Paquetá,h,MC,571.0,0.0,1.0,15.0,3.0,0.0,1.2220440339297054,0.29363191872835137,1.0,2.4597640205174685,0.0
3634,2019,13246,7365,Lucas Paquetá,h,Sub,661.0,0.0,1.0,17.0,4.0,0.0,1.2647582236677406,0.3836920559406278,1.0,2.1779667269438505,0.0
5004,2019,13305,7365,Lucas Paquetá,h,Sub,694.0,0.0,1.0,20.0,5.0,0.0,1.495211014524102,0.4407287947833535,1.0,2.4263618383556604,0.0
5553,2019,13325,7365,Lucas Paquetá,h,AMC,719.0,0.0,1.0,21.0,5.0,0.0,1.571588860824704,0.5659143589437003,1.0,2.7806809414178133,0.0
6406,2019,13363,7365,Lucas Paquetá,h,Sub,790.0,0.0,1.0,21.0,5.0,0.0,1.571588860824704,0.5659143589437003,1.0,2.7806809414178133,0.0
6725,2019,13375,7365,Lucas Paquetá,a,AMC,824.0,0.0,1.0,23.0,5.0,0.0,1.6153775844722984,0.5659143589437003,1.0,2.9120471123605967,0.0
6880,2019,13379,7365,Lucas Paquetá,a,Sub,914.0,0.0,1.0,33.0,5.0,0.0,1.985449383035302,0.6821714155375953,1.0,4.138519564643502,0.0
7096,2019,13394,7365,Lucas Paquetá,h,ML,967.0,0.0,1.0,33.0,6.0,0.0,1.985449383035302,0.7059387061744923,1.0,3.6622868552803993,0.0
7528,2019,13401,7365,Lucas Paquetá,a,AMR,1015.0,0.0,1.0,33.0,7.0,0.0,1.985449383035302,0.7756794933229679,1.0,3.232027642428875,0.0
