,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
155,2019,13094,6180,Manuel Lazzari,a,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,2019,13102,6180,Manuel Lazzari,h,DMR,67.0,0.0,0.0,1.0,1.0,0.0,0.0392192639410495,0.0784773379564285,-0.5,-0.3038648702204227,-0.5
743,2019,13117,6180,Manuel Lazzari,a,DMR,157.0,0.0,0.0,2.0,1.0,0.0,0.2509091980755328,0.0784773379564285,-0.5,0.3312049321830273,0.0
1273,2019,13133,6180,Manuel Lazzari,a,DMR,247.0,0.0,0.0,2.0,1.0,0.0,0.2509091980755328,0.2099413573741912,-0.5,0.46266895160079,0.0
2476,2019,13171,6180,Manuel Lazzari,a,DMR,337.0,0.0,0.0,2.0,1.0,0.0,0.2509091980755328,0.2099413573741912,-0.5,0.46266895160079,0.0
3005,2019,13195,6180,Manuel Lazzari,a,DMR,427.0,0.0,0.0,2.0,1.0,0.0,0.2509091980755328,0.2099413573741912,-0.5,0.46266895160079,0.0
3187,2019,13203,6180,Manuel Lazzari,h,DMR,517.0,0.0,1.0,2.0,1.0,0.0,0.2509091980755328,0.3564541190862654,0.5,0.6091817133128642,1.0
3508,2019,13216,6180,Manuel Lazzari,a,DMR,607.0,0.0,1.0,3.0,1.0,0.0,0.30859001353383053,0.4203868359327314,0.5,0.8461568765342233,0.0
3745,2019,13226,6180,Manuel Lazzari,h,DMR,697.0,0.0,1.0,3.0,1.0,0.0,0.30859001353383053,0.5662601739168164,0.5,0.9920302145183083,0.0
3966,2019,13232,6180,Manuel Lazzari,h,DMR,787.0,0.0,1.0,3.0,1.0,0.0,0.30859001353383053,0.6884928122162814,0.5,1.1142628528177734,0.0
4426,2019,13241,6180,Manuel Lazzari,a,DMR,877.0,0.0,1.0,5.0,2.0,0.0,0.7488552220165728,0.7132052350789303,0.0,1.9597709011286493,-0.5
4734,2019,13261,6180,Manuel Lazzari,a,DMR,967.0,0.0,1.0,5.0,2.0,0.0,0.7488552220165728,0.8597752172499888,0.0,2.106340883299708,0.0
5026,2019,13273,6180,Manuel Lazzari,h,DMR,1057.0,0.0,1.0,6.0,2.0,0.0,0.7881519421935079,1.0840256679803126,0.0,2.4484814945608373,0.0
5273,2019,13284,6180,Manuel Lazzari,h,DMR,1147.0,0.0,1.0,6.0,3.0,0.0,0.7881519421935079,1.5520063210278743,-0.5,2.416462147608399,-0.5
5789,2019,13294,6180,Manuel Lazzari,a,DMR,1237.0,0.0,1.0,6.0,3.0,0.0,0.7881519421935079,1.5520063210278743,-0.5,2.416462147608399,0.0
5969,2019,13303,6180,Manuel Lazzari,h,DMR,1327.0,0.0,1.0,6.0,3.0,0.0,0.7881519421935079,1.5520063210278743,-0.5,2.416462147608399,0.0
6108,2019,13252,6180,Manuel Lazzari,h,DMR,1417.0,0.0,3.0,8.0,3.0,0.0,1.0113001391291616,2.1829518843442193,1.5,3.7168523017317057,2.0
6379,2019,13314,6180,Manuel Lazzari,a,Sub,1489.0,0.0,3.0,8.0,3.0,0.0,1.0113001391291616,2.2028901986777774,1.5,3.7367906160652637,0.0
6641,2019,13323,6180,Manuel Lazzari,h,Sub,1520.0,0.0,3.0,8.0,3.0,0.0,1.0113001391291616,2.346362229436635,1.5,3.8802626468241215,0.0
6821,2019,13333,6180,Manuel Lazzari,a,Sub,1546.0,0.0,3.0,8.0,4.0,0.0,1.0113001391291616,2.346362229436635,1.0,3.3802626468241215,-0.5
6854,2019,13341,6180,Manuel Lazzari,h,DMR,1574.0,0.0,3.0,9.0,4.0,0.0,1.1188329532742498,2.346362229436635,1.0,3.702861089259386,0.0
7515,2019,13349,6180,Manuel Lazzari,a,MR,1664.0,0.0,3.0,9.0,4.0,0.0,1.1188329532742498,2.346362229436635,1.0,3.702861089259386,0.0
7656,2019,13362,6180,Manuel Lazzari,h,MR,1754.0,0.0,3.0,9.0,4.0,0.0,1.1188329532742498,2.778425928205251,1.0,4.134924788028002,0.0
7891,2019,13374,6180,Manuel Lazzari,a,DMR,1836.0,0.0,3.0,10.0,4.0,0.0,1.155391752719879,2.9790455363690844,1.0,4.445220794528723,0.0
8247,2019,13379,6180,Manuel Lazzari,h,DMR,1926.0,0.0,3.0,10.0,4.0,0.0,1.155391752719879,3.047550003975629,1.0,4.513725262135267,0.0
8514,2019,13393,6180,Manuel Lazzari,a,DMR,2016.0,0.0,3.0,10.0,4.0,0.0,1.155391752719879,3.061495794914662,1.0,4.5276710530743,0.0
