,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
187,2019,13095,1710,Marten de Roon,a,MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,2019,13104,1710,Marten de Roon,h,MC,90.0,0.0,0.0,2.0,1.0,0.0,0.0463378392159938,0.0214069560170173,-0.5,-0.339579526335001,-0.5
668,2019,13111,1710,Marten de Roon,a,Sub,180.0,0.0,0.0,5.0,2.0,0.0,0.0971378050744532,0.1083743646740912,-1.0,-0.6002122201025486,-0.5
1066,2019,13119,1710,Marten de Roon,h,MC,211.0,0.0,1.0,5.0,2.0,0.0,0.0971378050744532,0.1483358256518839,0.0,-0.5602507591247559,1.0
1190,2019,13136,1710,Marten de Roon,a,MC,301.0,0.0,1.0,6.0,3.0,0.0,0.1316477134823797,0.20517006143927552,-0.5,-0.8998867981135845,-0.5
1791,2019,13149,1710,Marten de Roon,h,MC,391.0,1.0,1.0,8.0,3.0,0.0,0.45504520088434197,0.2211339715868232,2.5,0.08626957423985004,3.0
1953,2019,13162,1710,Marten de Roon,a,Sub,481.0,1.0,1.0,9.0,4.0,0.0,0.5033281743526455,0.3008893150836226,2.0,-0.18912616185843945,-0.5
2352,2019,13169,1710,Marten de Roon,h,MC,510.0,1.0,1.0,9.0,4.0,0.0,0.5033281743526455,0.358633683994412,2.0,-0.13138179294765004,0.0
2559,2019,13184,1710,Marten de Roon,a,MC,600.0,1.0,3.0,10.0,4.0,0.0,0.5301159452646967,0.8898956645280118,4.0,0.4802435003221034,2.0
3231,2019,13206,1710,Marten de Roon,a,MC,690.0,1.0,3.0,11.0,5.0,0.0,0.5567877031862732,0.8898956645280118,3.5,0.06025877408683289,-0.5
3327,2019,13209,1710,Marten de Roon,h,MC,780.0,1.0,3.0,11.0,5.0,0.0,0.5567877031862732,0.9971504230052228,3.5,0.1675135325640439,0.0
3622,2019,13219,1710,Marten de Roon,a,MC,870.0,1.0,3.0,12.0,5.0,0.0,0.5717099951580163,1.0757050979882474,3.5,0.2908350834622978,0.0
3918,2019,13229,1710,Marten de Roon,h,Sub,921.0,1.0,3.0,15.0,5.0,0.0,0.7322960393503304,1.1082400064915414,3.5,0.8051281245425342,0.0
4288,2019,13239,1710,Marten de Roon,a,MC,954.0,1.0,3.0,15.0,5.0,0.0,0.7322960393503304,1.1082400064915414,3.5,0.8051281245425342,0.0
4610,2019,13249,1710,Marten de Roon,h,MC,1044.0,1.0,3.0,16.0,5.0,0.0,0.7487237704917784,1.1082400064915414,3.5,0.8544113179668782,0.0
4861,2019,13259,1710,Marten de Roon,h,MC,1134.0,1.0,3.0,16.0,6.0,0.0,0.7487237704917784,1.234033657237887,3.0,0.4802049687132237,-0.5
5069,2019,13272,1710,Marten de Roon,a,MC,1224.0,1.0,4.0,17.0,6.0,0.0,0.8523605493828649,1.2624387517571445,4.0,0.819520399905741,1.0
5524,2019,13279,1710,Marten de Roon,h,MR,1314.0,1.0,4.0,17.0,7.0,0.0,0.8523605493828649,1.2624387517571445,3.5,0.319520399905741,-0.5
5650,2019,13297,1710,Marten de Roon,a,MC,1404.0,1.0,4.0,19.0,8.0,0.0,1.02800144534558,1.3353326618671413,3.0,0.4193369979038832,-0.5
5943,2019,13299,1710,Marten de Roon,h,MC,1461.0,1.0,4.0,19.0,9.0,0.0,1.02800144534558,1.3353326618671413,2.5,-0.08066300209611682,-0.5
