,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
5051,2019,13308,6303,Marvin Zeegelaar,h,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5612,2019,13330,6303,Marvin Zeegelaar,a,Sub,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6505,2019,13368,6303,Marvin Zeegelaar,h,Sub,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6798,2019,13376,6303,Marvin Zeegelaar,a,DML,95.0,0.0,1.0,0.0,1.0,0.0,0.0,0.58309406042099,1.0,0.0830940604209899,1.0
6969,2019,13384,6303,Marvin Zeegelaar,h,Sub,161.0,0.0,1.0,0.0,2.0,0.0,0.0,0.58309406042099,1.0,-0.4169059395790101,0.0
7278,2019,13396,6303,Marvin Zeegelaar,a,DML,181.0,0.0,1.0,0.0,2.0,0.0,0.0,0.7006674334406852,1.0,-0.29933256655931495,0.0
8011,2019,13425,6303,Marvin Zeegelaar,a,DML,260.0,0.0,1.0,0.0,2.0,0.0,0.0,0.7006674334406852,1.0,-0.29933256655931495,0.0
8273,2019,13438,6303,Marvin Zeegelaar,h,DML,343.0,0.0,1.0,0.0,2.0,0.0,0.0,0.7006674334406852,1.0,-0.29933256655931495,0.0
8534,2019,13447,6303,Marvin Zeegelaar,a,DML,413.0,0.0,1.0,0.0,3.0,0.0,0.0,0.7332209087908267,1.0,-0.7667790912091734,0.0
8648,2019,13453,6303,Marvin Zeegelaar,h,Sub,498.0,0.0,1.0,0.0,3.0,0.0,0.0,0.8028606511652467,1.0,-0.6971393488347534,0.0
8981,2019,13461,6303,Marvin Zeegelaar,a,DML,516.0,0.0,1.0,0.0,3.0,0.0,0.0,0.8028606511652467,1.0,-0.6971393488347534,0.0
