,season,matchId,playerId,player,homeOrAway,position,time,goals,assists,shots,yellowCard,redCard,xG,xA,bonus,xB,lastBonus
416,2019,13103,7013,Matteo Pessina,a,Sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,2019,13112,7013,Matteo Pessina,h,Sub,14.0,1.0,0.0,2.0,0.0,0.0,0.3973886370658874,0.0,3.0,1.1921659111976624,3.0
916,2019,13122,7013,Matteo Pessina,a,Sub,37.0,1.0,0.0,2.0,0.0,0.0,0.3973886370658874,0.0,3.0,1.1921659111976624,0.0
1123,2019,13132,7013,Matteo Pessina,h,AMC,68.0,1.0,0.0,2.0,0.0,0.0,0.3973886370658874,0.0153706893324851,3.0,1.2075366005301476,0.0
1615,2019,13139,7013,Matteo Pessina,a,Sub,158.0,1.0,0.0,3.0,0.0,0.0,0.5151766464114188,0.0153706893324851,3.0,1.560900628566742,0.0
1710,2019,13154,7013,Matteo Pessina,h,AMC,174.0,1.0,0.0,3.0,0.0,0.0,0.5151766464114188,0.026901939883828,3.0,1.572431879118085,0.0
1977,2019,13164,7013,Matteo Pessina,a,AMC,263.0,1.0,0.0,4.0,0.0,0.0,0.5333801582455633,0.026901939883828,3.0,1.6270424146205187,0.0
2212,2019,13173,7013,Matteo Pessina,h,MC,353.0,1.0,0.0,5.0,0.0,0.0,0.562434449791908,0.1235808078199623,3.0,1.8108841571956873,0.0
2512,2019,13185,7013,Matteo Pessina,a,Sub,443.0,1.0,0.0,6.0,1.0,0.0,1.0203279703855512,0.1235808078199623,2.5,2.684564718976617,-0.5
2916,2019,13193,7013,Matteo Pessina,h,Sub,471.0,1.0,0.0,6.0,1.0,0.0,1.0203279703855512,0.1235808078199623,2.5,2.684564718976617,0.0
3119,2019,13201,7013,Matteo Pessina,a,MC,503.0,2.0,0.0,7.0,1.0,0.0,1.1087919920682905,0.1235808078199623,5.5,2.9499567840248346,3.0
3440,2019,13211,7013,Matteo Pessina,h,MC,593.0,2.0,0.0,7.0,1.0,0.0,1.1087919920682905,0.15874516032636138,5.5,2.985121136531234,0.0
3829,2019,13223,7013,Matteo Pessina,h,MC,683.0,2.0,0.0,8.0,2.0,0.0,1.1276291254907844,0.15874516032636138,5.0,2.5416325367987156,-0.5
3930,2019,13229,7013,Matteo Pessina,a,AMC,758.0,2.0,0.0,8.0,2.0,0.0,1.1276291254907844,0.15874516032636138,5.0,2.5416325367987156,0.0
4250,2019,13244,7013,Matteo Pessina,h,AMC,839.0,2.0,0.0,8.0,2.0,0.0,1.1276291254907844,0.44089134596288176,5.0,2.823778722435236,0.0
4764,2019,13268,7013,Matteo Pessina,a,MC,929.0,2.0,0.0,8.0,2.0,0.0,1.1276291254907844,0.44089134596288176,5.0,2.823778722435236,0.0
5194,2019,13271,7013,Matteo Pessina,h,AMC,1019.0,2.0,0.0,8.0,2.0,0.0,1.1276291254907844,1.0838176812976597,5.0,3.466705057770014,0.0
5403,2019,13280,7013,Matteo Pessina,a,AMC,1109.0,2.0,0.0,9.0,2.0,0.0,1.2561794612556694,1.2400894816964863,5.0,4.008627865463495,0.0
5752,2019,13298,7013,Matteo Pessina,h,AMC,1199.0,2.0,0.0,10.0,2.0,0.0,1.6122608277946708,1.2583677154034374,5.0,5.095150198787451,0.0
6016,2019,13305,7013,Matteo Pessina,a,AMC,1289.0,3.0,0.0,13.0,2.0,0.0,2.78068889118731,1.291687363758683,8.0,8.633754037320614,3.0
6124,2019,13252,7013,Matteo Pessina,a,MC,1379.0,3.0,0.0,14.0,3.0,0.0,3.01348933018744,1.3424804937094448,7.5,8.882948484271765,-0.5
6221,2019,13318,7013,Matteo Pessina,h,AMC,1469.0,3.0,0.0,14.0,3.0,0.0,3.01348933018744,1.3424804937094448,7.5,8.882948484271765,0.0
6513,2019,13328,7013,Matteo Pessina,a,AMC,1559.0,3.0,0.0,16.0,4.0,0.0,3.1381323654204607,1.484872533008456,7.0,8.899269629269838,-0.5
7037,2019,13346,7013,Matteo Pessina,a,MC,1631.0,3.0,0.0,16.0,4.0,0.0,3.1381323654204607,1.484872533008456,7.0,8.899269629269838,0.0
7387,2019,13358,7013,Matteo Pessina,h,Sub,1721.0,3.0,0.0,17.0,4.0,0.0,3.1630271524190903,1.484872533008456,7.0,8.973953990265727,0.0
7802,2019,13367,7013,Matteo Pessina,a,FW,1731.0,3.0,0.0,17.0,4.0,0.0,3.1630271524190903,1.484872533008456,7.0,8.973953990265727,0.0
8041,2019,13373,7013,Matteo Pessina,h,Sub,1821.0,4.0,0.0,19.0,4.0,0.0,3.5789002627134323,1.484872533008456,10.0,10.221573321148753,3.0
8786,2019,13398,7013,Matteo Pessina,h,AMC,1844.0,5.0,0.0,20.0,5.0,0.0,3.7030461132526398,1.484872533008456,12.5,10.094010872766376,2.5
9014,2019,13406,7013,Matteo Pessina,a,AMC,1934.0,5.0,0.0,21.0,5.0,0.0,3.770804673433304,1.484872533008456,12.5,10.297286553308368,0.0
9324,2019,13415,7013,Matteo Pessina,a,AMC,1994.0,5.0,0.0,21.0,5.0,0.0,3.770804673433304,1.484872533008456,12.5,10.297286553308368,0.0
9435,2019,13428,7013,Matteo Pessina,h,AMC,2084.0,6.0,0.0,25.0,6.0,0.0,4.583718985319138,1.498876854777336,15.0,12.250033810734749,2.5
9966,2019,13437,7013,Matteo Pessina,a,MC,2174.0,7.0,0.0,26.0,7.0,0.0,5.116398185491562,1.5717630758881567,17.5,13.420957632362843,2.5
10249,2019,13446,7013,Matteo Pessina,h,MC,2264.0,7.0,0.0,27.0,7.0,0.0,5.161344580352306,1.585003728047013,17.5,13.569037469103932,0.0
10406,2019,13452,7013,Matteo Pessina,h,AMC,2354.0,7.0,0.0,28.0,7.0,0.0,5.179274711757898,1.6352328676730392,17.5,13.673057002946734,0.0
10918,2019,13466,7013,Matteo Pessina,a,AMC,2444.0,7.0,0.0,30.0,7.0,0.0,5.356207761913538,1.7598211932927368,17.5,14.328444479033351,0.0
